id,itemLabel,areaLabel,partyLabel
1,ADIA LETI MAWA BAUDOUIN,ORIENTALE,P.P.R.D
2,ADUBANGO ALI EMMANUEL,ORIENTALE,P.P.R.D
3,ALEKU KITIKA CYPRIEN,ORIENTALE,P.P.R.D
4,ANGALIKIANA KALUMBULA,ORIENTALE,P.P.R.D
5,AVONGI SANDRION YELE MARIE,ORIENTALE,P.P.R.D
6,BAKUNGU MYTHONDEKE D.J,NORD-KIVU,P.P.R.D
7,BALUME TUSSI VALENTIN,NORD-KIVU,P.P.R.D
8,BANZE BWANA KASONGO,KATANGA,P.P.R.D
9,BASHOMBERWA LALIA MARTHE,SUD-KIVU,P.P.R.D
10,BEYA WA KABEMBA JEAN,KASAÏ OCCIDENTAL,P.P.R.D
11,BIRINDWA CHANKIRE SOLID,SUD-KIVU,P.P.R.D
12,BOJI SANGARA AIME,SUD-KIVU,P.P.R.D
13,BONYOMA FALANGA JACQUES YVES,ORIENTALE,P.P.R.D
14,BOSAGA SUMAILI JEAN DIEUDONNE,MANIEMA,P.P.R.D
15,BOSHAB MABUDJ EVARISTE,KASAÏ OCCIDENTAL,P.P.R.D
16,BUHERWA LUPINI DESIRE,SUD-KIVU,P.P.R.D
17,BULUPIY GALATI SIMON,ORIENTALE,P.P.R.D
18,BURA PULUNYO CAJETAN MAURICE,ORIENTALE,P.P.R.D
19,BUNUNDA BAROKI WITH XAVIER,NORD-KIVU,P.P.R.D
20,CHOKWE CEMBO MOÏSE,KATANGA,P.P.R.D
21,CHUM MURISH LOVY,KATANGA,P.P.R.D
22,DIUR KATOND GASPARD,KASAÏ ORIENTAL,P.P.R.D
23,EWANGA ISEWANGA IWOKA,EQUATEUR,P.P.R.D
24,GHONDA MANGALIBI ANTOINE,BAS-CONGO,P.P.R.D
25,GUYENI MASILI BERNARD,MANIEMA,P.P.R.D
26,ILUNGA KAMPANYI JEAN PIERRE,KATANGA,P.P.R.D
27,KAWESHA MUTUNDO ULE AMBROISE,SUD-KIVU,P.P.R.D
28,KAHENGA SOMPO JOSEPH,KASAÏ ORIENTAL,P.P.R.D
29,KALAU NGUNGU GODE,KASAÏ OCCIDENTAL,P.P.R.D
30,KALEMA LOSONA JEAN PIERRE,MANIEMA,P.P.R.D
31,KALENGA WA KUBWILU JEAN JACQUES,KATANGA,P.P.R.D
32,KALOMBO TAMBWA FRANCIS,KINSHASA,P.P.R.D
33,KAMBERE KALUMBI FERDINAND,NORD-KIVU,P.P.R.D
34,KAMERHE VITAL,SUD-KIVU,P.P.R.D
35,KAMONI MOKOTA LISSA JEAN MARIE,-,P.P.R.D
36,KASHINDI ASSUMANI ALAIN JEAN PIERRE,SUD-KIVU,P.P.R.D
37,KASONGO KAWAYA JEAN LOUIS,KATANGA,P.P.R.D
38,KASONGO NGOIE GERARDINE,KATANGA,P.P.R.D
39,KASONGO NUMBI KASHEMUKUNDA,KATANGA,P.P.R.D
40,KASONGO SAKADI GILBERT,KATANGA,P.P.R.D
41,KATANTI MWITWA PHILIPE,KATANGA,P.P.R.D
42,KATSHONGO MBAVU PAULIN,KATANGA,P.P.R.D
43,KATUMBA MWANKE AUGUSTIN,KATANGA,P.P.R.D
44,KAYINDA MAHINA ADELE,KATANGA,P.P.R.D
45,KAZADI NYEMBWE DIEUDONNE,KASAÏ ORIENTAL,P.P.R.D
46,KIBAMBE LUBANGI MARCELINE,KASAÏ ORIENTAL,P.P.R.D
47,KIDIDI KIKI KILOLO GAUTHIER,KINSHASA,P.P.R.D
48,KIENGE DYASHI GHISLAIN,KATANGA,P.P.R.D
49,KIKA ZAMUDA MARIE JEANNE,SUD-KIVU,P.P.R.D
50,KIKAYA BIN KARUBI BARNABE,MANIEMA,P.P.R.D
51,KONDE MUWELWA BONIFACE,KATANGA,P.P.R.D
52,KUTEKALA KAAWA ALBERT,BANDUNDU,P.P.R.D
53,KWABENE MWETAMINWA DAMIEN,SUD-KIVU,P.P.R.D
54,LONGO KI-MBENZA MAKASI EDMOND,BAS-CONGO,P.P.R.D
55,LUBAYA WA LUBAYA CLAUDE-ANDRE,KASAÏ OCCIDENTAL,P.P.R.D
56,LUKUNGA KATANGA FELICIEN,KATANGA,P.P.R.D
57,LUPULA MATSHALO FELIX,KATANGA,P.P.R.D
58,M’VULA KAPOME PASCAL-JOSEPH,MANIEMA,P.P.R.D
59,MAKEPA NTAMBUE CYRILLE,KASAÏ OCCIDENTAL,P.P.R.D
60,MAKONERO WILDOR,SUD-KIVU,P.P.R.D
61,MAMBO MAWA LE BON,ORIENTALE,P.P.R.D
62,MAMBU MBUMI JEAN PAUL,KINSHASA,P.P.R.D
