item,itemLabel,party,partyLabel,area,areaLabel,startDate,endDate,gender,psid
Q112265471,ADIA LETI MAWA BAUDOUIN,,,,,2006,2012,,Q112265471-3B2427F9-733A-454B-B986-F6361B34756F
Q112262714,ADIRODU MAWAZO BAUDOUIN,,,,,2006,2012,male,Q112262714-4E826570-4B6F-4719-A0DB-C29B9083AE5D
Q107999450,ADUBANGO ALI EMMANUEL,,,,,2006,2012,male,Q107999450-25F072EE-B54A-438D-8D10-90FF3088678F
Q112265473,AGADI BUKANI BAKWA GEORGETTE,,,,,2006,2012,,Q112265473-B68A546A-C62C-4D89-B941-4CFFA074066E
Q112265474,AGBUMANA MOTINGA DIEUDONNE,,,,,2006,2012,,Q112265474-56806667-E91D-47B9-B270-78DA0CF081B6
Q112262715,AKPÄNZA MOBULI NICOLAS,,,,,2006,2012,male,Q112262715-2CD878F3-7D90-4D0C-80F4-9F51D1C50EA5
Q112265475,ALEKU KITIKA CYPRIEN,,,,,2006,2012,,Q112265475-C492E9BC-B4AC-4896-88C8-063FA848BC30
Q112265476,ALENGE NADONYE GUSTAVE,,,,,2006,2012,,Q112265476-97193564-75A8-4F1B-8C44-7C6ACD28C92C
Q112265482,AMBUKU GOTY WATSAKOKE A.M,,,,,2006,2012,,Q112265482-64E251BF-2633-4A54-859D-6C0EC0361E81
Q112265483,AMURI KAKIBISHA SERGE,,,,,2006,2012,,Q112265483-EAC838EF-55EF-490B-A79B-31030ED71786
Q112265484,ANGALIKIANA KALUMBULA,,,,,2006,2012,,Q112265484-1C176B66-30E5-404F-9B77-193E07EB8B24
Q112265485,ANZIAMA KAMUZIBANI DIEUDONNE,,,,,2006,2012,,Q112265485-B3169649-01F6-46BA-8FBD-D9E1EE6ECFC3
Q112265486,ASUMANI LIKAL NGANYO JACQUES,,,,,2006,2012,,Q112265486-61778EB9-C1CD-4080-A23D-3D1148AE3AC1
Q112265487,ATANDELE SONGE JEAN BERTIN,,,,,2006,2012,,Q112265487-A00012E3-CE34-4B42-B6B7-2A368EB9A61B
Q112265488,ATHU-A-GUYIMBA ARTHUR,,,,,2006,2012,,Q112265488-64B97714-1AB1-438E-BAAB-B9059F245A05
Q112265489,AVONGI SANDRION YELE MARIE,,,,,2006,2012,,Q112265489-32E4AB8D-E4DC-4C92-BD92-1E1F9D6F8AD5
Q112265490,AYOBANGIRA SAMVURA FRANCOISE,,,,,2006,2012,,Q112265490-9461B36D-E3A0-4D68-AF03-ED47A95A3FB3
Q112265491,AZA BHATRE MARTIN,,,,,2006,2012,,Q112265491-EB6CD7A1-2741-4CCB-BD15-86ADF26233EA
Q112265492,BABALA WANDU FIDELE,,,,,2006,2012,,Q112265492-E52AD364-C65F-4C2A-AD76-46778CD43DDF
Q19543886,BAHATI LUKWEBO MODESTE,,,,,2006,2012,male,Q19543886-40482767-C169-40B7-9300-C32AEC29AE63
Q112265493,BAHATI VISTANGE EMMENUEL,,,,,2006,2012,,Q112265493-2E5F9AB9-2BAB-4AE6-B8CE-3E40126DFD2A
Q112265494,BAITSURA MUSOWA SCHADRAC,,,,,2006,2012,,Q112265494-F62043B9-1DAC-4028-AF90-6C6078EA4461
Q112265495,BAKAMBE SHESHA JACQUES,,,,,2006,2012,,Q112265495-FACA1CF8-DF59-4112-8055-C43307988B4A
Q112265496,BAKUNGU MYTHONDEKE D.J,,,,,2006,2012,,Q112265496-C6052A5E-7261-4F95-854B-DC4BC8DBF0CB
Q112265497,BALA BALA KAWA NGANDA,,,,,2006,2012,,Q112265497-88EE8A6D-82B6-4A6E-9C2A-20C73A7C518F
Q112265498,BALEMBO BALAMA KASOMBA ED.,,,,,2006,2012,,Q112265498-7768A9C5-FDA0-4FD5-8FA4-ACC9D4AB058F
Q112265499,BALENGOLA BANYELE HENRY,,,,,2006,2012,,Q112265499-6D6ACB42-9C2D-4D0B-91D9-6FEBC5CC5F4B
Q112265500,BALUME TUSSI VALENTIN,,,,,2006,2012,,Q112265500-2CCEBED5-5F75-4D2A-8636-46D9E6329913
Q19629891,BAMANISA SAIDI JEAN,,,,,2006,2012,male,Q19629891-90A99E38-2C37-47D1-AF4A-042FCA95360C
Q112262790,BAMBOKA LOBENDI PIERRE,,,,,2006,2012,male,Q112262790-8C7F5B6C-DDB8-4D89-B752-CD02E3D2C95F
Q112265501,BANGALYBA BALY JEAN PIERRE,,,,,2006,2012,,Q112265501-65122228-98D9-4817-BC12-9AE30EF186BB
Q112265502,BANGANYIGABO KANYESHULI B.,,,,,2006,2012,,Q112265502-FD0C3156-C28B-44E8-9306-26E43A209168
Q112265503,BANZA LUPUSA BIATA BIALE B,,,,,2006,2012,,Q112265503-7F9F73F9-DACD-4123-9D36-14BEACE9D408
Q112265504,BANZE BWANA KASONGO,,,,,2006,2012,,Q112265504-76C62D70-B147-44B0-B7F4-C10D453613A8
Q112265505,BAPOLISI BUHUGA POLEPOLE P.,,,,,2006,2012,,Q112265505-8F983233-4296-4683-A5D0-902B087964A8
