@@,item,itemlabel,position,positionlabel,startdate,enddate,psid
->,Q3330981,Symphorien Mutombo Bakafwa Nsenda,Q54099408,Vice-Premiers ministres : Sécurité et Défense->Sécurité et Défense,2008-10-26,2010-02-19,Q3330981-6E3136BA-43CD-4B40-A440-45EE7C866869
---,Q57883,Matata Ponyo Mapon,Q97366094,Minister of Finance,2010-02,2012-04,Q57883-E277B99E-6896-4182-8FBE-C12601E9664B
---,Q112222025,Safi Adili,Q47532850,Minister of Rural Development,2008-10-26,2010-02-19,Q112222025-3D4244AE-84D0-451F-8F89-984B492F0C7D
---,Q109044263,Serge Kayembe,Q112252403,Deputy Minister of Congolese Abroad,2006,2011,Q109044263-a0bf38a1-40f1-40ee-7604-83d4a8e7fcae
