item,itemLabel,position,positionLabel,startDate,endDate
Q365790,Adolphe Muzito,,Premier ministre,,
Q3091442,Mobutu Nzanga,,Besoins sociaux de base,,
Q3588368,Émile Bongeli Yeikeo Ya Ato,,Reconstruction,,
Q3330981,Symphorien Mutombo Bakafwa Nsenda,,Sécurité et Défense,,
Q2834659,Alexis Thambwe Mwamba,,Affaires étrangères,,
Q3280404,Maj Kisimba Ngoy,,Affaires foncières,,
Q2885955,Barthélemy Botswali Lengomo,,Affaires sociales,,
Q3343479,Norbert Basengezi,,Agriculture,,
Q3310203,Michel Lokola,,Budget,,
Q178793,Lambert Mende Omalanga,,Communication et Médias,,
Q3421171,Raymond Tshibanda,,Coopération internationale et régionale,,
Q48775325,Esdras Kambale,,Culture et Arts,,
Q2853312,Antipas Mbusa,,Décentralisation et Aménagement du territoire,,
Q2959880,Charles Mwando Nsimba,,Défense nationale et Anciens Combattants,,
Q47532730,Kpaki Adiri,,Développement rural,,
Q48775328,Upio Kakura Wapol,,Droits humains,,
Q516526,André-Philippe Futa,,Économie et Commerce,,
Q48775361,Ferdinand Kambere,,"Emploi, Travail et Prévoyance sociale",,
Q48775364,Laurent Muzangisa,,Énergie,,
Q3186269,José Endundo Bononge,,Environnement et Tourisme,,
Q3280754,Maker Mwangu,,"EPSP (Enseignement primaire, secondaire et professionnel)",,
Q3271518,Léonard Mashako Mamba,,"ESU (Enseignement supérieur, universitaire)",,
Q2868988,Athanase Matenda Kyelu,,Finances,,
Q47524829,Michel Botoro,,Fonction publique,,
Q3291479,Marie-Ange Lukiana Mufwankolo,,Genre et Famille,,
Q3426386,René Isekemanga Nkeka,,Hydrocarbures,,
Q3484373,Simon Mboso Kiamputu,,Industrie,,
Q3386032,Pierre Lumbi,,Infrastructures et Travaux publics,,
Q3010091,Célestin Mbuyu Kabango,,Intérieur et Sécurité,,
Q48775368,Patrick Sulubika,,Jeunesse et Sports,,
Q3268148,Luzolo Bambi,,Justice,,
Q3295482,Martin Kabwelulu,,Mines,,
Q3351121,Olivier Kamitatu,,Plan,,
Q48775372,Claude Nyamugabo Bazibuhe,,PME (Petites et Moyennes Entreprises),,
Q63382184,Jeannine Mabunda Lioko,,Portefeuille,,
Q3263804,Louise Munga Mesozi,,"PTT (Postes, Téléphones et Télécommunications)",,
Q48775428,Mititiho Apata,,Recherche scientifique,,
Q2824869,Adolphe Lumanu,,Relations avec le Parlement,,
Q48778035,Mopipi Mukulumanya,,Santé publique,,
Q48778037,Matthieu Mpika,,Transports et Voies de communication,,
Q48778043,Generose Lushiku Muya,,Urbanisme et Habitat,,
Q3148164,Ignace Gata Mavinga,,"Vice-ministre, Affaires étrangères",,
Q20666287,Alain Lubamba wa Lubamba,,"Vice-ministre, Budget",,
Q2982527,Colette Tshomba Ntundu,,"Vice-ministre, Congolais de l’étranger",,
,Oscar Massamba,,"Vice-ministre, Défense et Anciens Combattants",,
,Willy Mubobo Nzamba,,"Vice-ministre, Développement rural",,
Q107187435,Arthur Sedea Ngamo Zabusu,,"Vice-ministre, Enseignement professionnel",,
,Bokele Djema,,"Vice-ministre, ESU",,
Q107475161,César Lubamba Ngimbi,,"Vice-ministre, Finances",,
,Gustave Beya,,"Vice-ministre, Hydrocarbures",,
,Jean Collins Musonda Kalusambo,,"Vice-ministre, Justice",,
,Kasongo Shomary,,"Vice-ministre, Mines",,
,Zéphyrin Mungongo,,"Vice-ministre, Intérieur",,
,Gervais Ntiriminerwa,,"Vice-ministre, Travaux publics",,
