position,title
Q97177928,First Lady
Q112275814,Governor of Bas-Uele
Q112275798,Governor of Haut-Katanga
Q112275810,Governor of Haut-Lomami
Q112275817,Governor of Haut-Uele
Q112275805,Governor of Ituri
Q112275813,Governor of Kasaï
Q112275823,Governor of Kasaï oriental
Q112275815,Governor of Kasaï-Central
Q112275806,Governor of Kinshasa
Q112275795,Governor of Kongo central
Q112275804,Governor of Kwango
Q112275809,Governor of Kwilu
Q112275803,Governor of Lomami
Q112275796,Governor of Lualaba
Q112275797,Governor of Mai-Ndombe
Q112275799,Governor of Maniema
Q112275822,Governor of Mongala
Q112275800,Governor of Nord-Kivu
Q112275821,Governor of Nord-Ubangi
Q112275802,Governor of Sankuru
Q112275808,Governor of Sud-Kivu
Q112275820,Governor of Sud-Ubangi
Q112275818,Governor of Tanganyika
Q112275812,Governor of Tshopo
Q112275807,Governor of Tshuapa
Q112275824,Governor of Équateur
Q82366032,Provincial Governor
Q108804097,Governor of Oriental
Q30590327,ambassador to the United States of America
