@@,item,itemlabel,position,positionlabel,startdate,enddate,psid
->,Q48775361,Ferdinand Kambere->Ferdinand Kambere Kalumbi,Q108730998,"Affaires sociales, Action humanitaire et Solidarité nationale",2010-02-19,2012-04-28,Q48775361-0161A926-6ED4-417D-9F7E-4B9F447C3371
->,Q3484223,Simon Bulupiy Galati,Q112221031,"Minister of Posts and Telecommunications->Postes, Téléphones et Télécommunications",2010-02-19,2011-09-11,Q3484223-A9BE6DCF-F02E-4E79-AC63-3E516B260388
->,Q3167591,Jean-Marie Bulambo Kilosho,Q112220992,Minister of Economy->Économie nationale,2010-02-19,2011-09-11,Q3167591-ABE99EA5-9396-4351-94EA-E34B60204EBF
->,Q3091442,Nzanga Mobutu->Mobutu Nzanga,Q112221017,"Minister of Labour->Emploi, Travail et Prévoyance sociale",2010-02-19,2011-03-11,Q3091442-6DA3C960-EDD6-40D1-A5AB-91A5F30596DA
->,Q2959880,Charles Mwando Simba->Charles Mwando Nsimba,Q17110451,Minister of Defence->Défense nationale et Anciens Combattants,2008-10-26,2012-04-28,Q2959880-EEA1875B-9FD9-451B-861D-679974D3D163
->,Q2897532,Bernard Biando Sango,Q54430447,"Minister of Trade & Industry of the Democratic Republic of the Congo->Commerce, Petites et Moyennes Entreprises",2010-02-19,2011-03-11,Q2897532-37CC52DD-6993-425D-BFDC-7197B92E88DE
->,Q2853312,Antipas Mbusa->Antipas Mbusa Nyamwisi,Q112220990,Minister of Decentralization->Décentralisation et Aménagement du Territoire,2008-10-26,2011-09-11,Q2853312-909F25D9-8AE8-4270-9036-3E20AC49DDB0
->,Q2824869,Adolphe Lumanu->Adolphe Lumanu Mulenda Bwana N’sefu,Q112221013,Minister of Interior->Intérieur et Sécurité,2010-02-19,2011-09-11,Q2824869-396728DA-2282-46A1-A836-2A74BD1A43BF
->,Q112222012,Philippe Undji Yangya,Q112221043,Minister of Rural Development->Développement rural,2010-02-19,2011-09-11,Q112222012-F4825652-E161-45AD-87F5-273F10586B4E
---,Q3218739,Laure-Marie Kawanda,Q112221051,Minister of Transport,2010-02-19,2011-05-03,Q3218739-CBE5D250-38A5-483D-A561-DEE3948AC17C
---,Q112222021,Raymond Tshibanda N’tunga Mulongo,Q112221014,Minister of International Cooperation,2008-10-26,2012-04-28,Q112222021-7ABDBECA-DFE5-41C2-9A9E-D83012EC6C27
+++,Q98930499,André Shikayi Luboya Bankina,,"Vice-ministre, Budget",,,
+++,Q3570581,Xaverine Karomba Mitimituje,,"Vice-ministre, Commerce",,,
+++,Q3421171,Raymond Tshibanda,,Coopération internationale et régionale,,,
+++,Q3148164,Ignace Gata Mavita wa Lufuta,,"Vice-ministre, Affaires étrangères",,,
+++,Q107474977,Joas Mbitso Ngedza,,"Vice-ministre, Finances",,,
+++,Q107187435,Arthur Sedea Ngamo Zabusu,,"Vice-ministre, Enseignement professionnel",,,
+++,Q106153035,Gervais Ntirumenyerwa Kimonyo,,"Vice-ministre, Travaux publics",,,
+++,,Georges Zuka Mon’do Ugonda-Lemba,,"Vice-ministre, Intérieur",,,
