@@,item,itemlabel,position,positionlabel,psid
->,Q96210151,Yollande Ebongo Bosongo,Q112220980,Minister of Civil Service->Ministre de Fonction publique,Q96210151-0D05435B-0B5F-4CB3-89DC-187E13AF9CC5
->,Q96210138,Béatrice Lomeya Atilite,Q112220999,"Minister of Family->Ministre d’État, ministre du Genre, Famille et Enfant",Q96210138-BB1D5E91-8007-49DE-B09A-8FB8F4DD72F0
->,Q90354281,José Sele Yalaghuli,Q97366094,Minister of Finance->Ministre des Finances,Q90354281-9A8144F0-AF22-4ACE-9D99-251572BEE034
->,Q88222785,Eteni Longondo,Q112221001,Minister of Health->Ministre de la Santé,Q88222785-E21051E0-C13C-492C-8EBB-5758FC84A3E0
->,Q87990699,Acacia Bandubola Mbongo,Q112220992,Minister of Economy->Ministre de l’Économie nationale,Q87990699-2314C695-1203-4D25-A1C3-CEB91531A9C9
->,Q85854584,Rubens Mikindo Muhima,Q112221007,"Minister of Hydrocarbons->Ministre d’État, ministre des Hydrocarbures",Q85854584-5DFE58F9-28EF-4B82-84F0-9592C6132E1D
->,Q81852221,Marie Tumba Nzeza,Q6866142,"Minister of Foreign Affairs->Ministre d’État, ministre des Affaires étrangères",Q81852221-5553d678-4b23-a976-a86b-f9b6b2da7a99
->,Q79423044,Élysée Munembwe->Élysée Munembwe Tamukumwe,Q112221028,"Minister of Planning->Vice-Premier ministre, ministre du Plan",Q79423044-73499BF7-5ABE-4930-94A7-B0FA35215F90
->,Q78910576,Gilbert Kankonde Malamba,Q112221013,"Minister of Interior->Vice-Premier ministre, Ministre de l'Intérieur, Sécurité et Affaires coutumières",Q78910576-45E159FE-6256-4317-AF43-6C50B0187F34
->,Q67218417,André Lite,Q112221005,Minister of Human Rights->Ministre des Droits humains,Q67218417-9533C722-7870-4E12-85A8-16539D71C882
->,Q63967715,Sylvestre Ilunga,Q3401753,Prime Minister of the Democratic Republic of the Congo->Premier ministre,Q63967715-da1aaa41-609d-49be-ac9f-dce2a159734a
->,Q56515694,Jean-Lucien Bussa->Jean-Lucien Bussa Tongba,Q56515760,Minister of Foreign Trade->Ministre du Commerce extérieur,Q56515694-83ADDF4A-8FEB-4AE4-A2A2-8B57B67578E0
->,Q48775372,Claude Nyamugabo Bazibuye->Claude Nyamugabo Bazibuhe,Q112220998,Minister of Environment->Ministre de l'Environnement et Développement durable,Q48775372-28E41B78-BB00-4BF4-A463-A9C6C7D8FE79
->,Q3190458,Justin Kalumba Mwana Ngongo,Q112221045,Minister of Small and Medium Enterprises->Ministre des PME,Q3190458-E80A584C-17F2-45E0-8CDD-0053CB4F3256
->,Q2875098,Azarias Ruberwa,Q112220990,"Minister of Decentralization->Ministre d’État, ministre de la Décentralisation et Réformes institutionnelles",Q2875098-61C49143-57CE-4B87-B3F4-97CCB600CD8A
->,Q18681696,Aimé Ngoy Mukena,Q17110451,Minister of Defence->Ministre de la Défense et des Anciens combattants,Q18681696-3B32D62D-068F-4002-96ED-92FF3324A5FD
->,Q18649355,Thomas Luhaka->Thomas Luhaka Losendjola,Q112221003,Minister of Higher Education->Ministre de l’Enseignement supérieur et universitaire,Q18649355-3283AC83-5A45-461A-913A-736795863D63
->,Q107189252,David Jolino Diwanpovesa Makelele ma-Muzingi,Q112220985,"Minister of Communications->Ministre d’État, ministre de la Communication et Médias",Q107189252-8319DA34-5A59-4F82-B5CE-DD508E0A56F8
->,Q106904800,Jean Joseph Kasonga Mukuta,Q54429353,Minister of Agriculture of Democratic Republic of the Congo->Ministre de l’Agriculture,Q106904800-2B1BFAAE-94AD-46BA-9C93-A0B0AEECF135
->,Q106904755,Jonathan Bialosuka Wata,Q112221000,Minister of Fishing->Ministre de la Pêche et Élevage,Q106904755-0A968BD6-0F65-4B71-84FC-56C0320C441E
->,Q106904741,Guy Mikulu Pombo,Q112221043,Minister of Rural Development->Ministre du Développement rural,Q106904741-DA980FF7-1F16-4010-AD66-BD10BF1823B2
->,Q106904729,Aggée Aje Matembo Toto,Q112221027,Minister of Physical Planning->Ministre de l’Aménagement,Q106904729-B3E280E1-A57C-4D05-B531-9E3B3CADE7CD
->,Q106904673,Marcel Amos Mbayo Kitenge,Q112221049,Minister of Sports->Ministre des Sports,Q106904673-A526171C-B5FD-4DFA-9EF3-512736611A0E
->,Q106904653,André Kabanda Kana,Q112221058,Minister without Portfolio->Ministre près le Président de la République,Q106904653-EF9AF96D-41E6-43B9-8894-1C7503628F2B
->,Q106904634,Eraston Kambale Tsongo,Q112221057,Minister of Youth->Ministre de la Jeunesse,Q106904634-B87F975C-9D5C-42C4-BAAC-7069F8C5ABB2
->,Q105798778,José Mpanda Kabangu,Q112221044,Minister of Scientific Research->Ministre de la Recherche Scientifique,Q105798778-281A924E-C9B4-42A7-BAA5-A7FDAF871794
---,Q96471576,Jaqueline Penge Sanganyoi,Q112221058,Minister without Portfolio,Q96471576-87F71687-4D3E-40C3-ADB7-21307D5542D3
---,Q78469448,Célestin Tunda ya Kasende,Q112221015,Minister of Justice,Q78469448-DE73FB5F-890F-48CB-A8FF-3959FE9B21F6
---,Q3002789,Crispin Atama Tabe,Q17110451,Minister of Defence,Q3002789-141DD666-22EC-4A46-828E-AA5D5B01A9A7
---,Q29239480,Bruno Tshibala,Q3401753,Prime Minister of the Democratic Republic of the Congo,Q29239480-956ff178-4c59-52ba-03ce-e5df888d96a0
---,Q18611995,Franck Mwe di Malila,Q6866142,Minister of Foreign Affairs,Q18611995-9d05ff99-48be-65b8-5acc-124263c8da98
---,Q112221982,Julien Paluku Kahongy,Q112221009,Minister of Industry,Q112221982-84500591-1DFE-4E39-82E5-84A62A4305A5
---,Q112221973,Jean-Baudoin Mayo Mambeke,Q112220973,Minister of Budget,Q112221973-34099513-AE00-4F40-9C99-500785DBB604
---,Q112221970,Jean Marie Lukundji Kikuni,Q54100574,Minister of Culture of the Democratic Republic of the Congo,Q112221970-48A7D943-FA67-49AE-86AF-3059CBB83F02
---,Q105523479,Jean-Michel Sama Lukonde,Q3401753,Prime Minister of the Democratic Republic of the Congo,Q105523479-42a6b140-4aea-ba42-8fb3-b538bc3073f4
+++,Q97501811,Didier Lutundula Okito,,Vice-ministre de l’Économie nationale,
+++,Q97161501,Félix Momat Kitenge,,Vice-ministre du Budget,
+++,Q96210443,Alpha Denise Lupetu Tshilumbayi,,Vice-ministre des Mines,
+++,Q96210122,Liliane Banga Lwaboshi,,Vice-ministre de l'Enseignement supérieur et universitaire,
+++,Q96209939,Jacqueline Penge Sanganyoi,,Ministre près le Premier ministre,
+++,Q95457762,Irène Esambo Diata,,Ministre chargée des personnes vivant avec handicap,
+++,Q95456177,Dr Jeanne Ilunga Zaina,,Vice-ministre de l'Environnement,
+++,Q60836700,Freddy Kita,,Vice-ministre du Plan,
+++,Q469286,Julien Paluku Kahongya,,Ministre de l’Industrie,
+++,Q28086239,Germain Kambinga Katomba,,Vice-ministre de la Formation professionnelle,
+++,Q20982179,Jean-Baudouin Mayo Mambeke,,"Vice-Premier ministre, ministre du Budget",
+++,Q109044538,Mata M'elanga Junior,,Vice-ministre Près le Ministre des Finances,
+++,Q107189786,Albert Mpeti Biyombo,,Vice-ministre de la Santé,
+++,Q107189695,Papy Pungu Lwamba,,Vice-ministre des Ressources hydrauliques et de l'Électricité,
+++,Q107189483,Jean-Marie Lukunji Kikuni,,Ministre de la Culture,
+++,Q106905153,Didier Budimbu Ntubuanga,,"Vice-ministre de l'Enseignement primaire, secondaire et technique",
+++,Q106904691,Sylvain Mutombo Kabinga,,Ministre auprès du ministre de la Défense,
+++,Q106904613,Jacques Yuma Kipuka,,Vice-ministre des Transports et voies de communication,
+++,Q106904543,Moussa Mondo,,Vice-ministre des Hydrocarbures,
+++,Q106904515,Innocent Bokele Walaka,,Vice-ministre de l'Intérieur,
+++,Q106904491,Bernard Takahishe Ngumbi,,Vice-ministre de la Justice,
+++,Q106904475,Valery Mukasa Mwanabute,,Vice-ministre de la Coopération internationale et régionale,
+++,Q106786484,Raymond Tchedya Patay,,Vice-ministre des Affaires étrangères et des Congolais de l’Étranger,
+++,Q106044069,Eyrolles Michel Mvunzi Meya,,Ministre auprès du ministre de l’Intérieur,
