@@,item,itemlabel,position,positionlabel,psid
->,Q99852154,Déogratias Nkusu Kunzi Bikawa,Q112221041,Minister of Relations with the Parliament->Ministre des Relations avec le Parlement,Q99852154-18F06C49-FB09-4E95-8DDA-35F256CED3F4
->,Q99851996,Clément Kuete Nymi Bemuna,Q112221026,Minister of Parastatals->Ministre du Portefeuille,Q99851996-A28DF432-645F-4035-842E-5D04118BC2DF
->,Q99851849,Pius Muabilu Mbayu Mukala,Q112221052,"Minister of Urban Development->Ministre d’État, ministre de l’Urbanisme et Habitat",Q99851849-DC205471-526C-413C-B3F1-B365F57C5CC1
->,Q98923080,Willy Kitobo Samsoni,Q112221020,Minister of Mines->Ministre des Mines,Q98923080-27D4F135-DCC6-4D94-A621-DE062EA086C5
->,Q97478738,Willy Ngoopos Sunzhel,Q112221011,"Minister of Infrastructure->Vice-Premier ministre, ministre des Infrastructures et Travaux publics",Q97478738-FA22B4CF-FF68-42B1-8064-61F43F6D2271
->,Q97464659,Augustin Kibassa->Augustin Kibassa Maliba,Q112221031,"Minister of Posts and Telecommunications->Ministre des Postes, Télécommunications et Nouvelles technologies de l’information et de la communication",Q97464659-2B504113-C665-4804-99C0-94EE8C07F37F
->,Q97464651,Willy Bakonga Wilima,Q112221034,"Minister of Primary and Secondary Education->Ministre d’État, ministre de l’Enseignement primaire, secondaire et technique",Q97464651-081A398C-45C9-46F5-AB9F-26AE18C9205B
->,Q97446584,Steve Mbikayi Mabuluki,Q112221006,Minister of Humanitarian Affairs->Ministre des Actions humanitaires et Solidarité nationale,Q97446584-0ADA5CC2-F19D-4978-8369-E2AC388E545B
->,Q97368316,John Ntumba Panumankole,Q112221053,Minister of Vocational Training->Ministre de la Formation professionnelle,Q97368316-72B26BE2-9E1D-4473-A366-33EF7C989746
->,Q97277162,Néné Nkulu Ilunga->Nene Nkulu Ilunga,Q112221017,"Minister of Labour->Ministre d’État, ministre de l’Emploi, Travail et Prévoyance sociale",Q97277162-50AC7011-D413-46E1-94A5-1669DFBA77EA
->,Q97163169,Didier Mazengu Mukanzu,Q112221051,Minister of Transport->Ministre des Transports et Voies de communications,Q97163169-7E03106F-6D92-483E-8EAA-609EE298FAD4
->,Q96999221,Pépin Guillaume Manjolo,Q112221014,"Minister of International Cooperation->Ministre d’État, ministre de la Coopération internationale, intégration régionale et Francophonie",Q96999221-143630A1-128A-4803-A643-7D37401A0EE4
->,Q96468125,Yves Bonkulu Zola->Yves Bunkulu Zola,Q54437053,Minister of Tourism of the Democratic Republic of the Congo->Ministre du Tourisme,Q96468125-EFA06E86-C4B5-4CE5-9550-EDFBE48CF57F
->,Q96464551,Eustache Muhanzi Mubembe,Q112221054,"Minister of Water Resources and Electricity->Ministre d’État, ministre des Ressources hydrauliques et de l’Électricité",Q96464551-A54800A3-70D5-45B6-99D0-DCE90D94D77A
->,Q96210398,Aimé Sakombi Molendo,Q112221018,Minister of Lands->Ministre des Affaires foncières,Q96210398-4A4F3543-5407-4281-9993-3AE743B5B369
->,Q96210162->Q107137043,Rose Boyata Monkaju,Q108730998,Minister of Social Affairs->Ministre des Affaires sociales,Q96210162-0778C6D4-C0D1-48D9-9609-F39128E81045
