@@,item,itemlabel,position,positionlabel,startdate,enddate,psid
->,Q97464651,Willy Bakonga Wilima,Q112221049,Minister of Sports->Sports,2016-12-19,2017-05-09,Q97464651-1EAF918E-D70C-4F03-A152-DDC2A1A14A18
->,Q97446584,Steve Mbikayi Mabuluki,Q112221003,Minister of Higher Education->Enseignement Supérieur Universitaire,2016-12-19,2019-01-23,Q97446584-BF4C5F6E-F022-446E-BE7B-B63C5616BDFF
->,Q60958438,Marcel Ilunga Leu,Q112221009,Minister of Industry->Industrie,2016-12-19,2019-01-23,Q60958438-52FC81A2-BA4E-4FA1-B640-5EBFE77A8229
->,Q56618763,Marie-Louise Mwange,Q112220999,"Minister of Family->Genre, Enfant et Famille",2016-12-19,2017-05-09,Q56618763-DAE1074B-3E94-49C5-A33F-33773960F187
->,Q56515694,Jean-Lucien Bussa,Q112221028,Minister of Planning->Plan,2016-12-19,2017-05-09,Q56515694-E3B74A6B-CDB9-4B34-8578-546A62C89A8B
->,Q54010330,Oly Ilunga Kalenga,Q112221001,Minister of Health->Santé,2016-12-19,2019-01-23,Q54010330-5FF0B220-2242-41BD-8824-78AC48651BF3
->,Q40680866,Gaston Musemena,Q112221034,"Minister of Primary and Secondary Education->Enseignement primaire, secondaire et professionnel",2016-12-19,2019-01-23,Q40680866-DD46D1DC-5DEF-48F1-A837-FDCB77364BCF
->,Q3295482,Martin Kabwelulu,Q112221020,Minister of Mines->Mines,2007-02-05,2019-01-23,Q3295482-C0C83F7D-4542-4C64-8092-791D480A8FEA
->,Q3271542,Léonard She Okitundu,Q6866142,Minister of Foreign Affairs->Affaires étrangères et Intégration régionale,2016-12-19,2019-01-23,Q3271542-CD030B1A-5988-4902-9ABF-0B60A5BFAF9D
->,Q3186402,José Makila Sumanda,Q112221051,Minister of Transport->Transport et Voies de communication,2016-12-19,2019-01-23,Q3186402-B4909E71-0983-46F2-8945-22CF52AEFDF6
->,Q3167591,Jean-Marie Bulambo Kilosho,Q112221000,Minister of Fishing->Pêche et Elevage,2016-12-19,2017-05-09,Q3167591-EF4C74CB-8740-42F5-A56C-25B794D0EE93
->,Q3060173,Eugène Serufuli Ngayabaseka,Q112221045,Minister of Small and Medium Enterprises->Petites et moyennes entreprises,2016-12-19,2017-05-09,Q3060173-5909280E-CCAD-4950-9CAE-2EE04A083FD8
->,Q3002789,Crispin Atama Tabe,Q17110451,"Minister of Defence->Défense nationale, anciens combattants et Réinsertion",2015-09-25,2019-01-23,Q3002789-9403340D-663F-4588-99E4-E48132AEBFE1
->,Q28811859,Marie-Ange Mushobekwa,Q112221005,Minister of Human Rights->Droits humains,2016-12-19,2019-01-23,Q28811859-D3E9F481-EDFC-4469-88B7-FD72DEBA9800
->,Q2875098,Azarias Ruberwa,Q112220990,Minister of Decentralization->Décentralisation et réforme institutionnelle,2016-12-19,2019-01-23,Q2875098-8A9F1728-F3E5-42D5-85CD-BFBD172C2E68
->,Q2834659,Alexis Thambwe Mwamba,Q112221015,Minister of Justice->Justice et Garde des sceaux,2016-12-19,2019-01-23,Q2834659-698A0FA1-4420-493F-A4BB-D41E6528DCEC
->,Q20740642,Justin Bitakwira,Q112221041,Minister of Relations with the Parliament->Relation avec le Parlement,2016-12-19,2017-05-09,Q20740642-9B0BA2B6-25FE-445F-B786-A49E491BD881
->,Q19631192,Henri Yav Mulang,Q97366094,Minister of Finance->Finances,2014-12,2019-08,Q19631192-EA1ABD0A-3818-4D08-B203-2403CABD7178
->,Q19544597,Félix Kabange,Q112221018,Minister of Lands->Affaires foncières,2016-12-19,2017-05-09,Q19544597-DEAE1817-D4F4-41FA-BDEB-460208C0AA0F
->,Q19543886,Modeste Bahati Lukwebo,Q112220992,Minister of Economy->Économie nationale,2014-12-09,2017-05-09,Q19543886-33DA0E05-1F84-4D59-85BA-85365DFC249E
->,Q18681696,Aimé Ngoy Mukena,Q112221007,Minister of Hydrocarbons->Hydrocarbures,2015-09-25,2019-01-23,Q18681696-12E44C95-F55C-4C52-8B8F-E5743DF25E94
->,Q18649355,Thomas Luhaka,Q112221011,"Minister of Infrastructure->Infrastructures, Travaux publics et reconstruction",2016-12-19,2019-01-23,Q18649355-CD93B36C-D236-4E9D-9D6D-819CAA897106
->,Q18642480,Michel Bongongo,Q112220980,Minister of Civil Service->Fonction publique,2016-12-19,2019-01-23,Q18642480-20731A13-4549-428F-9740-B8AA4FBCE1DB
->,Q18353237,Aimé Boji,Q56515760,Minister of Foreign Trade->Commerce extérieur,2016-12-19,2017-05-09,Q18353237-C1A6CD54-859C-4B80-9DB7-FAD707FEAA07
->,Q178793,Lambert Mende Omalanga->Lambert Mende,Q112220985,Minister of Communications->Communication et Médias,2014-12-09,2019-01-23,Q178793-5CFE3461-94FD-4DF8-BC32-F5161984AD40
->,Q17639110,Samy Badibanga,Q3401753,Prime Minister of the Democratic Republic of the Congo->Premier ministre,2016-11-17,2017-05-18,Q17639110-0277E615-73F3-4BA1-AA84-F449ED1DC370
->,Q16269662,Emmanuel Ramazani Shadary,Q112221013,Minister of Interior->Intérieur,2016-12-19,2018-02-21,Q16269662-A2D2CC79-44EA-4841-9087-9F67FE6AD67D
->,Q112222028,Sylvain Maurice Masheke,Q54100574,Minister of Culture of the Democratic Republic of the Congo->Cultures et Arts,2016-12-19,2017-05-09,Q112222028-2DD39B60-F0FC-487F-AE8A-996F3A0E31A2
->,Q112222013,Pierre Anatole Matusila,Q112220996,Minister of Energy->Énergie et ressources hydrauliques,2016-12-19,2017-05-09,Q112222013-FB5C0FF7-AF64-4791-A401-329338FAF232
->,Q112222009,Patrick Mayombe Mumbioko,Q54429353,Minister of Agriculture of Democratic Republic of the Congo->Agriculture,2016-12-19,2017-05-09,Q112222009-A4B98E4E-639C-4526-B7FE-35E032F57AEC
->,Q112222007,Paluku Kisaka Yereyere,Q108730998,"Minister of Social Affairs->Affaire sociales, solidarité et action humanitaires",2016-12-19,2017-05-09,Q112222007-0F1205B2-6E78-411D-B7E6-8AC082E020A6
->,Q112221990,Lambert Matuku,Q112220994,"Minister of Employment->Emploi, Travail et Prévoyance sociale",2016-12-19,2019-01-23,Q112221990-C3FCB020-00A9-463E-A082-8EE1B6F0611A
->,Q112221979,Joseph Kokonyangi,Q112221052,Minister of Urban Development->Urbanisme et Habitat,2016-12-19,2019-01-23,Q112221979-66D41293-C992-4B36-96F1-88B4C221CF06
->,Q112221957,Fidèle Ntingu Bayi,Q112221058,Minister without Portfolio->Ministre Délégué auprès du Premier ministre,2016-12-19,2017-05-09,Q112221957-0864F762-D8E5-4036-A5F8-B7E52ACF58BE
->,Q112221939,Clément Kanku Bukasa,Q112220988,Minister of Cooperation and Development->Coopération au développement,2016-12-19,2017-05-09,Q112221939-90EF0404-2DBE-4674-BBF5-2B011ACCC13E
->,Q112221929,Bamboka Lobendi,Q112221044,Minister of Scientific Research->Recherche scientifique,2016-12-19,2017-05-09,Q112221929-B31ADB34-8585-463E-99D5-432C8311EF08
->,Q112221925,Atis Kabongo Kalonji,Q112220998,Minister of Environment->Environnement et Développement durable,2016-12-19,2017-05-09,Q112221925-345A64E6-F6A1-4D9C-A433-63DC88DFB581
->,Q112221923,André Moke Sanza,Q54437053,Minister of Tourism of the Democratic Republic of the Congo->Tourisme,2016-12-19,2017-05-09,Q112221923-50CF4C8A-4433-4028-AAC7-B539491F3ECE
->,Q109044479,Martine Ntumba Bukasa,Q112221043,Minister of Rural Development->Développement rural,2016-12-19,2017-05-09,Q109044479-3E3B1D14-C9DF-4BBB-87A5-CCACBC615968
->,Q106904741,Guy Mikulu Pombo,Q112221053,"Minister of Vocational Training->Formation professionnelle, métiers et Artisanats",2016-12-19,2017-05-09,Q106904741-0B741C09-1FA8-44FF-8057-EB28F73C35BA
->,Q104889315,Wivine Mumba Matipa,Q112221026,Minister of Parastatals->Portefeuille,2016-12-19,2019-01-23,Q104889315-AA6962F7-6613-4182-B866-429B470B384A
---,Q112222033,Venant Tshipasa,Q112220989,Minister of Customary Affairs,2016-12-19,2017-05-09,Q112222033-B30B7C42-2742-4E0B-AB0A-C72A80D4074E
---,Q110770469,Maguy Kiala Bolenga Boley,Q112221057,Minister of Youth,2016-12-19,2019-01-23,Q110770469-80D084F5-2694-4985-B049-EF0ECFE55102
---,Q108106499,Amy Ambatobe Nyongolo,Q112221031,Minister of Posts and Telecommunications,2016-12-19,2017-05-09,Q108106499-1C6659A3-28A1-4A99-85C1-85A65D5CF226
---,Q107528370,Pierre Kangudia,Q112220973,Minister of Budget,2016-12-19,2019-01-23,Q107528370-0EE88948-0B5C-45AE-A14C-EBF7FCA21B95
+++,Q96988286,Nathalie Bul'an'sung Sanata,,Commerce extérieur,,,
+++,Q85853156,Emmanuel Ilunga Ngoy Kasongo,,Congolais de l'étranger,,,
+++,Q2966383,Christophe Mboso N'Kodia Pwanga,,Enseignement Supérieur et Universitaire,,,
+++,Q18611995,Franck Mwe di Malila,,Plan,,,
+++,Q110500625,Noël Botakile,,Agriculture,,,
+++,Q104416504,Maguy Rwakabuba,,Santé,,,
+++,,Agée Matembo,,Environnement,,,
+++,,Ami Ambatombe Nyongolo,,"Postes, télécommunication et NTIC",,,
+++,,Tharcisse Loseke Nembalemba,,Finances,,,
+++,,Isidore Omari Kampene,,Télécommunications et NTIC,,,
+++,,Omer Egbake Yangembe,,Portefeuille,,,
+++,,Papy Matenzolo,,Infrastructures,,,
+++,,Zachée Rugabisha,,Urbanisme,,,
+++,,Willy Ngoposs Sunzel,,Budget,,,
+++,,Willy Mishiki,,Énergie et ressources hydrauliques,,,
+++,,John Kwete,,Coopération au développement,,,
+++,,Pierre Kangudia Mbayi,,Budget,,,
+++,,Edouard Kiove Kola,,Justice,,,
+++,,Bishumu Akupendayi,,Économie,,,
+++,,Samy Adubango,,Transports et Voies de communication,,,
+++,,Arthur Sedea,,Travail et Prévoyance sociale,,,
+++,,Corneille Maswaswa,,Défense nationale,,,
+++,,Basile Olongo,,Intérieur,,,
+++,,Yves Kisombe,,Affaires étrangères,,,
+++,,Venant Tshipasa Vangi,,Affaires coutumières,,,
+++,,Maguy Kiala Bolenga,,Jeunesse et Initiation à la nouvelle citoyenneté,,,
+++,,Montana Mpuku Autaine,,Décentralisation et Réforme institutionnelle,,,
