@@,item,itemlabel,position,positionlabel,startdate,enddate,psid
->,Q60958438,Marcel Ilunga Leu,Q112221009,Minister of Industry->Ministre de l'Industrie,2016-12-19,2019-01-23,Q60958438-52FC81A2-BA4E-4FA1-B640-5EBFE77A8229
->,Q56654533,Chantal Safu,Q112220999,"Minister of Family->Ministre du Genre, des Enfants et de la Famille",2017-05-09,2019-01-23,Q56654533-1F5DDAA1-D9ED-4338-8B48-54F53FF5B7BA
->,Q2897532,Bernard Biando Sango,Q112221047,Minister of Solidarity and Humanitarian Affairs->Ministre de la Solidarité et de l'Action humanitaire,2017-05-09,2019-01-23,Q2897532-EB919A31-4D0E-4A18-B547-117625CD7519
->,Q28811859,Marie-Ange Mushobekwa,Q112221005,Minister of Human Rights->Ministre des Droits humains,2016-12-19,2019-01-23,Q28811859-D3E9F481-EDFC-4469-88B7-FD72DEBA9800
->,Q2834659,Alexis Thambwe Mwamba,Q112221015,"Minister of Justice->Ministre d'État, Ministre de la Justice et Garde des Sceaux",2016-12-19,2019-01-23,Q2834659-698A0FA1-4420-493F-A4BB-D41E6528DCEC
->,Q20740642,Justin Bitakwira,Q112221005,Minister of Human Rights->Ministre du Développement rural,2017-05-09,2019-01-23,Q20740642-4D706EC6-B2D6-44E9-AD90-0035809E8828
->,Q19631192,Henri Yav Mulang,Q97366094,Minister of Finance->Ministre des Finances,2014-12,2019-08,Q19631192-EA1ABD0A-3818-4D08-B203-2403CABD7178
->,Q19543886,Modeste Bahati Lukwebo,Q112221028,Minister of Planning->Ministre d'État du Plan,2017-05-09,2019-01-23,Q19543886-E4EE6E14-6E09-460C-981A-2F1C29D5E41F
->,Q18681696,Aimé Ngoy Mukena,Q112221007,Minister of Hydrocarbons->Ministre des Hydrocarbures,2015-09-25,2019-01-23,Q18681696-12E44C95-F55C-4C52-8B8F-E5743DF25E94
->,Q18649355,Thomas Luhaka,Q112221011,"Minister of Infrastructure->Ministre des Infrastructures, des Travaux publics et de la Reconstruction",2016-12-19,2019-01-23,Q18649355-CD93B36C-D236-4E9D-9D6D-819CAA897106
->,Q18611995,Franck Mwe di Malila,Q6866142,Minister of Foreign Affairs->Ministre du Tourisme,2019-04-30,2019-09-06,Q18611995-9d05ff99-48be-65b8-5acc-124263c8da98
->,Q112222031,Tshibangu Kalala,Q112221058,Minister without Portfolio->Ministre délégué auprès du Premier ministre,2017-05-09,2019-01-23,Q112222031-7F3C86C0-088B-46BF-B2CE-72A616935672
->,Q112222017,Pierrot Uweka Ukaba,Q112221053,"Minister of Vocational Training->Ministre de la Formation professionnelle, des métiers et de l'artisanat",2017-05-09,2019-01-23,Q112222017-FDA9F264-8588-481D-8C41-B47F0491CD31
->,Q112221992,Lumeya Dhu-Maleghi,Q112221018,Minister of Lands->Ministre des Affaires foncières,2017-05-09,2019-01-23,Q112221992-E82931A1-D689-4CF2-9012-48DF5241DD26
->,Q112221976,John Kwet Mwan Kwet,Q112220988,Minister of Cooperation and Development->Ministre de la Coopération au développement,2017-05-09,2019-01-23,Q112221976-B999C311-34AF-4A8B-B10E-6C9A78DA5CCA
->,Q112221949->Q85853156,Emmanuel Ilunga Ngoy Kasongo,Q112220987,Ministre délégué chargé des Congolais de l'étranger,2017-05-09,2019-01-23,Q112221949-63AB50A8-7012-45E1-AD44-AEC1BE48B13D
->,Q112221946,Emery Okundji,Q112221031,"Minister of Posts and Telecommunications->Ministre des Postes, Télécommunications et NTIC",2017-05-09,2019-01-23,Q112221946-DD88AAFC-C722-4D6A-BBC8-7426488767A6
->,Q105546420,Jean-Pierre Lisanga Bonganga,Q112221041,Minister of Relations with the Parliament->Ministre des Relations avec le Parlement,2017-05-09,2019-01-23,Q105546420-CB1D4717-BC09-4E97-9C19-94C562481108
->,Q104889315,Wivine Mumba Matipa,Q112221026,Minister of Parastatals->Ministre du Portefeuille,2016-12-19,2019-01-23,Q104889315-AA6962F7-6613-4182-B866-429B470B384A
---,Q97446584,Steve Mbikayi Mabuluki,Q112221003,Minister of Higher Education,2016-12-19,2019-01-23,Q97446584-BF4C5F6E-F022-446E-BE7B-B63C5616BDFF
---,Q90354281,José Sele Yalaghuli,Q97366094,Minister of Finance,2019-08,2021-04,Q90354281-9A8144F0-AF22-4ACE-9D99-251572BEE034
---,Q63967715,Sylvestre Ilunga,Q3401753,Prime Minister of the Democratic Republic of the Congo,2019-05-20,2021-01-28,Q63967715-da1aaa41-609d-49be-ac9f-dce2a159734a
---,Q56515694,Jean-Lucien Bussa,Q56515760,Minister of Foreign Trade,2017-05-09,2019-01-23,Q56515694-de5234eb-4402-3d26-fe69-923da03d1d18
---,Q54010330,Oly Ilunga Kalenga,Q112221001,Minister of Health,2016-12-19,2019-01-23,Q54010330-5FF0B220-2242-41BD-8824-78AC48651BF3
---,Q47171524,Joseph Kapika,Q112220992,Minister of Economy,2017-05-09,2019-01-23,Q47171524-BC74EA14-1C0A-49B2-8437-E4CC249827DC
---,Q3271542,Léonard She Okitundu,Q6866142,Minister of Foreign Affairs,2016-12,2019-03,Q3271542-CD030B1A-5988-4902-9ABF-0B60A5BFAF9D
---,Q3271542,Léonard She Okitundu,Q6866142,Minister of Foreign Affairs,2016-12-19,2019-01-23,Q3271542-E01D3705-D6D5-4088-B1C4-7E95C79A250D
---,Q3131683,Henri Mova Sakanyi,Q112221013,Minister of Interior,2018-02-21,2019-01-23,Q3131683-856303A4-68E0-43C8-9E02-747B65A274AC
---,Q29239480,Bruno Tshibala,Q3401753,Prime Minister of the Democratic Republic of the Congo,2017-05-18,2019-09-07,Q29239480-956ff178-4c59-52ba-03ce-e5df888d96a0
---,Q2875098,Azarias Ruberwa,Q112220990,Minister of Decentralization,2016-12-19,2019-01-23,Q2875098-8A9F1728-F3E5-42D5-85CD-BFBD172C2E68
---,Q17639110,Samy Badibanga,Q3401753,Prime Minister of the Democratic Republic of the Congo,2016-11-17,2017-05-18,Q17639110-0277E615-73F3-4BA1-AA84-F449ED1DC370
