item,itemLabel,position,positionLabel,startDate,endDate,source,sourceDate,psid
Q104889315,Wivine Mumba Matipa,Q112221026,Minister of Parastatals,2016-12-19,2019-01-23,,,Q104889315-AA6962F7-6613-4182-B866-429B470B384A
Q105546420,Jean-Pierre Lisanga Bonganga,Q112221041,Minister of Relations with the Parliament,2017-05-09,2019-01-23,,,Q105546420-CB1D4717-BC09-4E97-9C19-94C562481108
Q106904741,Guy Mikulu Pombo,Q112220989,Minister of Customary Affairs,2017-05-09,2019-01-23,,,Q106904741-4AF399F9-8D4B-4616-AB5A-8746438B47F4
Q107528370,Pierre Kangudia,Q112220973,Ministre du Budget,2016-12-19,2019-01-23,https://fr.wikipedia.org/wiki/Gouvernement_Tshibala,2022-06-05,Q107528370-0EE88948-0B5C-45AE-A14C-EBF7FCA21B95
Q109017046,Astrid Madiya,Q54100574,Minister of Culture of the Democratic Republic of the Congo,2017-05-09,2019-01-23,,,Q109017046-49EB1F22-6150-4077-AF7C-D258090DCB6E
Q110770469,Maguy Kiala Bolenga Boley,Q112221057,Minister of Youth,2016-12-19,2019-01-23,,,Q110770469-80D084F5-2694-4985-B049-EF0ECFE55102
Q112221920,Ami Ambatombe Nyongolo,Q112220998,Minister of Environment,2017-05-09,2019-01-23,,,Q112221920-F1F68749-2B6F-4093-8F91-FBD7CE3470AF
Q112221946,Emery Okundji,Q112221031,Minister of Posts and Telecommunications,2017-05-09,2019-01-23,,,Q112221946-DD88AAFC-C722-4D6A-BBC8-7426488767A6
Q112221949,Emmanuel Ilunga Ngoy Kasongo,Q112220987,Ministre délégué chargé des Congolais de l'étranger,2017-05-09,2019-01-23,https://fr.wikipedia.org/wiki/Gouvernement_Tshibala,2022-06-05,Q112221949-63AB50A8-7012-45E1-AD44-AEC1BE48B13D
Q112221954,Evariste Heva Muakasa,Q112221044,Minister of Scientific Research,2017-05-09,2019-01-23,,,Q112221954-3AEEA766-68B2-4175-BA30-8BD728D3FBB7
Q112221960,Georges Kazadi Kabongo,Q54429353,Ministre de l'Agriculture,2017-05-09,2019-01-23,https://fr.wikipedia.org/wiki/Gouvernement_Tshibala,2022-06-05,Q112221960-755FECD0-A9B7-4922-9B2D-BDAF0E288551
Q112221965,Ingele Ifoto,Q112220996,Ministre de l'Énergie et des Ressources hydrauliques,2017-05-09,2019-01-23,https://fr.wikipedia.org/wiki/Gouvernement_Tshibala,2022-06-05,Q112221965-27C852C7-2EE9-41DF-9230-E124C651027A
Q112221976,John Kwet Mwan Kwet,Q112220988,Minister of Cooperation and Development,2017-05-09,2019-01-23,,,Q112221976-B999C311-34AF-4A8B-B10E-6C9A78DA5CCA
Q112221979,Joseph Kokonyangi,Q112221052,Minister of Urban Development,2016-12-19,2019-01-23,,,Q112221979-66D41293-C992-4B36-96F1-88B4C221CF06
Q112221990,Lambert Matuku,Q112220994,Minister of Employment,2016-12-19,2019-01-23,,,Q112221990-C3FCB020-00A9-463E-A082-8EE1B6F0611A
Q112221992,Lumeya Dhu-Maleghi,Q112221018,Minister of Lands,2017-05-09,2019-01-23,,,Q112221992-E82931A1-D689-4CF2-9012-48DF5241DD26
Q112221997,Michel Bongongo Ikoli Ndombo,Q112220980,Minister of Civil Service,2016-12-19,2019-01-23,,,Q112221997-9C471849-AA33-4801-919D-187317C3D8E7
Q112222007,Paluku Kisaka Yereyere,Q112221000,Minister of Fishing,2017-05-09,2019-01-23,,,Q112222007-9729B718-52EF-47ED-BD5D-D8B014546AD6
Q112222017,Pierrot Uweka Ukaba,Q112221053,Minister of Vocational Training,2017-05-09,2019-01-23,,,Q112222017-FDA9F264-8588-481D-8C41-B47F0491CD31
Q112222031,Tshibangu Kalala,Q112221058,Minister without Portfolio,2017-05-09,2019-01-23,,,Q112222031-7F3C86C0-088B-46BF-B2CE-72A616935672
Q16269662,Emmanuel Ramazani Shadary,Q112221013,"Vice-Premier ministre, Ministère de l'Intérieur et Sécurité de la République démocratique du Congo",2016-12-19,2018-02-21,https://fr.wikipedia.org/wiki/Gouvernement_Tshibala,2022-06-05,Q16269662-A2D2CC79-44EA-4841-9087-9F67FE6AD67D
Q17639110,Samy Badibanga,Q3401753,Prime Minister of the Democratic Republic of the Congo,2016-11-17,2017-05-18,,,Q17639110-0277E615-73F3-4BA1-AA84-F449ED1DC370
Q178793,Lambert Mende Omalanga,Q112220985,Ministre de la Communication et des Médias,2014-12-09,2019-01-23,https://fr.wikipedia.org/wiki/Gouvernement_Tshibala,2022-06-05,Q178793-5CFE3461-94FD-4DF8-BC32-F5161984AD40
Q18611995,Franck Mwe di Malila,Q6866142,Minister of Foreign Affairs,2019-04-30,2019-09-06,,,Q18611995-9d05ff99-48be-65b8-5acc-124263c8da98
Q18649355,Thomas Luhaka,Q112221011,Minister of Infrastructure,2016-12-19,2019-01-23,,,Q18649355-CD93B36C-D236-4E9D-9D6D-819CAA897106
Q18681696,Aimé Ngoy Mukena,Q112221007,Minister of Hydrocarbons,2015-09-25,2019-01-23,,,Q18681696-12E44C95-F55C-4C52-8B8F-E5743DF25E94
Q19543886,Modeste Bahati Lukwebo,Q112221028,Minister of Planning,2017-05-09,2019-01-23,,,Q19543886-E4EE6E14-6E09-460C-981A-2F1C29D5E41F
Q19544597,Félix Kabange,Q112221040,Ministre de l'Aménagement du territoire,2017-05-09,2019-01-23,https://fr.wikipedia.org/wiki/Gouvernement_Tshibala,2022-06-05,Q19544597-5011F681-6327-444B-8FD1-FF58419237B8
Q19631188,Bienvenu Liyota Ndjoli,Q112221045,Ministre des Petites et moyennes entreprises,2017-05-09,2019-01-23,https://fr.wikipedia.org/wiki/Gouvernement_Tshibala,2022-06-05,Q19631188-A1FD6297-3B6A-413A-A041-4F7F9D4C3984
Q19631192,Henri Yav Mulang,Q97366094,Minister of Finance,2014-12,2019-08,,,Q19631192-EA1ABD0A-3818-4D08-B203-2403CABD7178
Q20740642,Justin Bitakwira,Q112221005,Minister of Human Rights,2017-05-09,2019-01-23,,,Q20740642-4D706EC6-B2D6-44E9-AD90-0035809E8828
Q2834659,Alexis Thambwe Mwamba,Q112221015,Minister of Justice,2016-12-19,2019-01-23,,,Q2834659-698A0FA1-4420-493F-A4BB-D41E6528DCEC
Q2875098,Azarias Ruberwa,Q112220990,Minister of Decentralization,2016-12-19,2019-01-23,,,Q2875098-8A9F1728-F3E5-42D5-85CD-BFBD172C2E68
Q28811859,Marie-Ange Mushobekwa,Q112221005,Minister of Human Rights,2016-12-19,2019-01-23,,,Q28811859-D3E9F481-EDFC-4469-88B7-FD72DEBA9800
Q2897532,Bernard Biando Sango,Q112221047,Minister of Solidarity and Humanitarian Affairs,2017-05-09,2019-01-23,,,Q2897532-EB919A31-4D0E-4A18-B547-117625CD7519
Q29239480,Bruno Tshibala,Q3401753,Prime Minister of the Democratic Republic of the Congo,2017-05-18,2019-09-07,,,Q29239480-956ff178-4c59-52ba-03ce-e5df888d96a0
Q3002789,Crispin Atama Tabe,Q17110451,"Ministre de la Défense nationale, des Anciens combattants et de la Réinsertion",2015-09-25,2019-01-23,https://fr.wikipedia.org/wiki/Gouvernement_Tshibala,2022-06-05,Q3002789-9403340D-663F-4588-99E4-E48132AEBFE1
Q3060173,Eugène Serufuli Ngayabaseka,Q108730998,Ministre des Affaires sociales,2017-05-09,2019-01-23,https://fr.wikipedia.org/wiki/Gouvernement_Tshibala,2022-06-05,Q3060173-C6CCCFE6-96F4-4DF4-B68B-7F5ED862F3C9
Q30728171,Papy Niango,Q112221049,Ministre des Sports et des Loisirs,2017-05-09,2019-01-23,https://fr.wikipedia.org/wiki/Gouvernement_Tshibala,2022-06-05,Q30728171-DE6D3BB4-F297-424E-9CB8-4F2FA0D30973
Q3131683,Henri Mova Sakanyi,Q112221013,Minister of Interior,2018-02-21,2019-01-23,,,Q3131683-856303A4-68E0-43C8-9E02-747B65A274AC
Q3186402,José Makila Sumanda,Q112221051,"Vice-Premier ministre, Ministère du Transport et Voies de Communication",2016-12-19,2019-01-23,https://fr.wikipedia.org/wiki/Gouvernement_Tshibala,2022-06-05,Q3186402-B4909E71-0983-46F2-8945-22CF52AEFDF6
Q3271542,Léonard She Okitundu,Q6866142,Minister of Foreign Affairs,2016-12,2019-03,,,Q3271542-CD030B1A-5988-4902-9ABF-0B60A5BFAF9D
Q3271542,Léonard She Okitundu,Q6866142,Minister of Foreign Affairs,2016-12-19,2019-01-23,,,Q3271542-E01D3705-D6D5-4088-B1C4-7E95C79A250D
Q3295482,Martin Kabwelulu,Q112221020,Ministre des Mines,2007-02-05,2019-01-23,https://fr.wikipedia.org/wiki/Gouvernement_Tshibala,2022-06-05,Q3295482-C0C83F7D-4542-4C64-8092-791D480A8FEA
Q40680866,Gaston Musemena,Q112221034,"Ministre de l'Enseignement primaire, secondaire et professionnel",2016-12-19,2019-01-23,https://fr.wikipedia.org/wiki/Gouvernement_Tshibala,2022-06-05,Q40680866-DD46D1DC-5DEF-48F1-A837-FDCB77364BCF
Q47171524,Joseph Kapika,Q112220992,Minister of Economy,2017-05-09,2019-01-23,,,Q47171524-BC74EA14-1C0A-49B2-8437-E4CC249827DC
Q54010330,Oly Ilunga Kalenga,Q112221001,Minister of Health,2016-12-19,2019-01-23,,,Q54010330-5FF0B220-2242-41BD-8824-78AC48651BF3
Q56515694,Jean-Lucien Bussa,Q56515760,Minister of Foreign Trade,2017-05-09,2019-01-23,,,Q56515694-de5234eb-4402-3d26-fe69-923da03d1d18
Q56654533,Chantal Safu,Q112220999,Minister of Family,2017-05-09,2019-01-23,,,Q56654533-1F5DDAA1-D9ED-4338-8B48-54F53FF5B7BA
Q60958438,Marcel Ilunga Leu,Q112221009,Minister of Industry,2016-12-19,2019-01-23,,,Q60958438-52FC81A2-BA4E-4FA1-B640-5EBFE77A8229
