item,itemLabel,position,positionLabel,startDate,endDate
Q3271542,Léonard She Okitundu,,"Vice-Premier ministre, Ministère des Affaires étrangères de la République démocratique du Congo",,
Q16269662,Emmanuel Ramazani Shadary,,"Vice-Premier ministre, Ministère de l'Intérieur et Sécurité de la République démocratique du Congo",,
Q3186402,José Makila Sumanda,,"Vice-Premier ministre, Ministère du Transport et Voies de Communication",,
Q2834659,Alexis Thambwe Mwamba,,"Ministre d'État, Ministre de la Justice et Garde des Sceaux",,
Q2834659,Alexis Thambwe Mwamba,,"Vice-Premier ministre, chargé des Affaires étrangères et de l'Intégration régionale",,
,Basile Olongo,,"Vice-Premier ministre, chargé de l'Intérieur et de la Sécurité",,
Q2875098,Azarias Ruberwa,,"Ministre d'État, Ministre de la Décentralisation et des Réformes institutionnelles",,
Q2875098,Azarias Ruberwa,,"Vice-Premier ministre, chargé des Transports et des Communications",,
Q19543886,Modeste Bahati Lukwebo,,Ministre d'État du Plan,,
Q19543886,Modeste Bahati Lukwebo,,Ministre de l'Économie nationale,,
Q107528370,Pierre Kangudia,,Ministre du Budget,,
Q2875098,Azarias Ruberwa,,Ministre de la Décentralisation et des Réformes institutionnelles,,
,Lambert Matuku Memas,,"Ministre d'État, Ministre de l'Emploi, du Travail et de la Prévoyance sociale",,
,Lambert Matuku Memas,,Ministre du Commerce extérieur,,
Q18642480,Michel Bongongo,,Ministre de la Fonction publique,,
Q18642480,Michel Bongongo,,"Ministre de la Défense nationale, des Anciens combattants et de la Réinsertion",,
Q105546420,Jean-Pierre Lisanga Bonganga,,Ministre des Relations avec le Parlement,,
Q105546420,Jean-Pierre Lisanga Bonganga,,Ministre de la Jeunesse et de l'Initiation à la nouvelle citoyenneté,,
Q19631192,Henri Yav Mulang,,Ministre des Finances,,
Q19631192,Henri Yav Mulang,,Ministre des Mines,,
Q104889315,Wivine Mumba Matipa,,Ministre du Portefeuille,,
Q104889315,Wivine Mumba Matipa,,Ministre de l'Aménagement du territoire et de la Rénovation de la Ville,,
,Emery Okundji,,"Ministre des Postes, Télécommunications et NTIC",,
,Emery Okundji,,"Ministre de l'Enseignement primaire, secondaire et professionnel",,
,Lumeya Dhu-Maleghi,,Ministre des Affaires foncières,,
,Lumeya Dhu-Maleghi,,Ministre de l'Énergie et des Ressources hydrauliques,,
Q18649355,Thomas Luhaka,,"Ministre des Infrastructures, des Travaux publics et de la Reconstruction",,
Q18649355,Thomas Luhaka,,Ministre de l'Urbanisme et de l'Habitat,,
Q60958438,Marcel Ilunga Leu,,Ministre de l'Industrie,,
Q60958438,Marcel Ilunga Leu,,Ministre de l'Enseignement supérieur et universitaire,,
Q18611995,Franck Mwe di Malila,,Ministre du Tourisme,,
Q18611995,Franck Mwe di Malila,,Ministre de l'Environnement et du Développement durable,,
,John Kwet Mwan Kwet,,Ministre de la Coopération au développement,,
,John Kwet Mwan Kwet,,Ministre des Hydrocarbures,,
Q56654533,Chantal Safu,,"Ministre du Genre, des Enfants et de la Famille",,
Q56654533,Chantal Safu,,Ministre des Affaires sociales,,
Q2897532,Bernard Biando Sango,,Ministre de la Solidarité et de l'Action humanitaire,,
Q2897532,Bernard Biando Sango,,Ministre des Petites et moyennes entreprises,,
,Pierrot Uweka Ukaba,,"Ministre de la Formation professionnelle, des métiers et de l'artisanat",,
,Pierrot Uweka Ukaba,,Ministre de la Recherche scientifique,,
,Justin Bitakwira,,Ministre du Développement rural,,
,Justin Bitakwira,,Ministre des Affaires coutumières,,
Q28811859,Marie-Ange Mushobekwa,,Ministre des Droits humains,,
