@@,item,itemlabel,position,positionlabel,startdate,enddate,psid
->,Q112222027->Q109044507,Simon Tuma-Waku Bawanganiwo,Q112221020,Mines et Hydrocarbures,2001-04-14,2003-07-30,Q112222027-5B74E01B-1D80-4CE8-BCC4-7B6321E14079
---,Q516526,André-Philippe Futa,Q54429353,Minister of Agriculture of Democratic Republic of the Congo,2001-04-14,2002-11-17,Q516526-771571FA-DF93-4DEF-8856-D0E07715CDB1
---,Q516526,André-Philippe Futa,Q112220992,Minister of Economy,2002-11-17,2003-07-30,Q516526-AAA53613-D18B-4AD6-8B9C-CC792F91B444
---,Q3271542,Léonard She Okitundu,Q6866142,Minister of Foreign Affairs,2000-11-20,2003-06-30,Q3271542-D4C29FA3-E10C-4C9D-95CA-C6F164C5F728
---,Q3087043,Freddy Matungulu,Q97366094,Minister of Finance,2001-04,2003-02,Q3087043-9B4F6578-D386-432B-8F3D-9D420296A5CA
---,Q2424586,Salomon Banamuhere Baliene,Q112221018,Minister of Lands,2001-04-14,2003-07-30,Q2424586-BC104217-6336-45F3-B274-C53406C1CDD7
---,Q112222002,Nkodi Mbaki,Q112221035,Minister of Public Works,2001-04-14,2003-07-30,Q112222002-3E86CA8A-5E96-468B-9563-036428A2EE5E
---,Q112221998,Mira Ndjoko,Q112221013,Minister of Interior,2001-04-14,2002-11-17,Q112221998-5A8DBF94-1A0E-45B7-9BFC-DE6E17B6A79E
---,Q112221995,Marthe Ngalula Wakuana,Q54100574,Minister of Culture of the Democratic Republic of the Congo,2001-04-14,2003-07-30,Q112221995-781FC7B3-8F98-4EB0-930E-A154A61297E2
---,Q112221989,Kutumisa Tshioka,Q112220993,Minister of Education,2001-04-14,2003-07-30,Q112221989-7E132BC1-E22A-435B-AE4F-4E524F6F97E9
---,Q112221966,Irung Awan,Q17110451,Minister of Defence,2001-04-14,2003-07-30,Q112221966-F39F67EF-B6E9-44B7-BE1B-A5B475CF107A
---,Q112221963,Helen Mateibo,Q112221009,Minister of Industry,2001-04-14,2003-07-30,Q112221963-19C5499F-7698-4979-B8A0-9AB401940A6A
---,Q112221959,George Buse Talai,Q112220996,Minister of Energy,2001-04-14,2003-07-30,Q112221959-BFBF74BD-1EC6-4BE9-9B86-894B4AE584B7
---,Q112221941,Dakahu Dino Wakale Minida,Q112221051,Minister of Transport,2001-04-14,2003-07-30,Q112221941-6E280BD3-9B5B-446A-BB1D-B776C44B6C5E
---,Q107041760,Timothée Moleka Nzulama,Q112221057,Minister of Youth,2001-04-14,2003-07-30,Q107041760-B6B14CB2-B8C7-43EA-8A71-3F497F244D1E
+++,Q96244459,Marthe Ngalula Wafwana,,Industrie et Commerce,,,
+++,Q96244459,Marthe Ngalula Wafwana,,Culture et Arts,,,
+++,Q516526,André-Philippe Futa,,André-Philippe Futa assure l’intérim du Ministre du Plan et de la Reconstruction Nationale.,,,
+++,Q516526,André-Philippe Futa,,"Agriculture, Élevage et Pêche",,,
+++,Q516526,André-Philippe Futa,,Économie,,,
+++,Q3271542,Léonard She Okitundu,,Affaires étrangères et Coopération Internationale,,,
+++,Q3271542,Léonard She Okitundu,,Affaires étrangères et Coopération,,,
+++,Q3196852,Kimbembe Mazunga,,"Travaux publics, Aménagement du Territoire, Urbanisme et Habitat",,,
+++,Q3087043,Freddy Matungulu,,Finances et Budget,,,
+++,Q3087043,Freddy Matungulu,,"Économie, Finances et Budget",,,
