item,itemLabel,party,partyLabel,area,areaLabel,startDate,endDate,gender,psid
Q2834659,Alexis Thambwe Mwamba,,,,,2019-01-28,,male,Q2834659-7928A0D4-92A3-4A99-B636-5592F1CC8FAA
Q2839924,Alphonse Ngoyi Kasanji,,,,,2019-01-28,,male,Q2839924-4FE1D09F-90B6-4B3C-8884-FF0810905443
Q379136,André Kimbuta,,,,,2019-01-28,,male,Q379136-3B16B3F3-4CC6-41FD-B5D9-D82C33F79BB3
Q112274893,Assumani Amani,,,,,2019-01-28,,,Q112274893-3B8B5149-BA85-43F5-A039-8E746802CD37
Q57883,Augustin Matata Ponyo,,,,,2019-01-28,,male,Q57883-57F7070A-71BC-412D-A7F6-C73DC7C284AB
Q112274894,Auguy Ilunga,,,,,2019-01-28,,,Q112274894-9EA151CF-BF88-4CE4-8114-A2A5876C5581
Q3332426,Autsai Asenga,,,,,2019-01-28,,male,Q3332426-55D2AFC5-105E-4EC2-AEFF-AF6BB48077B9
Q19543886,Bahati Lukwebo,,,,,2019-01-28,,male,Q19543886-114E3E9F-EA91-4ABE-9676-90766639CF63
Q112274895,Bahikita Jams,,,,,2019-01-28,,,Q112274895-9A2CEDA8-104B-42DA-A7FC-7BF630D1B11F
Q112274896,Bakomito Ngabu Jean,,,,,2019-01-28,,,Q112274896-F6756E2E-D5BE-4F19-ACD9-8B254FAA59CE
Q97464651,Bakonga Willy,,,,,2019-01-28,,male,Q97464651-0A7EE350-7DDB-41FF-AE84-61E257AE9E29
Q112274898,Bale Bila Basile,,,,,2019-01-28,,,Q112274898-9F907B68-F5A0-45C6-9552-1FDEE291D982
Q112262797,Batumoko Afozunde Jean-Pierre,,,,,2019-01-28,,male,Q112262797-18837508-7917-4EEF-9FA1-49A81C4DDC44
Q112274899,Bolingo Botakile Denise,,,,,2019-01-28,,,Q112274899-7FEB7744-AD6E-40D1-97E8-3E65B9D6D9F0
Q112262813,Boongo Nkoy Pancrace,,,,,2019-01-28,,male,Q112262813-F94A44B7-FA51-4260-BAE9-E39EB410E659
Q112274900,Bulasung Fanata Natalie,,,,,2019-01-28,,,Q112274900-F603EBEA-BF11-46C6-999C-B15F34E28FA7
