item,itemLabel,party,partyLabel,area,areaLabel,startDate,endDate,gender,psid
Q106505759,Aminata Namasia,,,Q2881771,Bambesa,2019-01,,female,Q106505759-796b285c-457a-ff5e-1d17-9403323180e3
Q29351876,Bienvenu Kalunga Mawazo Ga Nghombe,,,,,2011-11-28,,male,Q29351876-f8e1811e-4bfd-98e3-c051-a05b25b34c8d
Q107368856,Gael Bussa,,,Q834551,Sud-Ubangi,2019,,male,Q107368856-d474c8a4-4fc8-602e-e770-7d208e0ec6d0
Q63349528,Geneviève Inagosi,,,,,2011-11-28,,female,Q63349528-2920aeda-4621-837a-234c-3437287f857b
Q43106474,Henri-Thomas Lokondo Yoka,Q327591,IND,,,2011,2021-03-10,male,Q43106474-2313FDFC-382F-421F-B540-DD7F4717228D
Q104771218,Henriette Wamu Atamina,Q327591,IND,,,2006,,female,Q104771218-2caa8e9c-41fc-6cda-1c6b-cfc9917751f2
Q106163828,Jean-Marie Lukulasi Massamba,,,,,2018-12-30,,male,Q106163828-b7ef8092-4efe-0954-865c-dfb92f3ca44f
Q3295417,Martin Fayulu,Q1629663,Union for Democracy and Social Progress,Q3267189,Lukunga District,2011-11-28,2019-03-07,male,Q3295417-ec3ccd76-952b-469a-9a66-36fbeb2ee4c1
