@@,itemlabel,partylabel,arealabel,gender,psid
+++,ABOTOME BAKABISYA Roger,ALLIANCE,WATSA,male,
+++,ADIRODU DJARI Wilson,MS,IRUMU,male,
+++,ADUBANGO ALI Emmanuel,AAB,MAHAGI,male,
+++,ADUBANGO AWOTHO Samuel,AA/a,MAHAGI,male,
+++,AFOOTE AFOTUKU Anatole,PPRD,DJOLU,male,
+++,AGIGBA WIDIA Mamie,G18,GEMENA,female,
+++,AGOYO WAYIKO Eugénie,CPR,ARU,female,
+++,AHONO NZOBO Papy,CPR,BOLOMBA,male,
+++,ALFANI MACHOZI Marie-Claire,AFDC-A,WALIKALE,female,
+++,AMATO BAYUBASIRE MIRINDI AMATO,UNC,WALUNGU,male,
+++,AMBATOBE NYONGOLO Amy,MIP,FIZI,male,
+++,AMINATA NAMASIA BAZEGO,PCD,BAMBESA,female,
+++,AMISI LUPIA Patrick,ATIC,KAILO,male,
+++,ANOKONZI MASIKINI Jean-Pierre,MS,FARADJE,male,
+++,ASANI KABINA ALU,AFDC-A,BANALIA,male,
+++,ASSINA BINDIMONO Rufine,UNC,PUNIA,female,
+++,ATAMA TABE MOGODI Crispin,PPPD,FARADJE,male,
+++,ATUYAKILA KIMBAKU Emmanuel,CPR,FESHI,male,
+++,AUSSE AFINGOTO Jackson,AAB,IRUMU,male,
+++,AUTSAI ADRIKO Patrice,PPRD,ARU,male,
+++,AYOBANGIRA SAFARI NSHUTI Jean-Pierre,PPPD,MASISI,male,
---,Aminata Namasia,,Bambesa,female,Q106505759-796b285c-457a-ff5e-1d17-9403323180e3
+++,BABANGA MPOTIYOLO Anicet,CPR,INONGO VILLE,male,
+++,BABANGU WABABU Paul,AABC,IRUMU,male,
+++,BAHATI CHUMA Héritier,AAB,DJUGU,male,
+++,BAITSURA MUSOWA Chandrack,AAB,BENI,male,
+++,BALAMAGE N’KOLO Boniface,ECT,IDJWI,male,
+++,BALEKELAYI BEYA Donatien,AABC,KAZUMBA,male,
+++,BALENZA DI BALENZA Paul,AABC,FUNA,male,
+++,BALIESIMA KADUKIMA Albert,ADRP,BENI,male,
+++,BANDENONGA AKUKPA Fabrice,AA/a,DJUGU,male,
+++,BANIO DEBHO Daniel,AAB,ARU,male,
+++,BANYWESIZE MUKUZA MUHINI Vital,AFDC-A,KALEHE,male,
+++,BANZA LUNDA John,ABCE,KALEMIE,male,
+++,BANZA MULUME Marmont,AAB,KAMINA,male,
+++,BARHALENGEHWA BASIMINE Jules,ALLIANCE,KABARE,male,
+++,BAZAIBA MASUDI Eve,MLC,BASOKO,female,
+++,BEMBA WALE Caroline,MLC,GEMENA VILLE,female,
+++,BENZA KONGAWI Alphonse,G18,KUNGU,male,
+++,BEROCAN KERAURE Nono,ALLIANCE,MAHAGI,male,
+++,BIDJEP BIDJEP Etienne,UDPS/Tshisekedi,DIBAYA,male,
+++,BISWEKO KIMPESE Eddy,RRC,MANONO,male,
+++,BITIJULA MAHIMBA Martin,PCD,UVIRA,male,
+++,BOBE YABOY Jean-Pierre,MLC,LIBENGE,male,
+++,BOFAYA BOTAKA BAENDE René Sébastien,PPRD,BONGANDANGA,male,
+++,BOIKA MOHOKE ISENGE Faustin,MLC,BIKORO,male,
+++,BOKELE DJEMA Adrien,MIP,DEKESE,male,
+++,BOKO MATONDO Fabien,PALU&Alliés,FESHI,male,
+++,BOKOLOMBE BATULI Sam,AMK,BASANKUSU,male,
+++,BOKUMWANA MAPOSO Elysé,UDPS/Tshisekedi,BONGANDANGA,male,
+++,BOLENGETENGE BALEA Dieudonné,MS,ISANGI,male,
+++,BOLIKI BOKOTA Abraham,AA/a,KISANGANI,male,
+++,BOLILA LOLA-GA-TSHINA Devaux,ADRP,KISANGANI,male,
+++,BOLIO EMINA MPA REWIL Willy,PPPD,BOLOBO,male,
+++,BOLOKO ANGBENGA Gabriel,MS,BUMBA,male,
+++,BOMBELOSANDA BALUMA Patrick,PPRD,YAHUMA,male,
+++,BOMPANZE ENGOMBE Freddy,AFDC-A,INGENDE,male,
+++,BOMPINI BALINGA Michel,ADRP,OSHWE,male,
+++,BONANE YA NGANZI Xavier,PCD,DUNGU,male,
+++,BONGA LAISI Guillaume,UNC,BUKAVU VILLE,male,
+++,BOSISE BONGOLI René,AFDC-A,IKELA,male,
+++,BOTAKILE BATANGA Noël,AA/a,BONGANDANGA,male,
+++,BUKASA NGOY Prosper,ADRP,LUILU (MWENEDITU),male,
+++,BULAMBO KILOSHO Jean-Marie,ABCE,BUKAVU VILLE,male,
+++,BULE GBANGOLO BASABE Mohamed,MLC,BUTA VILLE,male,
+++,BUPILA Hussein John,ATIC,KABAMBARE,male,
+++,BUSHIRI MUHIRWA BETA,AAB,WALIKALE,male,
+++,BUSSA OMBAMBULE Gaël,CODE,BUDJALA,male,
+++,BYAYUWA MULEY Adolphine,RRC,KALEHE,female,
---,Bienvenu Kalunga Mawazo Ga Nghombe,,,male,Q29351876-f8e1811e-4bfd-98e3-c051-a05b25b34c8d
+++,CAMUNANI KALAZO Déocard,UNC,WALUNGU,male,
+++,CHEMBO NKONDE Serge,PPRD,SAKANIA,male,
+++,CHIRHULWIRE II BULALA BASENGEZI Richard,RRC,MWENGA,male,
+++,COKOLA NTWALI KATINTIMA Prince,PPRD,WALUNGU,male,
+++,DEDE KODORO KEWALO Justin,AABC,YAKOMA,male,
+++,DELMA MBO Sylvain,MS,BAGATA,male,
+++,DHEDDA TIKPA François,AAD,DJUGU,male,
+++,DIKAPA SHIMUNA Dieudonné,PPRD,KAZUMBA,male,
+++,DIMBU LUKOMBO Diane,PALU&Alliés,PWETO,female,
+++,DITU MONIZI Blaise,DO,TSHANGU,male,
+++,DJOLI ESENG’EKELI Jacques,MLC,BOENDE,male,
+++,DODA MAVUNGU Mathieu,ADU,SONGOLOLO,male,
+++,DRAZA ATSULE Jean-Claude,AA/a,ARU,male,
+++,DROTI OBHITRE RHUMBE Baudouin,AAD,ARU,male,
+++,EGWAKE YANGEMBE Omer,ADU,BUMBA,male,
+++,EHOLO EONI Norbert,ATIC,BUDJALA,male,
+++,ENDUNDO LOMATA Serge,G7,LUKOLELA,male,
+++,ENERUNGA MUUNDA Anselme,AAB,KALEHE,male,
+++,ENGBANDA MAANGA José,PPRD,,male,
+++,ENGELEMBA BOKUWE Célestin,ACO,MONKOTO,male,
+++,ETINA BEKILE IPAN Abdon,ADRP,KUTU,male,
+++,EYUMU NASA Célestin,AA/a,BULUNGU,male,
+++,EZADRI EGUMA Norbert,MS,ARU,male,
+++,FEZA MOTEMA Christine,AA/a,LUKUNGA,female,
+++,FUGURUTA MUKASA Hubert,UNC,GOMA VILLE,male,
+++,FUMANY GYMBADI Rombeau,ACC,GUNGU,male,
+++,FURAHA UMA Daniel,RRC,MAHAGI,male,
+++,FWANI SASI MALANDA Abner César,PPPD,TSHELA,male,
+++,GACHURUZI SHALLY Boniface,MIP,MASISI,male,
+++,GAMOTO MATEYASE Valentine,PPRD,BOSOBOLO,female,
+++,GBADI KARUME Jean,AAB,WAMBA,male,
+++,GHONDA MANGALIBI Antoine,PPRD,MADIMBA,male,
---,Gael Bussa,,Sud-Ubangi,male,Q107368856-d474c8a4-4fc8-602e-e770-7d208e0ec6d0
---,Geneviève Inagosi,,,female,Q63349528-2920aeda-4621-837a-234c-3437287f857b
+++,HAKIZ’UWERA NDABAGERA TITE,AABC,KALEHE,male,
---,Henri-Thomas Lokondo Yoka,IND,,male,Q43106474-2313FDFC-382F-421F-B540-DD7F4717228D
---,Henriette Wamu Atamina,IND,,female,Q104771218-2caa8e9c-41fc-6cda-1c6b-cfc9917751f2
+++,IBULA MWANA KATAKANGA Jules César,AA/a,KASONGO-LUNDA,male,
+++,IHEMBA KAYOMBO Isabelle,PPRD,DILOLO,female,
+++,IKENGE LISA/BOLA Laurent,AAD,ISANGI,male,
+++,IKUKT IKOK NGOLO Martin,PPRD,MWEKA,male,
+++,ILANGA LEMBOW Bienvenu,PPPD,KUTU,male,
+++,ILONGO TOKOLE Jean,AAB,KISANGANI,male,
+++,ILUNGA NKULU WA KILUBA Paul,AFDC-A,MALEMBA NKULU,male,
+++,INAGOSI BULO IBAMBI KASSONGO Genevieve,AA/a,WAMBA,female,
+++,INGELE IFOTO Jean-Marie,APCO,FUNA,male,
+++,IPAKALA ABEIYE MOBIKO André,INDEPENDANT,BAFWASENDE,male,
+++,IRACAN UNEN Gratien de Saint Nicolas,MS,BUNIA VILLE,male,
+++,ISEKEMANGA NKEKA René,RRC,BEFALE,male,
+++,IYANANIO MOLIGI Simon-Pierre,AAB,SHABUNDA,male,
---,Jean-Marie Lukulasi Massamba,,,male,Q106163828-b7ef8092-4efe-0954-865c-dfb92f3ca44f
+++,KABAMPELE NGABUL Didier Divalier,AFDC-A,TSHANGU,male,
+++,KABANGE NUMBI MUKWAMPA Félix,AAB,MALEMBA NKULU,male,
+++,KABANGU TSHIZUBU Bruno,UDPS/Tshisekedi,MBUJI-MAYI VILLE,male,
+++,KABASELE PANU Alidor,AA/a,TSHANGU,male,
+++,KABEYA KABEYA Olivier,UDPS/Tshisekedi,LUILU (MWENEDITU),male,
+++,KABEYA KALENGA Anaclet,UDPS/Tshisekedi,SAKANIA,male,
+++,KABILA KYUNGU Jaynet Désiré,PRP,KALEMIE VILLE,female,
+++,KABUND-A-KABUND Jean-Marc,UDPS/Tshisekedi,MONT AMBA,male,
+++,KABWE BANZA Papy Seoul,ADU,LUBUMBASHI VILLE,male,
+++,KABWELULU LABILO Martin,PALU&Alliés,MANONO,male,
+++,KABWIKA MASTAKI KULIVA Prosper,PALU&Alliés,LUBUDI,male,
+++,KAHENGA SOMPO Joseph,PPRD,LUBAO,male,
+++,KAHOZI BIN MALISAWA Augustin,PCD,LUBUMBASHI VILLE,male,
+++,KAKUBU K’ILAKA Alidor,PCD,LUIZA,male,
+++,KAKULE KALYOMO Déogratias,AABC,BUNIA VILLE,male,
+++,KAKULE KYATSANDIRE Godefroid,AR,MAMBASA,male,
+++,KALEND KANYIK Papy,AFDC-A,MUTSHATSHA,male,
+++,KALENGA MAMBEPA MATEMBELE Jean,ABCE,PWETO,male,
+++,KALIMW SONGO KUND Anaclet,PPPD,LUILU (MWENEDITU),male,
+++,KALOMBO TSHINKENKE Rombault,PPPD,DEMBA,male,
+++,KALONJI KALONJI Auguy,ATIC,TSHANGU,male,
+++,KALUKUTA MUSAU Josué,UDPS/Tshisekedi,LUIZA,male,
+++,KAMBALE EZECHIEL Barnabas,G7,MAMBASA,male,
+++,KAMBALE MATHE Mathieu,G7,BENI,male,
+++,KAMBALE MUHASA Alexandre,AABC,LUBERO,male,
+++,KAMBALE MUSEMO Daniel,AMK,BENI,male,
+++,KAMBALE SHANGILIA Zephanie,MS,RUTSHURU,male,
+++,KAMISENDU KUTUKA Jean,AFDC-A,MASI-MANIMBA,male,
+++,KAMUNDU BATUNDI Didier,G7,MASISI,male,
+++,KAMUNGA MULOWAYI André,UDPS/Tshisekedi,MBUJI-MAYI VILLE,male,
+++,KANEFU MUNJIWA Jean-Pierre,ADRP,LUBERO,male,
+++,KANGUDIA MBAYI Pierre,G18,MONT-AMBA,male,
+++,KANIKI MESU TSHIAKATUMBA Robert,MS,NGANDAJIKA,male,
+++,KANOW MANUNGANYI TSHIOBA Jean Constantin,UDPS/Tshisekedi,TSHIKAPA,male,
+++,KAPAMA MAPATANO Jacques,AABC,KOLWEZI VILLE,male,
+++,KAPIKA NDJI KANKU WU MUKUMADI Joseph,ABCE,KAZUMBA,male,
+++,KAPONGO MUNYOKA Donatien,UDPS/Tshisekedi,DEMBA,male,
+++,KAPOYA MUTOMB’ KALONG,AVANCONS,KAPANGA,male,
+++,KAPUFI MWANSA Viviane,AAAC,LUBUMBASHI VILLE,female,
+++,KAPUKU KAPUKU Florent,PPRD,MWEKA,male,
+++,KARUME BAKANEME Anne-Marie,ALLIANCE,WAMBA,female,
+++,KASANDA KADIESA Serkas,UDPS/Tshisekedi,MBUJI-MAYI VILLE,male,
+++,KASEREKA KALWAHALI Sylvain,AAD,LUBERO,male,
+++,KASEREKA MANGWENGWE Jadot,ATIC,BENI,male,
+++,KASEREKA WATHEVWA KIZERBO,AAB,BENI VILLE,male,
+++,KASHOBA KABONSHI Denis,AMK,KAMBOVE,male,
+++,KASINDI KINGOMBE Benjamin,AFDC-A,BUKAVU VILLE,male,
+++,KASONGO KABONDO Justin,PPRD,LUBUMBASHI VILLE,male,
+++,KASONGO MWADIAVITA Lucain,PPRD,KAMINA VILLE,male,
+++,KASUNKA WA BANZA Mathieu,AA/a,LUBUMBASHI VILLE,male,
+++,KASUSA KIKOBYA BARUANI Hilaire,AFDC-A,SHABUNDA,male,
+++,KATEMBO KAMBERE Thadée,AMK,LUBERO,male,
+++,KATEMBO MBUSA TEMBOS YOTHAMA,AMK,BUTEMBO VILLE,male,
+++,KATEMBO MUHINDO Désiré,AABC,RUTSHURU,male,
+++,KATEMBWE KASONGO Dieudonné,ATIC,KASONGO,male,
+++,KATSHONGO MBAVU Paulin,PPRD,MUTSHATSHA,male,
+++,KAVIRA KATOSHOHIRE Jeannine,AABC,BENI,female,
+++,KAVIRA MAPERA Jeannette,PALU&Alliés,LUBERO,female,
+++,KAYEMBE ILUNGA Jean-Pierre,AFDC-A,KANANGA VILLE,male,
+++,KAYINDA MAHINA Adèle,AFDC-A,SANDOA,female,
+++,KAYUMBA SHIKILWE Bernard,AAAC,LUKUNGA,male,
+++,KAZADI KABONGO Georges,CODE,KANIAMA,male,
+++,KAZADI MUAYILA Théodore,PPRD,TSHIKAPA,male,
+++,KAZEMBE MULWANI Innocent,AMK,PWETO,male,
+++,KAZUMBA MAYOMBO William,AFDC-A,DIBAYA,male,
+++,KAZWAZWA UBITE Modeste,MS,KENGE VILLE,male,
+++,KEZAMUDRU MUSISIRI Jean-Pierre,ADRP,NIAGARA,male,
+++,KIALA BOLENGA BOLEY Maguy,ADU,LUSAMBO VILLE,female,
+++,KIBALA N’KOLDE Jean-Claude,MS,MWENGA,male,
+++,KIBAU MAFUTA Jean,AAB,TSHANGU,male,
+++,KIBUKA KIA KIESE Raphaël,MLC,MONT AMBA,male,
+++,KIKOKA TONI GAYTONI,ADRP,KIMVULA,male,
+++,KILUBA LONGO Justin,PALU&Alliés,MALEMBA NKULU,male,
+++,KIMBUNDA MUDIKELA Jean,PPRD,MASI-MANIMBA,male,
+++,KIMBUTA MOTEMA Eric,PPRD,TSHANGU,male,
+++,KIOVE KOLA Eduard,UNC,LUBERO,male,
+++,KIPULU KABENGA Antoinette,RRC,MASI-MANIMBA,female,
+++,KIRO TSONGO Grégoire,AR,BENI VILLE,male,
+++,KITAMBALA KALONDA MANDA Christophe,ATIC,MOBA,male,
+++,KITENGE KAPÄLU Gaston,AA/a,KOLWEZI VILLE,male,
+++,KITSALI KATUNGO Jean-Hélène,ADRP,LUBUMBASHI VILLE,male,
+++,KITWA GODALENA IDA,PPPD,BUKAMA,female,
+++,KITWA MUTOMBO MPYANA Freddy,ACO,KAMINA,male,
+++,KIWILA WA BAKUNDA Charles,PCD,LIKASI VILLE,male,
+++,KOKONYANGI WITAMENE Joseph,AA/a,PANGI,male,
+++,KOLOBA DENGE Robert,AFDC-A,LIBENGE,male,
+++,KONZI LUVUNGU Floribert Fofo,PPPD,LUBUMBASHI VILLE,male,
+++,KOTONGO ANFIO BATO Jean-Bosco,G18,BUSINGA,male,
+++,KUHATELELA GUBEMBEYA Lucie,PPRD,GUNGU,female,
+++,KULUNGU DOUG,AAB,KASONGO-LUNDA,male,
+++,KUTEKALA KAAWA Albert,PPRD,KASONGO-LUNDA,male,
+++,LEBE MUPIYA Florent,AAAC,FUNA,male,
+++,LEKU APUOBO Emmanuel,AFDC-A,MAMBASA,male,
+++,LEMBI LIBULA Joseph,MLC,LISALA,male,
+++,LENGA WALENGA Alexis,MLC,GEMENA,male,
+++,LIHAU EBUA KALOKOLA Jean-Pierre,PPPD,BUMBA,male,
+++,LIKINDA BOLOM’ELENGE Fidèle,PPRD,IKELA,male,
+++,LINGO NGBANDANI Prince Ibrahim,ACO,BONDO,male,
+++,LIYOTA NDJOLI Bienvenu,AAB,LUKUNGA,male,
+++,LOKANA BAHATI Fidèle,ADRP,DJUGU,male,
+++,LOKOKA ISAKA François,MIP,BOKUNGU,male,
+++,LOKONDO YOKA Henri-Thomas,PALU&Alliés,MBANDAKA,male,
+++,LOMASA OKOTO DOMBELO Franck,PPRD,LOMELA,male,
+++,LOMBAKU LOHENDA Jean-Marc,ALLIANCE,LODJA,male,
+++,LONGONYA LAWODJA Charles,ALLIANCE,KATAKO-KOMBE,male,
+++,LOOLA EKOFO Floribert,RRC,BOKUNGU,male,
+++,LOTANA LOKASOLA Albert,AAB,DJOLU,male,
+++,LOTHAPE MADIMBO Nelson,PPRD,KOLE,male,
+++,LUBAYA Claudel André,AMK,KANANGA VILLE,male,
+++,LUKIANA MUFWANKOLO DIALUKUPA Marie-Ange,ADU,TSHANGU,female,
+++,LUKONO SOWA Dominique,AFDC-A,DEMBA,male,
+++,LUKULASI MASSAMBA Jean-Marie,AFDC-A,FUNA,male,
+++,LUKUSA KASHALA Willy,ADRP,MBUJI-MAYI VILLE,male,
+++,LUMANU CIMPAKA Véronique,PPRD,KABINDA VILLE,female,
+++,LUMANU MULENDA BWANA NSEFU Adolphe,PPRD,KABINDA,male,
+++,LUMBU KIALA René,RRC,KASONGO-LUNDA,male,
+++,LUMBU NGOY Yannick,ATIC,LUBUMBASHI VILLE,male,
+++,LUMEYA DHU MALEGHI Léonard,APCO-DDC,KIKWIT VILLE,male,
+++,LUNGUANA MATUMONA Jacques,MLC,MBANZA-NGUNGU,male,
+++,LUSENGE KAMBALE BONANE Jérôme,AR,LUBERO,male,
+++,LUTHELO NYUDI Muller Oscar,PPPD,MATADI VILLE,male,
+++,LUTUNDULA APALA PEN’APALA Christophe,G7,KATAKO-KOMBE,male,
+++,LUWALA NGAMAKOSHI Hubert,AAAC,BULUNGU,male,
+++,LUWEPE MAYARA Justin,PALU&Alliés,ILEBO,male,
+++,LUWUNDJI OKITASOMBO Alexis,AAAC,LODJA,male,
+++,MABGENGU SWANA EMINA MONZIA Dismas,ABCE,BUMBA,male,
+++,MABUNDA LIOKO Jeanine,PPRD,BUMBA,female,
+++,MADIMBA KALONJI Daniel,MLC,KATANDA,male,
+++,MAEMBO GELINGI Paulin,MLC,ISANGI,male,
+++,MAFEFE MUKOZO MWENE LUSENGA Aimé,AFDC-A,DILOLO,male,
+++,MAFUTA KABONGO Guy,MIP,TSHIKAPA,male,
+++,MAISHA BISHOBIBIRI Alfred,UNC,BUKAVU VILLE,male,
+++,MAKENGO LUTIMBA Hubert,AFDC-A,KASONGO,male,
+++,MAKENGO NGOMBE MATOKA Charles,,TSHANGU,male,
+++,MAKIASHI WILLY Willy,PALU&Alliés,GUNGU,male,
+++,MALANDJI MUJINGA Patient,ADRP,KOLWEZI VILLE,male,
+++,MALUKU POMBI Claude,ZAIRE,LISALA VILLE,male,
+++,MAMBA KABAMBA Jean-Jacques,MLC,LUKUNGA,male,
+++,MAMBEMBA MUKENGELE Florent,AABC,TSHANGU,male,
+++,MAMBIDI KOLOBORO Jean-Marc,AR,WATSA,male,
+++,MAMBO KATUNDA Jean-Bosco,DO,BAGATA,male,
+++,MAMPA MBEMBILA Belly,AMK,KASANGULU,male,
+++,MANARA LINGA Didi,PPRD,KASONGO,male,
+++,MANDA KANSABALA Jean,AMK,MOBA,male,
+++,MANDJUANDJUA MAYEMBE LA JEUNESSE,PCD,ILEBO,male,
+++,MANGABU LUABEYA Nadine,UDPS/Tshisekedi,MBUJI-MAYI VILLE,female,
+++,MANGAY BOSABA Pascal,AA/a,KUNGU,male,
+++,MANGAY MUMVUNGA Patrick,AA/a,FUNA,male,
+++,MANTEZOLO DIATEZUA Papy,CODE,LUOZI,male,
+++,MAOMBI KATSHONGO Sosthène,AFDC-A,LUBERO,male,
+++,MASAMABA MA-KIESE Rémy,UDPS/Tshisekedi,MONT AMBA,male,
