id,itemLabel,partyLabel,areaLabel,gender
401,NDOMBASI BANIKINA Ados,DO,FUNA,male
402,NEEMA PAININYE Grace,AABC,ANGO,female
403,NEMBALEMBA ESSUKU Léon,AFDC-A,FUNA,male
404,NGADJOLE DHEBO Jean,MIP,DJUGU,male
405,NGALULA ILUNGA Eric,UDPS/Tshisekedi,LUPATAPATA,male
406,NGANDU KATUNDA Alphonse,UDPS/Tshisekedi,KABEYA KAMWANGA,male
407,NGANDU KAYEMBE Valentin,PPRD,DIMBELENGE,male
408,NGBANYO MBUNGA DETATO José,AMK,MOBAYI-MBONGO,male
409,NGINDU SHINDANYI MUABI Espérant,PPPD,LUEBO,male
410,NGOBE YOTO Hardy,MLC,BASANKUSU,male
411,NGOIE MANY Liliane,PPRD,MANONO,female
412,NGOMBE NZEU Charles,MS,AKETI,male
413,NGOY KITANGALA Richard,PPPD,KONGOLO,male
414,NGOYI KASANJI Alphonse,PPRD,MBUJI-MAYI VILLE,male
415,NGWASI AKILIMALI Dieudonné,AFDC-A,KABARE,male
416,NIANGO IZIAMAY MUNSHEMVULA Papy,APCO,BANDUNDU VILLE,male
417,NKENGELA KAPIANGA Mimy,PPRD,BOENDE VILLE,female
418,NSAFU BUTSHIEMUNI Daniel,AMK,MONT AMBA,male
419,NSASE MUETUTUIKALE Dieudonné,PPRD,LUSAMBO,male
420,NSEYA MULELA Patricia,UDPS/Tshisekedi,LIKASI VILLE,female
421,NSIMBA MATONDO Modéro,ATIC,MOANDA,male
422,NSINGI PULULU Cerveau Pitshou,AAB,FUNA,male
423,NSUMBU MUNTU KALAVO Pierre,ACO,MBANZA-NGUNGU,male
424,NTAMBWE MPOSHI Charmant Eliezer,AMK,LUKUNGA,male
425,NTUDI NSUNGU Noël,PPRD,LUKUNGA,male
426,NTUMBA CIABOLA BINTOU,UDPS/Tshisekedi,KATANDA,female
427,NYARUGABO MUHIZI Moïse,G18,UVIRA,male
428,NZANGI NGELENGBI Antoine,CODE,YAKOMA,male
429,NZEKUYE KABURABUZA François,PPRD,RUTSHURU,male
430,ODIANE DOUNE Paulin,MS,ISIRO VILLE,male
431,OKENDE SENGA Cherubin,AMK,LUKUNGA,male
432,OKFUNGU OHOTO Justin,AAAC,KOLE,male
433,OKOTO LOLAKOMBE Jean-Charles,PPRD,LODJA,male
434,OKOYO NEMBWE Vincent,,OPALA,male
435,OKUNDJI NDJOVU Emery,RASSOP,LUBEFU,male
436,OLEKO MAFUE A BEOMBEY Stanilas,ABCE,LUBUTU,male
437,OMPETA SHONDA Emmanuel,G7,LODJA,male
438,OSUMAKA LOFANGA Augustin,,KISANGANI,male
439,OTSHUDI OLAMBA René,CODE,LUBUMBASHI VILLE,male
440,PAIPO NGWELI Wivine,PPRD,KABAMBARE,female
441,PALUKU KAMAVU Eric,AR,BUTEMBO VILLE,male
442,PASI ZAPAMBA BUKA Jean-Pierre,AAB,POPOKABAKA,male
443,PEMBAMOTO KYALA Matthieu,AABC,KAMBOVE,male
444,PEMBE BOKIAGA Didace,ADU,MUSHIE,male
445,PEMBE LUEMBA Tatiana,ACO,TSHANGU,female
446,PUELA Albert Fabrice,DO,MATADI VILLE,male
447,RASHIDI BUKANGA Rubin,AFDC-A,KINDU VILLE,male
448,RUSIZE BYATERANA Christian,PPRD,KABARE,male
449,RWAKABUBA RIBAGIZA Maguy,AFDC-A,RUTSHURU,female
450,SAFARI NGANIZI Jacques,PALU&Alliés,MASISI,male
451,SAKATA MOKE TAWAB Garry,PALU&Alliés,BAGATA,male
452,SEBUJANGWE KIRIVITA Bertin,ADRP,MASISI,male
453,SEDEA NGAMO ZABUSU Arthur,AABC,BUSINGA,male
454,SEGBEWI ZAMU Jacques,PPRD,GEMENA,male
455,SEGIHOBE BIGIRA Jean-Paul,CPR,RUTSHURU,male
456,SEKESA SADIANGE Dieudonné,PPRD,TSHIKAPA VILLE,male
457,SENEMONA MOINGA Paul,CODE,GEMENA,male
458,SERUFULI NGAYABASEKA Eugène,ADRP,RUTSHURU,male
459,SESANGA HIPUNGU DJA KASENG Delly,AR,LUIZA,male
460,SHISSO KONGOLO Hyancinthe,ADU,LUBUMBASHI VILLE,male
461,SIDO WAGIA Roger,CODE,ZONGO VILLE,male
462,SIMENE WA SIMENE Samuel,PPRD,KISANGANI,male
463,SOMANA MONDALI Justin,ALLIANCE,RUNGU,male
464,SORIANO KITANIKA Abraham,AMK,KASENGA,male
465,SWEDI KANYADURU Richard,PPRD,KALEMIE,male
467,TABU MAKUSI Angèle,MS,DJUGU,female
468,TAMBWE KATAMBWE André,PPRD,KATAKO-KOMBE,male
469,TAMBWE LUBAMBA Jean-Marie,AFDC-A,KABINDA,male
470,TAMBWE NGONGO MWANATSALI Maurice,PPRD,KINDU VILLE,male
471,TEPAGE TEDENDE Floribert,ATIC,BUTA,male
472,TOENGAHO LOKUNDO Faustin,RRC,BASOKO,male
473,TSHIBANG NTAMBW Denis,G7,LUILU (MWENEDITU),male
474,TSHIBANGU BUAMUKOSO Georges,MS,KAMIJI,male
475,TSHIBANGU KABULA Freddy,UDPS/Tshisekedi,TSHILENGE,male
476,TSHIELA KAMBA Eugénie,UDPS/Tshisekedi,KANANGA VILLE,female
477,TCHILEMB KABWIT Albert,PPRD,KOLWEZI VILLE,male
478,TSHILUMBU KANTOLA Paul,UDPS/Tshisekedi,TSHANGU,male
479,TSHIMANGA BUANA Jean-Pierre,AFDC-A,TSHIKAPA,male
480,TSHIPAMA LUNGANGA TSHIAMA Martin,AAAC,MWENE-DITU VILLE,male
481,TSHISUMPA TSHIAKATUMBA Placide,AA/a,TSHANGU,male
482,TSHIZAINGA KAPUMBA Cédrick,AA/a,LUBUMBASHI VILLE,male
483,TSHOMBA NTUNDU Collette,MIP,FUNA,female
484,TSHONGBOLO MALENGA Janvier,ZAIRE,GBADOLITE VILLE,male
485,TSUNDU TSUNDU Jonas,UNC,LUKULA,male
486,TUMBA MUKENDI André Léon,UDPS/Tshisekedi,MIABI,male
487,TUNDA KASONGO LUKALI Prosper,ATIC,KIBOMBO,male
488,TUTU TEDEZA KANGO Gilbert,ATIC,POKO,male
489,TWANA WIBINA Evariste,ACO,GEMENA,male
490,UNYON VAKPA KATUMBA Innocent,AABC,MAHAGI,male
491,UVOYA UNENCAN Jean-Faustin,AFDC-A,MAHAGI,male
492,UYEWA CWINYA’AY Daniel,ABCE,DJUGU,male
493,VUANGA MUKONGO Christelle,AMK,FUNA,female
494,WAMU ATAMINiA Henriette,UDPS/Tshisekedi,FUNA,female
495,WASSO WABIWA Irène,PCD,MWENGA,female
496,WIDJILOWO NE ITCHEND SAM D Martin,CPR,LUIZA,male
497,WUTE ELIKO Eugène,ABCE,MBANDAKA VILLE,male
498,YAMA NZALABAR Jolie,AA/a,IDIOFA,female
499,YAMBA KAZADI Gracia,AFDC-A,KANIAMA,female
500,YEMBA POYO Boniface,ADU,LUKUNGA,male
