id,itemLabel,partyLabel,areaLabel,gender
99,GBADI KARUME Jean,AAB,WAMBA,male
100,GHONDA MANGALIBI Antoine,PPRD,MADIMBA,male
101,HAKIZ’UWERA NDABAGERA TITE,AABC,KALEHE,male
102,IBULA MWANA KATAKANGA Jules César,AA/a,KASONGO-LUNDA,male
103,IHEMBA KAYOMBO Isabelle,PPRD,DILOLO,female
104,IKENGE LISA/BOLA Laurent,AAD,ISANGI,male
105,IKUKT IKOK NGOLO Martin,PPRD,MWEKA,male
106,ILANGA LEMBOW Bienvenu,PPPD,KUTU,male
107,ILONGO TOKOLE Jean,AAB,KISANGANI,male
108,ILUNGA NKULU WA KILUBA Paul,AFDC-A,MALEMBA NKULU,male
109,INAGOSI BULO IBAMBI KASSONGO Genevieve,AA/a,WAMBA,female
110,INGELE IFOTO Jean-Marie,APCO,FUNA,male
111,IPAKALA ABEIYE MOBIKO André,INDEPENDANT,BAFWASENDE,male
112,IRACAN UNEN Gratien de Saint Nicolas,MS,BUNIA VILLE,male
113,ISEKEMANGA NKEKA René,RRC,BEFALE,male
114,IYANANIO MOLIGI Simon-Pierre,AAB,SHABUNDA,male
115,KABAMPELE NGABUL Didier Divalier,AFDC-A,TSHANGU,male
116,KABANGE NUMBI MUKWAMPA Félix,AAB,MALEMBA NKULU,male
117,KABANGU TSHIZUBU Bruno,UDPS/Tshisekedi,MBUJI-MAYI VILLE,male
118,KABASELE PANU Alidor,AA/a,TSHANGU,male
119,KABEYA KABEYA Olivier,UDPS/Tshisekedi,LUILU (MWENEDITU),male
120,KABEYA KALENGA Anaclet,UDPS/Tshisekedi,SAKANIA,male
121,KABILA KYUNGU Jaynet Désiré,PRP,KALEMIE VILLE,female
122,KABUND-A-KABUND Jean-Marc,UDPS/Tshisekedi,MONT AMBA,male
123,KABWE BANZA Papy Seoul,ADU,LUBUMBASHI VILLE,male
124,KABWELULU LABILO Martin,PALU&Alliés,MANONO,male
125,KABWIKA MASTAKI KULIVA Prosper,PALU&Alliés,LUBUDI,male
126,KAHENGA SOMPO Joseph,PPRD,LUBAO,male
127,KAHOZI BIN MALISAWA Augustin,PCD,LUBUMBASHI VILLE,male
128,KAKUBU K’ILAKA Alidor,PCD,LUIZA,male
129,KAKULE KALYOMO Déogratias,AABC,BUNIA VILLE,male
130,KAKULE KYATSANDIRE Godefroid,AR,MAMBASA,male
131,KALEND KANYIK Papy,AFDC-A,MUTSHATSHA,male
132,KALENGA MAMBEPA MATEMBELE Jean,ABCE,PWETO,male
133,KALIMW SONGO KUND Anaclet,PPPD,LUILU (MWENEDITU),male
134,KALOMBO TSHINKENKE Rombault,PPPD,DEMBA,male
135,KALONJI KALONJI Auguy,ATIC,TSHANGU,male
136,KALUKUTA MUSAU Josué,UDPS/Tshisekedi,LUIZA,male
137,KAMBALE EZECHIEL Barnabas,G7,MAMBASA,male
138,KAMBALE MATHE Mathieu,G7,BENI,male
139,KAMBALE MUHASA Alexandre,AABC,LUBERO,male
140,KAMBALE MUSEMO Daniel,AMK,BENI,male
141,KAMBALE SHANGILIA Zephanie,MS,RUTSHURU,male
142,KAMISENDU KUTUKA Jean,AFDC-A,MASI-MANIMBA,male
143,KAMUNDU BATUNDI Didier,G7,MASISI,male
144,KAMUNGA MULOWAYI André,UDPS/Tshisekedi,MBUJI-MAYI VILLE,male
145,KANEFU MUNJIWA Jean-Pierre,ADRP,LUBERO,male
146,KANGUDIA MBAYI Pierre,G18,MONT-AMBA,male
147,KANIKI MESU TSHIAKATUMBA Robert,MS,NGANDAJIKA,male
148,KANOW MANUNGANYI TSHIOBA Jean Constantin,UDPS/Tshisekedi,TSHIKAPA,male
149,KAPAMA MAPATANO Jacques,AABC,KOLWEZI VILLE,male
150,KAPIKA NDJI KANKU WU MUKUMADI Joseph,ABCE,KAZUMBA,male
151,KAPONGO MUNYOKA Donatien,UDPS/Tshisekedi,DEMBA,male
152,KAPOYA MUTOMB’ KALONG,AVANCONS,KAPANGA,male
153,KAPUFI MWANSA Viviane,AAAC,LUBUMBASHI VILLE,female
154,KAPUKU KAPUKU Florent,PPRD,MWEKA,male
155,KARUME BAKANEME Anne-Marie,ALLIANCE,WAMBA,female
156,KASEREKA KALWAHALI Sylvain,AAD,LUBERO,male
157,KASEREKA MANGWENGWE Jadot,ATIC,BENI,male
158,KASEREKA WATHEVWA KIZERBO,AAB,BENI VILLE,male
159,KASHOBA KABONSHI Denis,AMK,KAMBOVE,male
160,KASINDI KINGOMBE Benjamin,AFDC-A,BUKAVU VILLE,male
161,KASONGO KABONDO Justin,PPRD,LUBUMBASHI VILLE,male
162,KASONGO MWADIAVITA Lucain,PPRD,KAMINA VILLE,male
163,KASUNKA WA BANZA Mathieu,AA/a,LUBUMBASHI VILLE,male
164,KASUSA KIKOBYA BARUANI Hilaire,AFDC-A,SHABUNDA,male
165,KATEMBO KAMBERE Thadée,AMK,LUBERO,male
166,KATEMBO MBUSA TEMBOS YOTHAMA,AMK,BUTEMBO VILLE,male
167,KATEMBO MUHINDO Désiré,AABC,RUTSHURU,male
168,KATEMBWE KASONGO Dieudonné,ATIC,KASONGO,male
169,KATSHONGO MBAVU Paulin,PPRD,MUTSHATSHA,male
170,KAVIRA KATOSHOHIRE Jeannine,AABC,BENI,female
171,KAVIRA MAPERA Jeannette,PALU&Alliés,LUBERO,female
172,KAYEMBE ILUNGA Jean-Pierre,AFDC-A,KANANGA VILLE,male
173,KAYINDA MAHINA Adèle,AFDC-A,SANDOA,female
174,KAYUMBA SHIKILWE Bernard,AAAC,LUKUNGA,male
175,KAZADI KABONGO Georges,CODE,KANIAMA,male
176,KAZADI MUAYILA Théodore,PPRD,TSHIKAPA,male
177,KAZEMBE MULWANI Innocent,AMK,PWETO,male
178,KAZUMBA MAYOMBO William,AFDC-A,DIBAYA,male
179,KAZWAZWA UBITE Modeste,MS,KENGE VILLE,male
180,KEZAMUDRU MUSISIRI Jean-Pierre,ADRP,NIAGARA,male
181,KIALA BOLENGA BOLEY Maguy,ADU,LUSAMBO VILLE,female
182,KIBALA N’KOLDE Jean-Claude,MS,MWENGA,male
183,KIBUKA KIA KIESE Raphaël,MLC,MONT AMBA,male
184,KIKOKA TONI GAYTONI,ADRP,KIMVULA,male
185,KILUBA LONGO Justin,PALU&Alliés,MALEMBA NKULU,male
186,KIMBUNDA MUDIKELA Jean,PPRD,MASI-MANIMBA,male
187,KIMBUTA MOTEMA Eric,PPRD,TSHANGU,male
188,KIBAU MAFUTA Jean,AAB,TSHANGU,male
189,KIOVE KOLA Eduard,UNC,LUBERO,male
190,KIPULU KABENGA Antoinette,RRC,MASI-MANIMBA,female
191,KIRO TSONGO Grégoire,AR,BENI VILLE,male
192,SEKE NGEDI Alphonse,RRC,MATADI VILLE,male
193,KITAMBALA KALONDA MANDA Christophe,ATIC,MOBA,male
194,KITENGE KAPÄLU Gaston,AA/a,KOLWEZI VILLE,male
195,KITSALI KATUNGO Jean-Hélène,ADRP,LUBUMBASHI VILLE,male
196,KITWA GODALENA IDA,PPPD,BUKAMA,female
197,KITWA MUTOMBO MPYANA Freddy,ACO,KAMINA,male
198,KIWILA WA BAKUNDA Charles,PCD,LIKASI VILLE,male
199,KOKONYANGI WITAMENE Joseph,AA/a,PANGI,male
