item,itemLabel,startDate,endDate,sourceDate,psid
Q2821395,Abdoulaye Yerodia Ndombasi,1999-03-14,2000-11-20,,Q2821395-0B215F9A-C203-44B5-BFA2-E3BDA127629B
Q3271542,Léonard She Okitundu,2000,2003,2022-06-02,Q3271542-D4C29FA3-E10C-4C9D-95CA-C6F164C5F728
Q2853995,Antoine Ghonda,2003-06-30,2004-07-22,,Q2853995-c3d84b3e-274c-409e-b365-963a5fd2cc50
Q3421106,Raymond Ramazani Baya,2004-07-22,2007-02-06,,Q3421106-9915d20c-24db-4dea-9a50-fd0447623171
Q2853312,Antipas Mbusa,2007-02,2008-10,,Q2853312-29d2075a-0f89-49dd-bfa1-2bcb60645fa0
Q2834659,Alexis Thambwe Mwamba,2008-10,2012-04,,Q2834659-ef98b58c-44d8-a432-acc3-e265a8068061
Q3421171,Raymond Tshibanda,2012-04,2016-12,,Q3421171-6E1D3A96-EFC6-4632-A1C0-42F9448278E3
Q3271542,Léonard She Okitundu,2016-12-19,2019-01-23,,Q3271542-CD030B1A-5988-4902-9ABF-0B60A5BFAF9D
Q2834659,Alexis Thambwe Mwamba,2019,2019,,Q2834659-27bce2d8-9f41-4a99-8b04-3d884a80675e
Q18611995,Franck Mwe di Malila,2019-04-30,2019-09-06,,Q18611995-9d05ff99-48be-65b8-5acc-124263c8da98
Q81852221,Marie Tumba Nzeza,2019-09-09,2021-04-12,,Q81852221-5553d678-4b23-a976-a86b-f9b6b2da7a99
Q5111780,Christophe Lutundula,2021-04-26,,2022-06-02,Q5111780-FF6D34FC-408B-4526-A6F3-2AF4C68623A4
