@@,item,itemlabel,startdate,enddate
---,Q112221966,Irung Awan,2001-04-14,2003-07-30
->,Q4334835,Jean-Pierre Ondekane,2003-07-30->2003-07,2005-01-03->2005-01
->,Q112207919,Adolphe Onusumba Yemba,2005-01-03->2005-01,2006-10-16->2007-02
---,Q112222029,Tharcisse Habarugira,2006-10-16,2007-02-05
->,Q2963552,Chikez Diemu,2007-02-05->2007-02,2008-10-26->2008-10
->,Q2959880,Charles Mwando Simba,2008-10-26->2008-10,2012-04-28->2012-04
->,Q129404,Alexandre Luba Ntambo,2012-04-28->2012-04,2014-12-09->2014-12
->,Q18681696,Aime Ngoy Mukena,2014-12-09->2014-12,2015-09-25->2015-09
->,Q3002789,Crispin Atama Tabe,2015-09-25->2015-09,2019-01-23
---,Q18681696,Aimé Ngoy Mukena,2019-08-26,2021-04-12
---,Q106912758,Gilbert Kabanda Rukemba,2021-04-26,
