item,itemLabel,position,positionLabel,startDate,endDate
Q57883,Augustin Matata Ponyo,,Premier ministre,,
Q130512,Daniel Mukoko Samba,,Budget,,
Q129404,Alexandre Luba Ntambo,,Défense Nationale et Anciens Combattants,,
Q107141721,Patrice Kitebi Kibol Mvul,,"Délégué auprès du Premier Ministre, chargé des Finances",,
Q107128113,Robert Mbwinga Bila,,Affaires Foncières,,
,Charles Nawej Mundele,,"Affaires Sociales, Action Humanitaire et Solidarité Nationale",,
Q3421171,Raymond Tshibanda N’tungamulongo,,"Affaires étrangères, Coopération internationale et Francophonie",,
Q107126837,Jean Chrisostome Vahamwiti Mukesyayira,,Agriculture et Développement Rural,,
Q3087663,Fridolin Kasweshi,,"Aménagement du Territoire, Urbanisme, Habitat, Infrastructures, Travaux Publics et Reconstruction",,
Q19543886,Modeste Bahati Lukwebo,,"Emploi, Travail et Prévoyance Sociale",,
Q3280754,Maker Mwangu Famba,,"Enseignement Primaire, Secondaire et Professionnel",,
,Chelo Lotsima,,"Enseignement Supérieur, Universitaire et Recherche Scientifique",,
,Bavon N’sa Mputu Elima,,"Environnement, Conservation de la nature et tourisme",,
Q19631195,Jean-Claude Kibala,,Fonction Publique,,
Q63349528,Geneviève Inagosi,,"Genre, Famille et Enfant",,
Q3002789,Crispin Atama Tabe,,Hydrocarbures,,
Q3424672,Remy Musungayi Bampale,,"Industrie, Petites et Moyennes Entreprises",,
Q7327967,Richard Muyej Mangeze,,"Intérieur, Sécurité, Décentralisation et Affaires coutumières",,
Q2883576,Banza Mukalay Nsungu,,"Jeunesse, Sports, Culture et Arts",,
Q104889315,Wivine Mumba Matipa,,Justice et Droits humains,,
Q3295482,Martin Kabwelulu,,Mines,,
Q178793,Lambert Mende Omalanga,,"Médias, chargé des Relations avec le Parlement et de l’Initiation à la nouvelle citoyenneté",,
Q16545541,Célestin Vunabandi Kanyamihigo,,Plan et Suivi de la Mise en œuvre de la révolution de la modernité,,
Q3263804,Louise Munga Mesozi,,Portefeuille,,
Q19629172,Tryphon Kin-Kiey Mulumba,,"Postes, Télécommunications et Nouvelles Technologies de l’Information et de la Communication",,
Q107126535,Bruno Kapanji Kalala,,Ressources hydrauliques et Électricité,,
Q19544597,Félix Kabange Numbi Mukwampa,,Santé Publique,,
Q3190458,Justin Kalumba Mwana Ngongo,,Transports et Voies de communication,,
Q3168626,Jean-Paul Nemoyato Begepole,,Économie et Commerce,,
Q78469448,Tunda ya Kasende,,"Vice-ministre, Affaires étrangères",,
,Abayuwe Liska,,"Vice-ministre, Budget",,
,Dismas Magbengu Swana Emin,,"Vice-ministre, Coopération internationale et régionale",,
Q105412562,Sakina Binti,,"Vice-ministre, Droits humains",,
,Égide Ngokoso,,"Vice-ministre, Décentralisation et des Affaires coutumières",,
Q104416504,Maguy Rwakabuba,,"Vice-ministre, Enseignement primaire, secondaire et professionnel",,
,Roger Shulungu Runika,,"Vice-ministre, Finances",,
,Sadock Biganza,,"Vice-ministre, Plan",,
