item,itemLabel,position,positionLabel,startDate,endDate
Q105523479,Jean-Michel Sama Lukonde,,Premier ministre,2021-04-26,
Q106913507,Daniel Asselo Okito Wankoy,,"Vice-premier ministre, ministre de l'Intérieur, de la Sécurité, de la Décentralisation et des Affaires coutumières",2021-04-26,
Q3577297,Ève Bazaiba Masudi,,"Vice-première ministre, ministre de l'Environnement et du Développement durable",2021-04-26,
Q5111780,Christophe Lutundula Apala,,"Vice-premier ministre, ministre des Affaires étrangères",2021-04-26,
Q106884074,Jean-Pierre Lihau Ebua,,"Vice-premier ministre, ministre de la Fonction publique, de la Modernisation de l’administration et de l'Innovation du service public",2021-04-26,
Q106912571,Rose Mutombo Kiese,,"Ministre d’État, ministre de la Justice, garde des Sceaux",2021-04-26,
Q106912607,Alexis Gizaro Muvuni,,"Ministre d’État, ministre des Infrastructures et Travaux publics",2021-04-26,
Q96439880,Adèle Kahinda Mayina,,"Ministre d’État, ministre du Portefeuille",2021-04-26,
Q109018476,Christian Mwando Nsimba,,"Ministre d’État, ministre du Plan",2021-04-26,
Q104600997,Guy Loando Mboyo,,"Ministre d’État, ministre de l’Aménagement du territoire",2021-04-26,
Q96464551,Eustache Muhanzi Mubembe,,"Ministre d’État, ministre de l’Entrepreneuriat et des Petites et Moyennes Entreprises",2021-04-26,
Q106912703,François Rubota Masumbuko,,"Ministre d’État, ministre du Développement rural",2021-04-26,
Q18353237,Aimé Boji,,"Ministre d’État, ministre du Budget",2021-04-26,
Q99851849,Pius Muabilu Mbayu Mukala,,"Ministre d’État, ministre de l’Urbanisme et de l'Habitat",2021-04-26,
Q106912758,Gilbert Kabanda Rukemba,,Ministre de la Défense nationale et des Anciens Combattants,2021-04-26,
Q106588674,Tony Mwaba Kazadi,,"Ministre de l’Enseignement primaire, secondaire et technique (EPST)",2021-04-26,
Q106912955,Jean-Jacques Bungani Mbanda,,"Ministre de la Santé publique, de l'Hygiène et de la Prévention",2021-04-26,
Q62066858,Nicolas Kazadi,,Ministre des Finances,2021-04-26,
Q106905178,Cherubin Okende Senga,,"Ministre des Transports, des Voies de communication et du Désenclavement",2021-04-26,
