item,itemLabel,position,positionLabel,startDate,endDate,source,sourceDate,psid
Q106153035,Gervais Ntirumenyerwa Kimonyo,Q112254053,"Vice-ministre, Travaux publics",2007-11-26,2008-10-10,https://fr.wikipedia.org/wiki/Gouvernement_Gizenga_II,2022-06-06,Q106153035-F720E714-EB2A-4B63-B71B-34672898AE01
Q106905313,Vincent Okoyo Nembe,Q112254860,"Vice-ministre, Fonction publique",2007-11-26,2008-10-10,https://fr.wikipedia.org/wiki/Gouvernement_Gizenga_II,2022-06-06,Q106905313-56D5A37E-0F41-4C3C-822D-8390E8852F2D
Q106913695,Daruwezi Mokombe,Q112254877,"Vice-ministre, Sécurité",2007-11-26,2008-10-10,https://fr.wikipedia.org/wiki/Gouvernement_Gizenga_II,2022-06-06,Q106913695-730255B0-B372-494D-ABC9-2C39B3B4E81D
Q106913743,Ferdinand Essambo Lukye,Q112223992,"Vice-ministre, Plan",2007-11-26,2008-10-10,https://fr.wikipedia.org/wiki/Gouvernement_Gizenga_II,2022-06-06,Q106913743-D9DE3BEE-7896-4D3A-AF08-0D04D18A4EE5
Q106913787,Joseph-Davel Mpango Okundo,Q112223972,"Vice-ministre, Intérieur",2007-11-26,2008-10-10,https://fr.wikipedia.org/wiki/Gouvernement_Gizenga_II,2022-06-06,Q106913787-7A413635-BFFC-40CD-AD42-7C368EE483D2
Q106913836,Nelson Paluku Syayipuma,Q112223954,"Vice-ministre, Défense nationale",2007-11-26,2008-10-10,https://fr.wikipedia.org/wiki/Gouvernement_Gizenga_II,2022-06-06,Q106913836-8506BC65-1530-4CD0-B520-CF360E1BDF20
Q107187435,Arthur Sedea Ngamo Zabusu,Q112252879,"Vice-ministre, Énergie",2007-11-26,2008-10-10,https://fr.wikipedia.org/wiki/Gouvernement_Gizenga_II,2022-06-06,Q107187435-A3E9712C-94C4-4EFC-8C34-B25055B0931E
Q109037737,Ferdinand Ntua Osiamba,Q112223961,"Vice-ministre, Santé publique",2007-11-26,2008-10-10,https://fr.wikipedia.org/wiki/Gouvernement_Gizenga_II,2022-06-06,Q109037737-C87751E7-7EF1-4534-A2CE-CFE16220736A
Q109044263,Serge Kayembe,Q112252403,Deputy Minister of Congolese Abroad,2006,2011,,,Q109044263-a0bf38a1-40f1-40ee-7604-83d4a8e7fcae
Q109045268,Modeste Omba Sakatolo,Q112253713,"Vice-ministre, Enseignement primaire, secondaire et professionnel",2007-11-26,2008-10-10,https://fr.wikipedia.org/wiki/Gouvernement_Gizenga_II,2022-06-06,Q109045268-B9469E52-82E9-4252-B368-AE6D32C41392
Q112221943,Edouard Kabukapwa Bitanga,Q112221018,Minister of Lands,2007-11-26,2008-10-26,,,Q112221943-C5B8FD37-22CF-48B6-ABFD-7D5ECDC7002C
Q112221994,Léonard Masuga Rugamika,Q112221003,Minister of Higher Education,2007-11-26,2008-10-26,,,Q112221994-F4D6CCBA-35BE-4DE4-8554-8D6F46320206
Q1735013,Kasongo Ilunga,Q56515760,Commerce extérieur,2007-11-26,2008-10-10,https://fr.wikipedia.org/wiki/Gouvernement_Gizenga_II,2022-06-06,Q1735013-16D7EC46-4A3A-4080-9601-F8F757B8BB9B
Q178793,Lambert Mende Omalanga,Q112221007,Hydrocarbures,2007-02-05,2008-10-26,https://fr.wikipedia.org/wiki/Gouvernement_Gizenga_II,2022-06-06,Q178793-3D28C89D-EDAC-46E2-B7DE-E795C7F47435
Q20666287,Alain Lubamba wa Lubamba,Q112223974,"Vice-ministre, Affaires étrangères",2007-11-26,2008-10-10,https://fr.wikipedia.org/wiki/Gouvernement_Gizenga_II,2022-06-06,Q20666287-14E807C3-CDBD-4C3A-8CB2-6F4E77E0185C
Q2372748,Sylvain Joël Bifuila Tshamuala,Q112220992,Économie nationale,2007-11-26,2008-10-10,https://fr.wikipedia.org/wiki/Gouvernement_Gizenga_II,2022-06-06,Q2372748-00D8E8A3-0379-422C-AB54-DE5DEB2D0741
Q2424586,Salomon Banamuhere Baliene,Q112220996,Énergie,2007-02-05,2008-10-26,https://fr.wikipedia.org/wiki/Gouvernement_Gizenga_II,2022-06-06,Q2424586-ECF76809-3015-4612-8302-276EFC496FE7
Q2824869,Adolphe Lumanu,Q112221041,Minister of Relations with the Parliament,2007-11-26,2010-02-19,,,Q2824869-DEE48470-E1FD-47C8-8DF0-B320F0A5368A
Q2853312,Antipas Mbusa Nyamwisi,Q6866142,Affaires étrangères et de la coopération internationale,2007-02,2008-10,https://fr.wikipedia.org/wiki/Gouvernement_Gizenga_II,2022-06-06,Q2853312-29d2075a-0f89-49dd-bfa1-2bcb60645fa0
Q2868988,Athanase Matenda Kyelu,Q97366094,Finances,2007-02,2010-02,https://fr.wikipedia.org/wiki/Gouvernement_Gizenga_II,2022-06-06,Q2868988-87849BA7-ACDA-4407-A13D-64B43161135D
Q2959880,Charles Mwando Nsimba,Q112221051,Développement rural,2007-11-26,2008-10-26,https://fr.wikipedia.org/wiki/Gouvernement_Gizenga_II,2022-06-06,Q2959880-C0B94B25-0CE7-49F2-8D38-6014CBDC6919
Q2963552,Chikez Diemu,Q17110451,Défense nationale et des anciens combattants,2007-02-05,2008-10-26,https://fr.wikipedia.org/wiki/Gouvernement_Gizenga_II,2022-06-06,Q2963552-50CD6874-6CAB-45F7-A5A6-295B968BD3D6
Q2982527,Colette Tshomba Ntundu,Q112252403,"Vice-ministre, Congolais de l’étranger",2007-11-26,2008-10-10,https://fr.wikipedia.org/wiki/Gouvernement_Gizenga_II,2022-06-06,Q2982527-D584BA42-8654-4A38-B36E-A9796CAF1339
Q3008880,Kyamusoke Bamusulanga Nta-Bote,Q112221031,"Postes, téléphones et télécommunications",2007-11-26,2008-10-10,https://fr.wikipedia.org/wiki/Gouvernement_Gizenga_II,2022-06-06,Q3008880-FD7541A5-9834-464C-ABDD-C880CFA9FBE1
Q3010091,Célestin Mbuyu Kabango,Q112223987,"Vice-ministre, Budget",2007-11-26,2008-10-10,https://fr.wikipedia.org/wiki/Gouvernement_Gizenga_II,2022-06-06,Q3010091-3881EC60-A208-47B8-988C-FA861100110D
Q3022760,Denis Kalume Numbi,Q112221013,"Intérieur, décentralisation et sécurité",2006-10-10,2008-10-26,https://fr.wikipedia.org/wiki/Gouvernement_Gizenga_II,2022-06-06,Q3022760-9FE706F6-AD8A-4357-9905-9043259D6395
Q3022820,Denis Mbuyu Manga,Q56515760,Commerce extérieur,2007-05-28,2008-10-10,https://fr.wikipedia.org/wiki/Gouvernement_Gizenga_II,2022-06-06,Q3022820-40ECD18A-AE6F-47E0-933B-FDC5DFE13BE9
