@@,item,itemlabel,position,positionlabel,startdate,enddate,psid
+++,Q3424667,Remy Henri Kuseyo Gatanga,,Transports et voies de communication,,,
+++,Q3364959,Pardonne Kaliba Mulanga,,Jeunesse et des sports,,,
+++,Q3292119,Marie-Madeleine Mienze Kiaku,,Enseignement supérieur et universitaire,,,
+++,Q3218981,Laurent-Simon Ikenge Lisambola,,Urbanisme et habitat,,,
+++,Q3218739,Laure Marie Kawanda Kayena,,Transports,,,
+++,Q3165135,Jean-Claude Muyambo Kyassa,,Affaires humanitaires,,,
+++,Q3126761,Hangi Binini,,Finances,,,
+++,Q3091442,François-Joseph Mobutu Nzanga Ngbangawe,,Agriculture,,,
+++,Q3022820,Denis Mbuyu Manga,,Commerce extérieur,,,
+++,Q3010091,Célestin Mbuyu Kabango,,Budget,,,
+++,Q2982527,Colette Tshomba Ntundu,,Congolais de l’étranger,,,
+++,Q2959880,Charles Mwando Nsimba,,Développement rural,,,
+++,Q20666287,Alain Lubamba wa Lubamba,,Affaires étrangères,,,
+++,Q1735013,Kasongo Ilunga,,Commerce extérieur,,,
+++,Q109045268,Modeste Omba Sakatolo,,"Enseignement primaire, secondaire et professionnel",,,
+++,Q109037737,Ferdinand Ntua Osiamba,,Santé publique,,,
+++,Q107187435,Arthur Sedea Ngamo Zabusu,,Énergie,,,
+++,Q106913743,Ferdinand Essambo Lukye,,Plan,,,
+++,Q106905313,Vincent Okoyo Nembe.,,Fonction publique,,,
+++,Q106153035,Gervais Ntirumenyerwa Kimonyo,,Travaux publics,,,
+++,,Daruwezi Mokombe,,Sécurité,,,
+++,,Ignace Gata Mavita,,Intégration régionale,,,
+++,,Nelson Paluku Syayipuma,,Défense nationale,,,
+++,,Joseph-Davel Mpango Okundo,,Intérieur,,,
