@@,item,itemlabel,position,positionlabel,startdate,enddate,psid
->,Q20740642,Justin Bitakwira,Q112221005,Minister of Human Rights->Ministre du Développement rural,2017-05-09,2019-01-23,Q20740642-4D706EC6-B2D6-44E9-AD90-0035809E8828
->,Q18611995,Franck Mwe di Malila,Q6866142,Minister of Foreign Affairs->Ministre du Tourisme,2019-04-30,2019-09-06,Q18611995-9d05ff99-48be-65b8-5acc-124263c8da98
---,Q63967715,Sylvestre Ilunga,Q3401753,Prime Minister of the Democratic Republic of the Congo,2019-05-20,2021-01-28,Q63967715-da1aaa41-609d-49be-ac9f-dce2a159734a
---,Q56515694,Jean-Lucien Bussa,Q56515760,Minister of Foreign Trade,2017-05-09,2019-01-23,Q56515694-de5234eb-4402-3d26-fe69-923da03d1d18
---,Q47171524,Joseph Kapika,Q112220992,Minister of Economy,2017-05-09,2019-01-23,Q47171524-BC74EA14-1C0A-49B2-8437-E4CC249827DC
---,Q3131683,Henri Mova Sakanyi,Q112221013,Minister of Interior,2018-02-21,2019-01-23,Q3131683-856303A4-68E0-43C8-9E02-747B65A274AC
---,Q29239480,Bruno Tshibala,Q3401753,Prime Minister of the Democratic Republic of the Congo,2017-05-18,2019-09-07,Q29239480-956ff178-4c59-52ba-03ce-e5df888d96a0
---,Q17639110,Samy Badibanga,Q3401753,Prime Minister of the Democratic Republic of the Congo,2016-11-17,2017-05-18,Q17639110-0277E615-73F3-4BA1-AA84-F449ED1DC370
---,Q112221979,Joseph Kokonyangi,Q112221052,Minister of Urban Development,2016-12-19,2019-01-23,Q112221979-66D41293-C992-4B36-96F1-88B4C221CF06
