@@,item,itemlabel,position,positionlabel,startdate,enddate,psid
->,Q97163169,Didier Mazengu Mukanzu->Didier Mazenga Mukanzu,Q112221051,Minister of Transport->Ministre de l'Intégration régionale,2019-08-26->2021-04-26,,Q97163169-7E03106F-6D92-483E-8EAA-609EE298FAD4
->,Q96468125,Yves Bonkulu Zola->Yves Bunkulu Zola,Q54437053,"Minister of Tourism of the Democratic Republic of the Congo->Ministre de la Jeunesse, de l'Initiation à la nouvelle citoyenneté et de la Cohésion nationale",2019-08-26->2021-04-26,,Q96468125-EFA06E86-C4B5-4CE5-9550-EDFBE48CF57F
->,Q96464551,Eustache Muhanzi Mubembe,Q112221054,"Minister of Water Resources and Electricity->Ministre d’État, ministre de l’Entrepreneuriat et des Petites et Moyennes Entreprises",2019-08-26->2021-04-26,2021-04-26,Q96464551-A54800A3-70D5-45B6-99D0-DCE90D94D77A
->,Q96210398,Aimé Sakombi Molendo,Q112221018,Minister of Lands->Ministre des Affaires foncières,2019-08-26->2021-04-26,2021-04-26,Q96210398-4A4F3543-5407-4281-9993-3AE743B5B369
->,Q62066858,Nicolas Kazadi,Q97366094,Ministre des Finances,2021-04->2021-04-26,,Q62066858-9BE14EE8-1A24-49AF-9272-C6050234D31A
->,Q56515694,Jean-Lucien Bussa->Jean-Lucien Bussa Tongba,Q56515760,Minister of Foreign Trade->Ministre du Commerce extérieur,2019-08-26->2021-04-26,,Q56515694-83ADDF4A-8FEB-4AE4-A2A2-8B57B67578E0
->,Q5111780,Christophe Lutundula->Christophe Lutundula Apala,Q6866142,"Minister of Foreign Affairs->Vice-premier ministre, ministre des Affaires étrangères",2021-04-12->2021-04-26,,Q5111780-FF6D34FC-408B-4526-A6F3-2AF4C68623A4
->,Q3317910,Modeste Mutinga->Modeste Mutinga Mutushayi,Q108730998,"Minister of Social Affairs->Ministre des affaires sociales, des Actions humanitaires et de la Solidarité nationale",2021-04-12->2021-04-26,,Q3317910-22890724-4542-5c83-1206-7af7c3aca089
->,Q105798778,José Mpanda Kabangu,Q112221044,Ministre de la Recherche scientifique et de l'Innovation technologique,2019-08-26->2021-04-26,,Q105798778-281A924E-C9B4-42A7-BAA5-A7FDAF871794
->,Q105523479,Jean-Michel Sama Lukonde,Q3401753,Premier ministre,2021-02-15->2021-04-26,,Q105523479-42a6b140-4aea-ba42-8fb3-b538bc3073f4
---,Q99852154,Déogratias Nkusu Kunzi Bikawa,Q112221041,Minister of Relations with the Parliament,2019-08-26,,Q99852154-18F06C49-FB09-4E95-8DDA-35F256CED3F4
---,Q99851996,Clément Kuete Nymi Bemuna,Q112221026,Minister of Parastatals,2019-08-26,,Q99851996-A28DF432-645F-4035-842E-5D04118BC2DF
---,Q98923080,Willy Kitobo Samsoni,Q112221020,Minister of Mines,2019-08-26,,Q98923080-27D4F135-DCC6-4D94-A621-DE062EA086C5
---,Q97478738,Willy Ngoopos Sunzhel,Q112221011,Minister of Infrastructure,2019-08-26,,Q97478738-FA22B4CF-FF68-42B1-8064-61F43F6D2271
---,Q97464651,Willy Bakonga Wilima,Q112221034,Minister of Primary and Secondary Education,2019-08-26,,Q97464651-081A398C-45C9-46F5-AB9F-26AE18C9205B
---,Q97446584,Steve Mbikayi Mabuluki,Q112221006,Minister of Humanitarian Affairs,2019-08-26,,Q97446584-0ADA5CC2-F19D-4978-8369-E2AC388E545B
---,Q97368316,John Ntumba Panumankole,Q112221053,Minister of Vocational Training,2019-08-26,,Q97368316-72B26BE2-9E1D-4473-A366-33EF7C989746
---,Q97277162,Néné Nkulu Ilunga,Q112221017,Minister of Labour,2019-08-26,,Q97277162-50AC7011-D413-46E1-94A5-1669DFBA77EA
