item,itemLabel,position,positionLabel,startDate,endDate,source,sourceDate,psid
Q105523479,Jean-Michel Sama Lukonde,Q3401753,Premier ministre,2021-02-15,,https://fr.wikipedia.org/wiki/Gouvernement_Lukonde,2022-06-03,Q105523479-42a6b140-4aea-ba42-8fb3-b538bc3073f4
Q105798778,José Mpanda Kabangu,Q112221044,Ministre de la Recherche scientifique et de l'Innovation technologique,2019-08-26,,https://fr.wikipedia.org/wiki/Gouvernement_Lukonde,2022-06-03,Q105798778-281A924E-C9B4-42A7-BAA5-A7FDAF871794
Q106904634,Eraston Kambale Tsongo,Q112221057,Minister of Youth,2019-08-26,,,,Q106904634-B87F975C-9D5C-42C4-BAAC-7069F8C5ABB2
Q106904653,André Kabanda Kana,Q112221058,Minister without Portfolio,2019-08-26,,,,Q106904653-EF9AF96D-41E6-43B9-8894-1C7503628F2B
Q106904673,Marcel Amos Mbayo Kitenge,Q112221049,Minister of Sports,2019-08-26,,,,Q106904673-A526171C-B5FD-4DFA-9EF3-512736611A0E
Q106904729,Aggée Aje Matembo Toto,Q112221027,Minister of Physical Planning,2019-08-26,,,,Q106904729-B3E280E1-A57C-4D05-B531-9E3B3CADE7CD
Q106904741,Guy Mikulu Pombo,Q112221043,Minister of Rural Development,2019-08-26,,,,Q106904741-DA980FF7-1F16-4010-AD66-BD10BF1823B2
Q106904755,Jonathan Bialosuka Wata,Q112221000,Minister of Fishing,2019-08-26,,,,Q106904755-0A968BD6-0F65-4B71-84FC-56C0320C441E
Q106904800,Jean Joseph Kasonga Mukuta,Q54429353,Minister of Agriculture of Democratic Republic of the Congo,2019-08-26,,,,Q106904800-2B1BFAAE-94AD-46BA-9C93-A0B0AEECF135
Q107189252,David Jolino Diwanpovesa Makelele ma-Muzingi,Q112220985,Minister of Communications,2019-08-26,,,,Q107189252-8319DA34-5A59-4F82-B5CE-DD508E0A56F8
Q107189280,Augustin Kibassa Maliba,Q112221031,Minister of Posts and Telecommunications,2019-08-26,,,,Q107189280-A7E9BDFF-E84A-4D9D-9AC6-C654766FE9C8
Q112221970,Jean Marie Lukundji Kikuni,Q54100574,Minister of Culture of the Democratic Republic of the Congo,2019-08-26,,,,Q112221970-48A7D943-FA67-49AE-86AF-3059CBB83F02
Q112221973,Jean-Baudoin Mayo Mambeke,Q112220973,Minister of Budget,2019-08-26,,,,Q112221973-34099513-AE00-4F40-9C99-500785DBB604
Q112221982,Julien Paluku Kahongy,Q112221009,Minister of Industry,2019-08-26,,,,Q112221982-84500591-1DFE-4E39-82E5-84A62A4305A5
Q112222018,Pius Mwabilu Mabyu,Q112221052,Minister of Urban Development,2019-08-26,,,,Q112222018-88FD22E3-8F4E-4CE0-8F0E-C38C5CCD3CBC
Q18649355,Thomas Luhaka,Q112221003,Minister of Higher Education,2019-08-26,,,,Q18649355-3283AC83-5A45-461A-913A-736795863D63
Q2875098,Azarias Ruberwa,Q112220990,Minister of Decentralization,2019-08-26,,,,Q2875098-61C49143-57CE-4B87-B3F4-97CCB600CD8A
Q3002789,Crispin Atama Tabe,Q17110451,Minister of Defence,2015-09,,,,Q3002789-141DD666-22EC-4A46-828E-AA5D5B01A9A7
Q3190458,Justin Kalumba Mwana Ngongo,Q112221045,Minister of Small and Medium Enterprises,2019-08-26,,,,Q3190458-E80A584C-17F2-45E0-8CDD-0053CB4F3256
Q3317910,Modeste Mutinga,Q108730998,Minister of Social Affairs,2021-04-12,,,,Q3317910-22890724-4542-5c83-1206-7af7c3aca089
Q48775372,Claude Nyamugabo Bazibuye,Q112220998,Minister of Environment,2019-08-26,,,,Q48775372-28E41B78-BB00-4BF4-A463-A9C6C7D8FE79
Q5111780,Christophe Lutundula,Q6866142,Minister of Foreign Affairs,2021-04-12,,,,Q5111780-FF6D34FC-408B-4526-A6F3-2AF4C68623A4
Q56515694,Jean-Lucien Bussa,Q56515760,Minister of Foreign Trade,2019-08-26,,,,Q56515694-83ADDF4A-8FEB-4AE4-A2A2-8B57B67578E0
Q62066858,Nicolas Kazadi,Q97366094,Ministre des Finances,2021-04,,https://fr.wikipedia.org/wiki/Gouvernement_Lukonde,2022-06-03,Q62066858-9BE14EE8-1A24-49AF-9272-C6050234D31A
Q67218417,André Lite,Q112221005,Minister of Human Rights,2019-08-26,,,,Q67218417-9533C722-7870-4E12-85A8-16539D71C882
Q78469448,Célestin Tunda ya Kasende,Q112221015,Minister of Justice,2019-08-26,,,,Q78469448-DE73FB5F-890F-48CB-A8FF-3959FE9B21F6
Q78910576,Gilbert Kankonde Malamba,Q112221013,Minister of Interior,2019-08-26,,,,Q78910576-45E159FE-6256-4317-AF43-6C50B0187F34
Q79423044,Élysée Munembwe,Q112221028,Minister of Planning,2019-08-26,,,,Q79423044-73499BF7-5ABE-4930-94A7-B0FA35215F90
Q85854584,Rubens Mikindo Muhima,Q112221007,Minister of Hydrocarbons,2019-08-26,,,,Q85854584-5DFE58F9-28EF-4B82-84F0-9592C6132E1D
Q87990699,Acacia Bandubola Mbongo,Q112220992,Minister of Economy,2019-08-26,,,,Q87990699-2314C695-1203-4D25-A1C3-CEB91531A9C9
Q88222785,Eteni Longondo,Q112221001,Minister of Health,2019-08-26,,,,Q88222785-E21051E0-C13C-492C-8EBB-5758FC84A3E0
Q96210138,Béatrice Lomeya Atilite,Q112220999,Minister of Family,2019-08-26,,,,Q96210138-BB1D5E91-8007-49DE-B09A-8FB8F4DD72F0
Q96210151,Yollande Ebongo Bosongo,Q112220980,Minister of Civil Service,2019-08-26,,,,Q96210151-0D05435B-0B5F-4CB3-89DC-187E13AF9CC5
Q96210398,Aimé Sakombi Molendo,Q112221018,Minister of Lands,2019-08-26,2021-04-26,,,Q96210398-4A4F3543-5407-4281-9993-3AE743B5B369
Q96464551,Eustache Muhanzi Mubembe,Q112221054,Minister of Water Resources and Electricity,2019-08-26,2021-04-26,,,Q96464551-A54800A3-70D5-45B6-99D0-DCE90D94D77A
Q96468125,Yves Bonkulu Zola,Q54437053,Minister of Tourism of the Democratic Republic of the Congo,2019-08-26,,,,Q96468125-EFA06E86-C4B5-4CE5-9550-EDFBE48CF57F
Q96471576,Jaqueline Penge Sanganyoi,Q112221058,Minister without Portfolio,2019-08-26,,,,Q96471576-87F71687-4D3E-40C3-ADB7-21307D5542D3
Q96999221,Pépin Guillaume Manjolo,Q112221014,Minister of International Cooperation,2019-08-26,,,,Q96999221-143630A1-128A-4803-A643-7D37401A0EE4
Q97163169,Didier Mazengu Mukanzu,Q112221051,Minister of Transport,2019-08-26,,,,Q97163169-7E03106F-6D92-483E-8EAA-609EE298FAD4
Q97277162,Néné Nkulu Ilunga,Q112221017,Minister of Labour,2019-08-26,,,,Q97277162-50AC7011-D413-46E1-94A5-1669DFBA77EA
Q97368316,John Ntumba Panumankole,Q112221053,Minister of Vocational Training,2019-08-26,,,,Q97368316-72B26BE2-9E1D-4473-A366-33EF7C989746
Q97446584,Steve Mbikayi Mabuluki,Q112221006,Minister of Humanitarian Affairs,2019-08-26,,,,Q97446584-0ADA5CC2-F19D-4978-8369-E2AC388E545B
Q97464651,Willy Bakonga Wilima,Q112221034,Minister of Primary and Secondary Education,2019-08-26,,,,Q97464651-081A398C-45C9-46F5-AB9F-26AE18C9205B
