item,itemLabel,startDate,endDate,sourceDate,psid
Q3351121,Olivier Kamitatu Etsu,2003-04,2006-04-05,2022-06-02,Q3351121-2E5221CF-7E5A-4BAC-9833-81EA4752005B
Q18649355,Thomas Luhaka Losendjola,2006-04-05,2006-12,2022-06-02,Q18649355-70B5D9A0-70DE-4CE3-9B36-EFCA58FA7254
Q981106,Vital Kamerhe,2006-12,2009-03-25,2022-06-02,Q981106-E4EF4C3E-12C9-4A13-ABD4-7D7424502168
Q5111780,Christophe Lutundula,2009-03-25,2009-04,2022-06-02,Q5111780-E4AD5650-C6C6-4401-9162-69FFB02E6BD1
Q3592729,Évariste Boshab,2009-04-18,2011,2022-06-02,Q3592729-69A142CA-9DDE-4660-BDFD-F4C177D5689E
Q18642447,Aubin Minaku,2012-04-12,2019-01-28,2022-06-02,Q18642447-D9EBFFF2-6F43-4A41-9ABA-6B0B0DC3D3BE
Q106076672,Gabriel Kyungu wa Kumwanza,2019-01-28,2019-04-24,2022-06-02,Q106076672-C2CC7EF2-0655-4736-BB9B-CC144E328711
Q63382184,Jeanine Mabunda,2019-04-24,2020-12-11,2022-06-02,Q63382184-46EAC147-BA00-4C0C-B518-B9E0BAD43104
Q2966383,Christophe Mboso N'Kodia Pwanga,2020-12-11,,2022-06-02,Q2966383-D0996AA6-193A-4283-BE28-FA765ECDE3C9
