@@,item,itemlabel,position,positionlabel,startdate,enddate,psid
->,Q3292119,Marie-Madeleine Mienze Kiaku,Q112225271,"Deputy Minister of Higher Education->Vice-ministre, Enseignement supérieur et universitaire",2007-02-05,2007-11-26,Q3292119-90486229-C4D2-449D-B823-F44BB9C6D4C7
->,Q316942,Antoine Gizenga,Q3401753,Prime Minister of the Democratic Republic of the Congo->Antoine Gizenga (PALU),2006-12-30,2008-10-10,Q316942-8D23033D-A443-46C7-BEBA-EA1EABA6FF95
---,Q3421106,Raymond Ramazani Baya,Q6866142,Minister of Foreign Affairs,2004-07-22,2007-02-06,Q3421106-9915d20c-24db-4dea-9a50-fd0447623171
---,Q109044263,Serge Kayembe,Q112252403,Deputy Minister of Congolese Abroad,2006,2011,Q109044263-a0bf38a1-40f1-40ee-7604-83d4a8e7fcae
---,Q106153035,Gervais Ntirumenyerwa Kimonyo,Q112254053,Deputy Minister of Public Works,2007-02-05,2007-11-26,Q106153035-C1397A4D-209F-4E53-81D2-2FDF9FD5480B
+++,Q627364,Travaux publics,,"Vice-ministre, Travaux publics",,,
