item,itemLabel,startDate,endDate,sourceDate,psid
Q3386149,Pierre Marini Bodho,2002-04-07,2007-05-11,2022-06-02,Q3386149-F6E6E784-21B1-407D-8E65-870BB34F0D63
Q747918,Léon Kengo Wa Dondo,2007-05-11,2019-04-05,2022-06-02,Q747918-04387435-3D5C-475D-877B-97AB7E41C5EE
Q84766141,Léon Mamboleo,2019-04-05,2019-07-27,2022-06-02,Q84766141-A7A13E9B-0CD8-4F4F-BD58-CB25F44D425F
Q2834659,Alexis Thambwe Mwamba,2019-07-27,2021-02-05,2022-06-02,Q2834659-A4AEA5D4-8E29-437F-BCA5-6FCE88E8F808
Q19543886,Modeste Bahati Lukwebo,2021-03-02,,2022-06-02,Q19543886-8AE81F5E-0A17-4B49-8CA4-09EF881DE87A
