item,itemLabel,party,partyLabel,area,areaLabel,startDate,endDate,gender,psid
Q112263187,PIKOLO MONEVVYA Henry,,,,,2012-02-16,2019-01-28,male,Q112263187-CBF0204A-AA4C-4527-ADE0-32F3D503C1DA
Q106905141,PUELA Albert Fabrice,Q1629663,Union for Democracy and Social Progress,,,2012-02-16,2019-01-28,male,Q106905141-F68C6E92-E686-45CF-9D12-F87BCC677124
Q16269662,RAMAZANI SHADARI Emmanuel,Q1235589,People's Party for Reconstruction and Democracy,,,2012-02-16,2019-01-28,male,Q16269662-76211E1A-0C51-4EF7-8B1B-AC8BA5B7F9C6
Q112263188,RUBOTA MASUMBUKO Franois,Q3326837,Social Movement for Renewal,,,2012-02-16,2019-01-28,male,Q112263188-00236EC1-C2F4-4391-A51D-56A21B270C0B
Q112263189,SADIKI BYOMBUKA Onesime,,,,,2012-02-16,2019-01-28,male,Q112263189-7840E535-BE74-41F6-831D-21215119782C
Q112263190,SAFARI NGANIZI Jacques,,,,,2012-02-16,2019-01-28,male,Q112263190-C9247DB7-1E09-40E2-B3A8-8A86A33BC473
Q112263191,SANGOKITEFU ya MUYUMBA Cyprien,,,,,2012-02-16,2019-01-28,male,Q112263191-14F2A30D-D04D-4BAD-9CA3-EFB2DBE85615
Q107187435,SEDEA NGAMO ZABUSU Arthur,Q3326837,Social Movement for Renewal,,,2012-02-16,2019-01-28,male,Q107187435-830F5C53-5972-404F-99E6-184A31B78769
Q112263192,SEGBEWI ZAMU Jacques .,Q1235589,People's Party for Reconstruction and Democracy,,,2012-02-16,2019-01-28,male,Q112263192-12BD7AE8-A1F1-4341-852D-71A8DB842326
Q112263193,SENDWE MPUTU Pguy,,,,,2012-02-16,2019-01-28,male,Q112263193-399909AF-2035-4F11-A21A-3BB35A0B5D2B
Q98269668,SENGA PAYSAYO Valentin,Q1235589,People's Party for Reconstruction and Democracy,,,2012-02-16,2019-01-28,male,Q98269668-0073E90D-B60D-4759-BA6B-528BA44363FA
Q112263194,SERUFULI NGAYABASEKA Eugne,Q3326837,Social Movement for Renewal,,,2012-02-16,2019-01-28,male,Q112263194-FE17563C-BFA7-41D0-B7CF-888711343629
Q112263195,SERUTOKE MPAGAZEHE Flix,,,,,2012-02-16,2019-01-28,male,Q112263195-F785C0D3-D447-43E2-AB72-B4ACA94C1E7A
Q112263196,SESANGA HIPUNGU OJA KASENG KAPITU Delly,,,,,2012-02-16,2019-01-28,male,Q112263196-3F7E6B03-3D45-44ED-A7E2-CB0DBA2B352C
Q112263197,SHABANI ASUMANI Aaron,Q1235589,People's Party for Reconstruction and Democracy,,,2012-02-16,2019-01-28,male,Q112263197-83A407EC-E862-49EC-963E-52ACA07E27E5
Q112263199,SHENILA MWANZA,,,,,2012-02-16,2019-01-28,male,Q112263199-1328F8A7-AE66-47BA-AB95-9D6F8AA4970C
Q112263200,SHIDI MIKUMBU ESPERANCE,Q3087061,Ensemble pour la république,,,2012-02-16,2019-01-28,female,Q112263200-11B8E5B2-7362-450E-B5BB-2B0F190E48CC
Q112263201,SHOMWA MWONGERA Innocent,,,,,2012-02-16,2019-01-28,male,Q112263201-E036B65A-A800-44C6-89D1-7841021C8E04
Q112263202,SIMENE WA SIMENE Samuel,,,,,2012-02-16,2019-01-28,male,Q112263202-AFF3B755-515D-49DE-BB44-123C2A729511
Q112263203,SOLE OHOTO Hubert,Q3326837,Social Movement for Renewal,,,2012-02-16,2019-01-28,male,Q112263203-EEC7356E-D711-495A-AF99-989102BC1869
Q112263204,SUDI AL'AMIN ZIMAMOTO,Q3326837,Social Movement for Renewal,,,2012-02-16,2019-01-28,male,Q112263204-3F4106B5-7754-477B-9E0E-7D6A75FE7D21
Q112263205,SUZE MANDA David,,,,,2012-02-16,2019-01-28,male,Q112263205-339E7F31-0262-41EA-B4C9-13CB41F33B55
Q112263206,TABU MAKUSI Angle,Q3326837,Social Movement for Renewal,,,2012-02-16,2019-01-28,female,Q112263206-4C8C4469-0E39-4520-B46E-8F1A95D5B5CB
Q112263207,TAILA NAGE Joachim,,,,,2012-02-16,2019-01-28,male,Q112263207-48802D4C-7636-4389-BA06-A16572EC4659
Q112263208,TAKIS KUMBO Jean-Dominique,,,,,2012-02-16,2019-01-28,male,Q112263208-3B61BF4D-72C2-4E32-9292-7CCB8FE432F7
Q112263209,TANZI MADRANDELE Patrick,,,,,2012-02-16,2019-01-28,male,Q112263209-1E7002CE-A207-46A3-AFAE-B4084BBC3039
Q106786484,TCHEDYA PATAY Raymond,,,,,2012-02-16,2019-01-28,male,Q106786484-4779683A-F059-443A-82FC-AE4E58D8F1F4
Q112263210,THETIKA INKALABA Hubert,,,,,2012-02-16,2019-01-28,male,Q112263210-D77D58E4-1C50-4CB6-BF16-528AD84F0C46
Q112263211,THOLE TSHIGUDU Louis,Q1235589,People's Party for Reconstruction and Democracy,,,2012-02-16,2019-01-28,male,Q112263211-A6FF7D15-6FCD-473B-AC05-C4BC3C161D25
Q112263212,THUAMBE ADUBANG'O Egide,,,,,2012-02-16,2019-01-28,male,Q112263212-E5A67D88-B945-4873-9598-20A269F849AD
Q112263213,TIBASIMA MBOGEMU ATEENYI,,,,,2012-02-16,2019-01-28,male,Q112263213-3B18427F-A6EB-4EE1-8EA5-184D9E2B93FF
Q112263214,TINANZABO ZEREMANI John,,,,,2012-02-16,2019-01-28,male,Q112263214-CFC0449A-63C5-47B9-98B7-275A3EF7A591
Q112263215,TINGOMBAY MONDONGA Fidel,Q144806,Movement for the Liberation of the Congo,,,2012-02-16,2019-01-28,male,Q112263215-B9D10CA0-1713-4329-8EFC-CC5640FFEC2A
Q112263217,TSHIBALA NSENGA Guylain,Q1629663,Union for Democracy and Social Progress,,,2012-02-16,2019-01-28,male,Q112263217-85FF488E-5DEE-48A7-B26E-7AF4F1710F82
Q112263218,TSHIBANG NTAMBW Denis,,,,,2012-02-16,2019-01-28,male,Q112263218-2DD108A2-8E00-46DF-93E5-531F2FAB4F3F
Q112263219,TSHIBANGU YAMBA Flicien,,,,,2012-02-16,2019-01-28,male,Q112263219-EBFCAE9B-29AE-4714-A7CD-30DE752D4A42
Q112263220,TSHIBUMBA KANYANGA Onsime,Q1629663,Union for Democracy and Social Progress,,,2012-02-16,2019-01-28,male,Q112263220-30747BED-FD71-43A3-B695-B6AC7FFC2123
Q112263221,TSHIKA WA MULUMBA Eugnie,Q1629663,Union for Democracy and Social Progress,,,2012-02-16,2019-01-28,female,Q112263221-DB91A580-C549-4021-8C5B-6E502C0CA65F
Q112263222,TSHIMANGA BUANA Jean-Pierre,Q327591,IND,,,2012-02-16,2019-01-28,male,Q112263222-50702D0C-346D-4052-9AF3-C0BC8928E83F
Q112263223,TSHIONGO MPUTU DIBINGA Bartheiemy,Q1629663,Union for Democracy and Social Progress,,,2012-02-16,2019-01-28,male,Q112263223-B1D3B947-2EBD-48C5-A34E-7AC032A9896A
Q112263224,TSHIPASA VANGI-SIVAVI Venant,,,,,2012-02-16,2019-01-28,male,Q112263224-178534D2-F37A-42DB-89E3-1ED696F3CAD6
Q112263225,TUTU TEDEZA KANGO Gilbert,,,,,2012-02-16,2019-01-28,male,Q112263225-72833EDF-E8E5-479F-9ECB-342B084DF2AC
Q112263226,UBIMA UCHANDA Jackson,,,,,2012-02-16,2019-01-28,male,Q112263226-65C7D9C2-C1F6-4687-8EA5-61CC012FEE6F
Q112263227,UKUMU ULAR Dieudonn,,,,,2012-02-16,2019-01-28,male,Q112263227-84E4FC9D-6D49-4B5C-A9F9-004E4D217925
Q112263228,ULUNGU EKUNDA LUKATA Berthold,,,,,2012-02-16,2019-01-28,male,Q112263228-B80E1F2A-353F-459B-811E-615D025EA1EF
Q112263229,UPIRA SUNGUMA KAGIMBI Dieudonn,Q3326837,Social Movement for Renewal,,,2012-02-16,2019-01-28,male,Q112263229-367A719B-A1FB-4CE8-97A9-B18448038D0F
Q112222017,UWEKA UKABA Pierrot,,,,,2012-02-16,2019-01-28,male,Q112222017-E50C6611-753E-41B8-B500-030F5BCC59AB
Q112263230,VETSHI BOPAMBO Evanste,Q1235589,People's Party for Reconstruction and Democracy,,,2012-02-16,2019-01-28,male,Q112263230-0E6FDA5D-4DC6-43A6-84CF-B3745029AB39
Q112263231,VUEMBA LUZAMBA Jean-Claude,Q1629663,Union for Democracy and Social Progress,,,2012-02-16,2019-01-28,male,Q112263231-5B918081-B360-4E59-B18D-10C14CB886EB
Q104771218,WAMU ATAMINA Henriette -,Q327591,IND,,,2006,,female,Q104771218-2caa8e9c-41fc-6cda-1c6b-cfc9917751f2
Q112263232,WANGA KIPANGA Arthur,,,,,2012-02-16,2019-01-28,male,Q112263232-B7DEE76C-5AB0-4191-8E38-CFBC3E516DFA
Q112263233,WENGA BULAMBO Charly,,,,,2012-02-16,2019-01-28,male,Q112263233-C12544DC-91B1-4BD5-9006-00FC497E31FB
Q112263234,WENZI WA KUYULA Edouard,,,,,2012-02-16,2019-01-28,male,Q112263234-D72BE62D-1B1D-47DA-A60F-7F1F4F1D8681
Q112263236,YALA TUTU Honor,,,,,2012-02-16,2019-01-28,male,Q112263236-FC69A85C-DBEA-4C81-9F44-6124DB1DE57F
Q112263237,YAVA SAMUHONGA Alexis,,,,,2012-02-16,2019-01-28,male,Q112263237-087BA6A4-C4BF-4504-B2DD-A12DB11EE229
Q112263238,YUKULA DIMBUENE Martin,Q3326837,Social Movement for Renewal,,,2012-02-16,2019-01-28,male,Q112263238-782F2852-7BF1-4549-868F-A5BBB2B3C5F5
Q112263239,YUMA RAMAZANI Raymond Michel,,,,,2012-02-16,2019-01-28,male,Q112263239-710444BA-6523-4A69-92DD-D1B3B022548B
Q112263246,ZABUSU LIWOLO Zphirin,,,,,2012-02-16,2019-01-28,male,Q112263246-A2A4E0A5-8BE3-490E-BBD6-72655B905F98
