@@,item,itemlabel,party,area,startdate,enddate,gender,psid
---,Q106505759,Aminata Namasia,,Q2881771,2019-01,,female,Q106505759-796b285c-457a-ff5e-1d17-9403323180e3
->,Q96475172,AWENZE MAKIABA Alphonse,,,2012-02-16,2019-01-28,female->male,Q96475172-6B163C87-373E-4FD8-A1D3-3946D5CC0FAB
->,Q112262806,BOKUMWANA MAPOSO Elyse,Q144806,,2012-02-16,2019-01-28,male->female,Q112262806-90E78292-9FE7-4B86-A4A5-D1BB43A9C131
---,Q29032770,Félix Tshisekedi,,,2011-11-28,2013-06-18,male,Q29032770-a33fd2b6-84da-4b78-8b52-e06ed35184d4
---,Q107368856,Gael Bussa,,Q834551,2019,,male,Q107368856-d474c8a4-4fc8-602e-e770-7d208e0ec6d0
---,Q63349528,Geneviève Inagosi,,,2011-11-28,,female,Q63349528-2920aeda-4621-837a-234c-3437287f857b
