item,itemLabel,party,partyLabel,area,areaLabel,startDate,endDate,gender
,ABDALLAH PENE MBAKA Jefferson,Q1235589,PPRD,,,,,male
,ADIRODU DJARI Wilson,Q3326837,MSR ET ALLIES,,,,,male
,ADIRODU MAWAZO Baudoin,,AFDC ET ALLIES,,,,,male
,AKPANZA MOBULI NICOLAS,Q144806,MLC ET ALLIES,,,,,male
,ALI BIN OMARI SIMUKINJE,,ARD,,,,,male
,ALONGA LIKITI Toussaint,Q1629663,UDPS/FAC,,,,,male
,AMBATOBE NYONGOLO Amy,Q1629663,UDPS/FAC,,,,,male
,AMBENA ZAINGALI Maurice,,UNITE,,,,,male
,AMURI KABEZA MWENEBANTU,,ARD,,,,,male
,APAKA TOMBILA Fredric,,EDD,,,,,male
,APALATA AMBO Bienvenu,Q3326837,MSR ET ALLIES,,,,,male
,ASOBE IBAMBI Judith,,ARD,,,,,female
,ASUMAN' LIKALANGANYO Jacques,,ARD,,,,,male
,ATONZIA BAKOMOTO Joseph,,GPLDS,,,,,male
,AUNDAGBA PANGODI Freddy,Q144806,MLC ET ALLIES,,,,,male
,AUTSAI ASENGA Mdard,Q1235589,PPRD,,,,,male
,AWENZE MAKIABA Alphonse,,AFDC ET ALLIES,,,,,male
,AYOBANGIRA SAMVURA Franois,Q3326837,MSR ET ALLIES,,,,,male
,AYOMO ALIFE Jeanne,Q1235589,PPRD,,,,,female
,BABABASWE WISHIYA Zacharie,,T A,,,,,male
,BABALA WANDU Fidle,Q144806,MLC ET ALLIES,,,,,male
,BADIBANGA NTITA Samy .,Q1629663,UDPS/FAC,,,,,male
,BADIBANGI ANUWEBE Christian,,UNC ET ALLIES,,,,,male
,BAKATSURAKI KAVUSA SEMEYI,,UNC ET ALLIES,,,,,male
,BAKONGA VVILIMA Willy,Q1235589,PPRD,,,,,male
,BALAMAGE N'KOLO Boniface,,R E E,,,,,male
,BALIESIMA KADUKIMA Albert,Q3326837,MSR ET ALLIES,,,,,male
,BALIKWISHA MULONDI Juma,,GPLDS,,,,,male
,BAMBOKA LOBENDI Pierre Castro,,UNITE,,,,,male
Q20740600,BAMPORIKI MANEGABE Jean Marie,,UNC ET ALLIES,,,,,male
,BANDEACHE ITENDEY Willy,,EDD,,,,,male
,BANIO DEBH(5 Daniel,,ARD,,,,,male
,BANZA MALOBA Dany,,AFDC ET ALLIES,,,,,male
,BANZA MULUME Marmont,,R E E,,,,,male
,BASANGO MAKEDJO Lon-Dhon,Q3326837,MSR ET ALLIES,,,,,male
,BASENGEZI KATINTIMA Norbert,Q1235589,PPRD,,,,,male
,BASIALA MAKA Marie-Threse,,GPLDS,,,,,female
,BASILWANGO MWILO LUSOLO Flicien,Q3326837,MSR ET ALLIES,,,,,male
,BATUMOKO AFOZUNDE Jean-Pierre,,T A,,,,,male
,BATUMONA KANDIKAN Laurent,,GPLDS,,,,,male
,BAZAIBA MASUDI Eve,Q144806,MLC ET ALLIES,,,,,female
,BAZIR SERUSHAGO Bonaventure,,GPR,,,,,male
,BEMBA NDOKWA Franoise,Q144806,MLC ET ALLIES,,,,,female
,BEMBA WALE Caroline,Q144806,MLC ET ALLIES,,,,,female
,BEROCAN KERAURE Nono,,T A,,,,,male
,BIALOSUKA WATA Jonathan,,AFDC ET ALLIES,,,,,male
,BIANDO SANGO NZUAMBE Bernard,Q144806,MLC ET ALLIES,,,,,male
Q20810501,BIGABWA SUKA Tlsphor Arome,,UNC ET ALLIES,,,,,male
Q20740642,BITAKWIRA BIHONA-HAYI Justin,,UNC ET ALLIES,,,,,male
Q18353237,BOJI SANGARA BAMANYIRWE Aime,,UNC ET ALLIES,,,,,male
,BOKOLE OMPOKA Jean Pierre,,GPR,,,,,male
,BOKOLO NYASWA Vicky,Q144806,MLC ET ALLIES,,,,,male
Q20810516,BOKOLOMBE BATULI Sam,,UNC ET ALLIES,,,,,male
,BOKONA WIPA BONZALI Franois,Q1235589,PPRD,,,,,male
,BOKONDA BALELA Faustin,,T A,,,,,male
,BOKUMWANA MAPOSO Elyse,Q144806,MLC ET ALLIES,,,,,female
,BOLENGE BOPONDE Gabriel,,AFDC ET ALLIES,,,,,male
,BOLENGETENGE BALEA Dieudonn,Q3326837,MSR ET ALLIES,,,,,male
