item,itemLabel,position,positionLabel,province,provinceLabel,source,sourceDate,psid
Q98269668,Valentin Senga Paysayo,Q112275814,Governor of Bas-Uele,Q652056,Bas-Uele,https://fr.wikipedia.org/wiki/Liste_des_gouverneurs_des_provinces_de_la_r%C3%A9publique_d%C3%A9mocratique_du_Congo,2022-06-08,Q98269668-4BEFDB03-97BB-4231-83E1-F2E5B941D088
Q105954507,Jacques Kyabula Katwe,Q112275798,Governor of Haut-Katanga,Q130268,Haut-Katanga Province,https://fr.wikipedia.org/wiki/Liste_des_gouverneurs_des_provinces_de_la_r%C3%A9publique_d%C3%A9mocratique_du_Congo,2022-06-08,Q105954507-F14ACA5E-CEDB-483C-9175-B4A667E9953A
Q3010091,Célestin Mbuyu Kabango,Q112275810,Governor of Haut-Lomami,Q605672,Haut-Lomami Province,https://fr.wikipedia.org/wiki/Liste_des_gouverneurs_des_provinces_de_la_r%C3%A9publique_d%C3%A9mocratique_du_Congo,2022-06-08,Q3010091-2DA4395C-82B8-4A7E-8562-3EB8F1595F06
Q100533120,Christophe Nangaa,Q112275817,Governor of Haut-Uele,Q751632,Haut-Uele,https://fr.wikipedia.org/wiki/Liste_des_gouverneurs_des_provinces_de_la_r%C3%A9publique_d%C3%A9mocratique_du_Congo,2022-06-08,Q100533120-F899AE41-7861-4A4D-B80D-697CFD8B21B9
Q112276403,Luboya Nkashama Johny,Q112275805,Governor of Ituri,Q24909562,Ituri Province,https://fr.wikipedia.org/wiki/Liste_des_gouverneurs_des_provinces_de_la_r%C3%A9publique_d%C3%A9mocratique_du_Congo,2022-06-08,Q112276403-DDD26748-BDCE-4E27-961A-A7F95B5DBD0B
Q112276399,Pieme Dieudonné,Q112275813,Governor of Kasaï,Q6373961,Kasai Province,https://fr.wikipedia.org/wiki/Liste_des_gouverneurs_des_provinces_de_la_r%C3%A9publique_d%C3%A9mocratique_du_Congo,2022-06-08,Q112276399-63233460-44EA-40BD-A9E0-08EAB9077BDD
Q112276395,Jean Maweja Muteba,Q112275823,Governor of Kasaï oriental,Q917992,Kasai-Oriental,https://fr.wikipedia.org/wiki/Liste_des_gouverneurs_des_provinces_de_la_r%C3%A9publique_d%C3%A9mocratique_du_Congo,2022-06-08,Q112276395-3FDC4704-4D7B-4399-AFC1-0683BFB4117C
Q109315393,Martin Kabuya,Q112275815,Governor of Kasaï-Central,Q6702952,Kasaï-Central,https://fr.wikipedia.org/wiki/Liste_des_gouverneurs_des_provinces_de_la_r%C3%A9publique_d%C3%A9mocratique_du_Congo,2022-06-08,Q109315393-5D588315-4D94-484D-A912-C9B5831BC961
Q97175266,Valentin Ngandu,Q112275815,Governor of Kasaï-Central,Q6702952,Kasaï-Central,https://fr.wikipedia.org/wiki/Liste_des_gouverneurs_des_provinces_de_la_r%C3%A9publique_d%C3%A9mocratique_du_Congo,2022-06-08,Q97175266-2E703864-138F-468C-B151-C630142A9D85
Q96210362,Gentiny Mbaka Ngobila,Q112275806,Governor of Kinshasa,Q3838,Kinshasa,https://fr.wikipedia.org/wiki/Liste_des_gouverneurs_des_provinces_de_la_r%C3%A9publique_d%C3%A9mocratique_du_Congo,2022-06-08,Q96210362-4A3A474B-E35F-4604-8401-4484AB41D0D8
