@@,item,name,positionitem,position,start,end
+++,Q2821395,Abdoulaye Yerodia Ndombasi,Q112220993,Education,2000-11-20,2001-01-16
+++,Q2821395,Abdoulaye Yerodia Ndombasi,Q6866142,Foreign Affairs and International Cooperation,1999-03-14,2000-11-20
+++,Q2821395,Abdoulaye Yerodia Ndombasi,Q3556877,Vice-President,2003-07-30,2007-02-05
+++,Q87990699,Acacia Bandubola Mbongo,Q112220992,Economy,2019-08-26,
+++,,Adolphe Lumanu Mulenda Bwana Nsefu,Q112221041,Relations with the Parliament,2007-11-26,2010-02-19
+++,,Adolphe Lumanu Mulenda Bwana Nsefu,Q112221013,Vice-Prime Minister and Minister of Interior and Security,2010-02-19,2011-09-11
+++,,Adolphe Lumanu Mulenda Bwana Nsefu,Q112221013,"Vice-Prime Minister and Minister of Interior, Security, Decentralization, and Regional Planning",2011-09-11,2012-04-28
+++,Q365790,Adolphe Muzito,Q112220973,Budget,2007-02-05,2008-10-26
->,Q365790,Adolphe Muzito,Q3401753,Prime Minister of the Democratic Republic of the Congo->Prime Minister,2008-10-10->2008-10-26,2012-03-06->2012-04-28
+++,Q112207919,Adolphe Onusumba Yemba,Q17110451,"Defence, Demobilisation and Veterans",2005-01-03,2006-10-16
+++,Q101412106,Adèle Degbalase Kanda,Q108730998,"Social Affairs, Humanitarian Action and National Solidarity",2015-09-25,2016-12-19
+++,Q106904729,Aggee Aje Matembo Toto,Q112221027,Physical Planning,2019-08-26,
+++,Q96210398,Aime Sakombi Molendo,Q112221018,Lands,2019-08-26,
+++,Q18353237,Aimé Boji,Q56515760,Foreign Trade,2016-12-19,2017-05-09
+++,Q18681696,Aimé Ngoy Mukena,Q17110451,Defence and Veterans,2019-08-26,
+++,Q18681696,Aimé Ngoy Mukena,Q17110451,Defence and Veterans,2014-12-09,2015-09-25
+++,Q18681696,Aimé Ngoy Mukena,Q112221007,Hydrocarbons,2015-09-25,2019-01-23
+++,Q129404,Alexandre Luba Ntambo,Q17110451,Vice-Prime Minister and Minister of Defence and Veterans,2012-04-28,2014-12-09
+++,Q2834659,Alexis Thambwe Mwamba,Q6866142,Foreign Affairs,2008-10-26,2012-04-28
+++,Q2834659,Alexis Thambwe Mwamba,Q112221015,Justice,2016-12-19,2019-01-23
+++,Q2834659,Alexis Thambwe Mwamba,Q112221015,Justice and Human Rights,2014-12-09,2016-12-19
---,Q2834659,Alexis Thambwe Mwamba,Q6866142,Minister of Foreign Affairs,2008-10-01,2012-04-01
---,Q2834659,Alexis Thambwe Mwamba,Q6866142,Minister of Foreign Affairs,2019-01-01,2019-01-01
+++,Q2834659,Alexis Thambwe Mwamba,Q112221028,Planning,2003-07-30,2006-03-24
+++,,Ami Ambatombe Nyongolo,Q112220998,Environment and Sustainable Development,2017-05-09,2019-01-23
+++,,Ami Ambatombe Nyongolo,Q112221031,"Posts, Telecommunications and New Information and Communication Technologies",2016-12-19,2017-05-09
