minister,country,startdate,enddate,position
Abdoulaye Yerodia Ndombasi,DRC,1999-03-14,2000-11-20,Foreign Affairs and International Cooperation
Abdoulaye Yerodia Ndombasi,DRC,2000-11-20,2001-01-16,Education
Abdoulaye Yerodia Ndombasi,DRC,2003-07-30,2007-02-05,Vice-President
Acacia Bandubola Mbongo,DRC,2019-08-26,2019-12-31,Economy
Adolphe Lumanu Mulenda Bwana Nsefu,DRC,2007-11-26,2010-02-19,Relations with the Parliament
Adolphe Lumanu Mulenda Bwana Nsefu,DRC,2010-02-19,2011-09-11,Vice-Prime Minister and Minister of Interior and Security
Adolphe Lumanu Mulenda Bwana Nsefu,DRC,2011-09-11,2012-04-28,"Vice-Prime Minister and Minister of Interior, Security, Decentralization, and Regional Planning"
Adolphe Muzito,DRC,2007-02-05,2008-10-26,Budget
Adolphe Muzito,DRC,2008-10-26,2012-04-28,Prime Minister
Adolphe Onusumba Yemba,DRC,2005-01-03,2006-10-16,"Defence, Demobilisation and Veterans"
Adèle Degbalase Kanda,DRC,2015-09-25,2016-12-19,"Social Affairs, Humanitarian Action and National Solidarity"
Aggee Aje Matembo Toto,DRC,2019-08-26,2019-12-31,Physical Planning
Aime Sakombi Molendo,DRC,2019-08-26,2019-12-31,Lands
Aimé Boji,DRC,2016-12-19,2017-05-09,Foreign Trade
Aimé Ngoy Mukena,DRC,2014-12-09,2015-09-25,Defence and Veterans
Aimé Ngoy Mukena,DRC,2015-09-25,2019-01-23,Hydrocarbons
Aimé Ngoy Mukena,DRC,2019-08-26,2019-12-31,Defence and Veterans
Alexandre Luba Ntambo,DRC,2012-04-28,2014-12-09,Vice-Prime Minister and Minister of Defence and Veterans
Alexis Thambwe Mwamba,DRC,2003-07-30,2006-03-24,Planning
Alexis Thambwe Mwamba,DRC,2008-10-26,2012-04-28,Foreign Affairs
Alexis Thambwe Mwamba,DRC,2014-12-09,2016-12-19,Justice and Human Rights
Alexis Thambwe Mwamba,DRC,2016-12-19,2019-01-23,Justice
Ami Ambatombe Nyongolo,DRC,2016-12-19,2017-05-09,"Posts, Telecommunications and New Information and Communication Technologies"
Ami Ambatombe Nyongolo,DRC,2017-05-09,2019-01-23,Environment and Sustainable Development
Anastasie Moleka Moliva,DRC,2004-07-11,2005-01-03,Health
Andre Kabanda Kana,DRC,2019-08-26,2019-12-31,Minister without Portfolio
Andre Lite Asebea,DRC,2019-08-26,2019-12-31,Human Rights
André Moke Sanza,DRC,2016-12-19,2017-05-09,Tourism
André-Philippe Futa,DRC,2001-04-14,2002-11-17,"Agriculture, Fishing and Animal Husbandry"
André-Philippe Futa,DRC,2002-11-17,2003-07-30,Economy
André-Philippe Futa,DRC,2003-07-30,2003-10-05,Industry and Small and Medium Enterprises
André-Philippe Futa,DRC,2003-10-05,2005-11-18,Finance
André-Philippe Futa,DRC,2007-11-26,2010-02-19,Economy and Commerce
Anicet Kuzunda Mutangiji,DRC,2010-02-19,2012-04-28,Industry
Antoine Ghonda Mangalibi,DRC,2003-07-30,2004-07-22,Foreign Affairs and International Cooperation
Antoine Gizenga,DRC,2006-12-30,2008-10-26,Prime Minister
Arthur Zahidi Ngoma,DRC,2003-07-30,2007-02-05,Vice-President
Astrid Madiya,DRC,2017-05-09,2019-01-23,Culture and Arts
Athanase Matenda Kyelu,DRC,2004-07-11,2006-10-16,Civil Service
Athanase Matenda Kyelu,DRC,2007-02-05,2010-02-19,Finance
Atis Kabongo Kalonji,DRC,2016-12-19,2017-05-09,Environment and Sustainable Development
Auguste Mopipi Mukulumania,DRC,2008-10-26,2010-02-19,Health
Augustin Katumba Mwanke,DRC,2001-04-14,2002-11-17,Minister without Portfolio
Augustin Kibassa Maliba,DRC,2019-08-26,2019-12-31,"Posts, Telecommunications and New Information and Communications Technologies"
Augustin Matata Ponyo Mapon,DRC,2010-02-19,2012-04-28,Finance
Augustin Matata Ponyo Mapon,DRC,2012-04-28,2016-12-19,Prime Minister
Augustin Simanga,DRC,2006-10-16,2007-02-05,Energy
Azarias Ruberwa Manywa,DRC,2003-07-30,2007-02-05,Vice-President
Azarias Ruberwa Manywa,DRC,2016-12-19,2019-01-23,Decentralization and Institutional Reforms
Azarias Ruberwa Manywa,DRC,2019-08-26,2019-12-31,Decentralization and Institutional Reforms
Babi Mbayi,DRC,1999-03-14,2001-01-16,Energy
Badimani Bilembo Mulumba,DRC,1999-03-14,2000-06-22,Planning and Trade
Balamage Nkolo,DRC,2005-01-03,2006-10-16,Labour and Social Security
Balamage Nkolo,DRC,2006-10-16,2007-02-05,Parastatals
Bamboka Lobendi,DRC,2016-12-19,2017-05-09,Scientific Research
Barthélemy Botswali Lengomo,DRC,2008-10-26,2010-01-09,"Social Affairs, Humanitarian Affairs, and National Solidarity"
Baudouin Banza Mukalay Nsungu,DRC,2012-04-28,2014-12-09,"Youth, Sports, Culture and Arts"
Baudouin Banza Mukalay Nsungu,DRC,2014-12-09,2016-05-14,Culture and Arts
Bavon N'sa Mputu Elima,DRC,2012-04-28,2014-12-09,Environment and Tourism
Beatrice Lomeya Atilite,DRC,2019-08-26,2019-12-31,"Gender, Family, and Children"
Bemba Saolona,DRC,1999-03-14,2000-06-22,Economy and Industry
Benjamin Kaswama,DRC,2006-10-16,2007-02-05,Public Works and Infrastructure
Benjamin Mukulungu,DRC,2001-04-14,2003-07-30,Civil Service
