name,id,found,desc
José Makila Sumanda,Q3186402,José Makila Sumanda,Democratic Republic of Congo politician
Justin Bitakwira,Q20740642,Justin Bitakwira,Congolese politician
Justin Kalumba Mwana Ngongo,Q3190458,Justin Kalumba Mwana Ngongo,Congolese politician
Kasongo Ilunga,Q1735013,Kasongo Ilunga,"Congolese politician; possibly fictitious, claimed to be the Vice-president of UNAFEC and the Minister of Foreign Trade"
Kikaya bin Karubi,Q3196526,Kikaya Bin Karubi,Congolese politician and diplomat
Kisimba Ngoy,Q3280404,Maj Kisimba Ngoy,
Kudianga Bayokisa,Q19631177,Kudianga Bayokisa,Congolese politician
Kyamusoke Bamusulanga Nta-Bote,Q3008880,Cyprien Kyamusoke Bamusulanga Nta-Bote,Congolese politician
Lambert Mende Omalanga,Q178793,Lambert Mende Omalanga,Democratic Republic of the Congo politician
Laure-Marie Kawanda Kayena,Q3218739,Laure-Marie Kawanda,Congolese politician
Laurent Muzangisa,Q48775364,Laurent Muzangisa,politician
Laurent-Simon Ikenge Lisambola,Q3218981,Laurent-Simon Ikenge Lisambola,Congolese politician
Liliane Mpande Mwaba,Q3240837,Liliane Pande Muaba,Congolese politician
Louise Munga Mesozi,Q3263804,Louise Munga Mesozi,Congolese politician
Lucie Kipele Aki Azwa,Q96436683,Lucie Kipele Aki Azwa,Congolese politician
Lèonard She Okitundu,Q3271542,Léonard She Okitundu,Congolese politician
Léonard Mashako Mamba,Q3271518,Leonard Mashako Mamba,Politicianof the Democratic Republic of the Congo
Maguy Kiala Bolenga,Q110770469,Maguy Kiala Bolenga Boley,DRC politician
Maker Mwangu Famba,Q3280754,Maker Mwangu Famba,Congolese politician
Marcel Amos Mbayo Kitenge,Q106904673,Marcel Amos Mbayo Kitenge,
Marcel Ilunga Leu,Q60958438,Marcel Ilunga Leu,Congolese politician
Marcel Malenso Ndodila,Q3289189,Marcel Malenso Ndodila,Congolese politician
Marie Tumba Nzeza,Q81852221,Marie Tumba Nzeza,Congolese politician
Marie-Ange Lukiana Mufwankol,Q3291479,Marie-Ange Lukiana Mufwankolo,Congolese politician
Marie-Ange Mushobekwa,Q28811859,Marie-Ange Mushobekwa,
Marie-Louise Mwange,Q56618763,Marie-Louise Mwange,Congolese politician
Marie-Madeleine Kalala,Q96244491,Marie-Madeleine KALALA,Congolese politician
Martin Bitijula Mahimba,Q3295341,Martin Bitijula Mahimba,Congolese politician
Martin Kabwelulu Labilo,Q3295482,Martin Kabwelulu,politician in the Democratic Republic of the Congo
Martine Ntumba Bukasa,Q109044479,Martine Ntumba Bukasa,
Matthieu Mpika,Q48778037,Matthieu Mpika,politician
Mbusa Nyamwisi,Q2853312,Antipas Mbusa,Democratic Republic of the Congo politician
Michel Botoro,Q47524829,Michel Botoro,Congolese politician
Michel Lokola Elemba,Q3310203,Michel Lokola Elemba,Congolese politician
Modeste Bahati Lukwebo,Q19543886,Modeste Bahati Lukwebo,Congolese economist and politician
Modeste Mutombo Kyamakosa,Q3317906,Modeste Mutombo Kyamakosa,Congolese politician
Moleko Moliwa,Q96244405,Anasthasie Moleko Moliwa,Congolese politician
Moïse Nyarugabo Muhizi Mugeyo,Q56302679,,
Mwenze Kongolo,Q25694801,Jeannot Mwenze Kongolo,Congolese politician
Nene Nkulu Ilunga,Q97277162,Néné Nkulu Ilunga,DRC politician
Nkulu Mitumba Kilombo,Q3342365,Nkulu Mitumba Kilombo,politician
Norbert Likulia Bolongo,Q1532002,Likulia Bolongo,Congolese politician
Ntumba Luaba,Q2839928,Alphonse Ntumba Luaba,Congolese politician
Olivier Kamitatu Etsu,Q3351121,Olivier Kamitatu Etsu,Democratic Republic of the Congo politician
Oly Ilunga Kalenga,Q54010330,Oly Ilunga Kalenga,belgian–Congolese medical doctor (born 1960)
Papy Niango,Q30728171,Papy Niango,Congolese politician
Patrice Kitebi Kibol Mvul,Q107141721,Patrice Kitebi Kibol Mvul,
Patrick Sulubika,Q48775368,Patrick Sulubika,politician
Paul Musafiri,Q3371887,Paul Musafiri,Congolese politician
Pepin Guillaume Manjolo Buakila,Q96999221,Pépin Guillaume Manjolo,Congolese politician (DRC)
Philemon Mukendi,Q3381294,Philémon Mukendi,Congolese politician
Philomène Omatuku,Q3381176,Philomène Omatuku Atshakawo Akatshi,Congolese politician
Philomène Omatuku Atshakawo Akatshi,Q3381176,Philomène Omatuku Atshakawo Akatshi,Congolese politician
Pierre Kangudia Mbayi,Q107528370,Pierre Kangudia,
Pierre Lumbi Okongo,Q3386032,Pierre Lumbi Okongo,politician of the Democratic Republic of the Congo (1950-2020)
Pierre Manoka,Q3386090,Pierre Manoka,Congolese politician
Pierre-Victor Mpoyo,Q3383536,Pierre-Victor Mpoyo,Congolese painter and politician (1934-2015)
Raymond Ramazani Baya,Q3421106,Raymond Ramazani Baya,Congolese politician
Remy Henri Kuseyo Gatanga,Q3424667,Remy Henri Kuseyo Gatanga,Congolese politician
Remy Musungayi Bampale,Q3424672,Remy Musungayi Bampale,Congolese politician
René Isekemanga Nkeka,Q3426386,René Isekemanga Nkeka,Congolese politician
Robert Bopolo Bogeza,Q106904372,Robert Bopolo Bogeza,congolese (DRC) politician
Robert Mbwinga Bila,Q107128113,Robert Mabwinga Bila,
Roger Lumbala,Q3439223,Roger Lumbala,Democratic Republic of the Congo politician
Rose Boyata Monkaju,Q96210162,Rose Boyata Monkaju,Congolese politician
Rubens Mikindo Muhima,Q85854584,,
Salomon Banamuhere Baliene,Q2424586,Salomon Banamuhere Baliene,Congolese politician
Sama Lukonde Kyenge,Q105523479,Jean-Michel Sama Lukonde,politician of the Democratic Republic of the Congo
Samy Badibanga,Q17639110,Samy Badibanga,Congolese politician
Simon Bulupiy Galati,Q3484223,Simon Bulupiy Galati,Congolese politician
Simon Mboso Kiamputu,Q3484373,Simon Mboso Kiamputu,Congolese politician
Steve Mbikayi Mabuluki,Q97446584,Steve Mbikayi Mabuluki,
Sylvain Joël Bifuila Tshamuala,Q2372748,Sylvain Joël Bifuila Tshamuala,Congolese politician
Sylvain Ngabu Chumbu,Q3507094,Sylvain Ngabu Chumbu,Democratic Republic of the Congo politician
Sylvanus Mushi Bonane,Q3507165,Sylvanus Mushi Bonane,Congolese politician
Sylvestre Ilunga Ilunkamba,Q63967715,Sylvestre Ilunga,Congolese politician
Symphorien Mutombo Bakafwa Nsenda,Q107099631,Symphorien Mutombo Bakafwa Nsenda,
Theo Baruti,Q3526308,Théo Baruti,Congolese politician
Thomas Luhaka Losenjola,Q18649355,Thomas Luhaka,Congolese politician
Théophile Mbemba Fundu,Q3526676,Théophile Mbemba Fundu,Democratic Republic of the Congo politician
Timothèe Moleka Nzulama,Q107041760,Timothée Moleka Nzulama,Congolese politician (1953-2017)
Toussaint Tshilombo Send,Q3535662,Toussaint Tshilombo Send,Congolese politician
Tryphon Kin-Kiey Mulumba,Q19629172,Tryphon Kin-Kiey Mulumba,Congolese politician
Upio Kakura Wapol,Q48775328,Upio Kakura Wapol,politician
Valentin Senga,Q98269668,Valentin Senga Paysayo,Congolese politician
Victor Makwenge Kaput,Q3557436,Victor Makwenge Kaput,Congolese politician
Vital Kamerhe,Q981106,Vital Kamerhe,Congolese politician
Willy Bakonga,Q97464651,Willy Bakonga Wilima,Congolese politician
Willy Kitobo Samsoni,Q98923080,Willy Kitobo Samsoni,
Willy Makiashi,Q19545075,Willy Makiashi,Congolese politician
Willy Ngoopos Sunzhel,Q97478738,Willy Ngoopos Sunzhel,Congolese politician
Wivine Mumba Matipa,Q104889315,Wivine Mumba Matipa,Congolese politician
Yollande Ebongo Bosongo,Q96210151,Yollande Ebongo Bosongo,Congolese politician
Yves Bonkulu Zola,Q96468125,Yves Bonkulu Zola,
Zéphyrin Mutu Diambu-di-Lusala Nieva,Q3576517,Zéphyrin Mutu Diambu-di-Lusala Nieva,Congolese politician
