transformed,raw
Minister of Agriculture,Agriculture
Minister of Agriculture,Agriculture and Animal Husbandry
Minister of Agriculture,Agriculture and Rural Development
Minister of Agriculture,"Agriculture, Fishing and Animal Husbandry"
Minister of Agriculture,"Agriculture, Fishing and Livestock"
Minister of Budget,Budget
Minister of Budget,Vice-Prime Minister and Minister of Budget
Minister of Civil Service,Civil Service
Minister of Civil Service,"Civil Service, Labour and Social Security"
Minister of Commerce,Commerce
Minister of Communications,Communications and Media
Minister of Communications,Communications and Press
Minister of Congolese Abroad,Congolese Abroad
Minister of Cooperation and Development,Cooperation and Development
Minister of Culture,Culture
Minister of Culture,Culture and Arts
Minister of Customary Affairs,Customary Affairs
Minister of Decentralization,Decentralization and Customary Affairs
Minister of Decentralization,Decentralization and Institutional Reforms
Minister of Decentralization,Decentralization and Regional Planning
Minister of Defence,Defence
Minister of Defence,Defence and Veterans
Minister of Defence,"Defence, Demobilisation and Veterans"
Minister of Defence,Vice-Prime Minister and Minister of Defence and Veterans
Minister of Economy,Economy
Minister of Economy,Economy and Commerce
Minister of Economy,Economy and Industry
Minister of Economy,"Economy, Commerce and Industry"
Minister of Economy,"Economy, Finance and Budget"
Minister of Education,Education
Minister of Employment,"Employment, Work and Social Security"
Minister of Employment,"Vice-Prime Minister and Minister of Employment, Work and Social Security"
Minister of Energy,Energy
Minister of Energy,Energy and Water Resources
Minister of Enterprises,Enterprises
Minister of Environment,Environment
Minister of Environment,Environment and Sustainable Development
Minister of Environment,Environment and Tourism
Minister of Environment,Environment and Tourism Development
Minister of Family,Family and Women Affairs
Minister of Family,"Gender, Family and Children, Social Affairs, Humanitarian Action and National Solidarity"
Minister of Family,"Gender, Family, and Children"
Minister of Finance,Finance
Minister of Finance,Finance and Budget
Minister of Fishing,Fishing and Animal Husbandry
Minister of Fishing,Fishing and Livestock
Minister of Foreign Affairs,Foreign Affairs
Minister of Foreign Affairs,Foreign Affairs and International Cooperation
Minister of Foreign Affairs,"Foreign Affairs, International Cooperation and Francophonie"
Minister of Foreign Affairs,Vice-Prime Minister and Minister of Foreign Affairs and Regional Integration
Minister of Foreign Trade,Foreign Trade
Minister of Health,Health
Minister of Higher Education,Higher Education
Minister of Higher Education,Higher Education and University
Minister of Higher Education,"Higher Education, University, and Scientific Research"
Minister of Housing,"Housing, Environment and Tourism"
Minister of Human Rights,Human Rights
Minister of Humanitarian Affairs,Humanitarian Action and National Solidarity
Minister of Humanitarian Affairs,Humanitarian Affairs
Minister of Hydrocarbons,Hydrocarbons
